method,mode_0_mean,mode_0_std,mode_1_mean,mode_1_std,mode_2_mean,mode_2_std,mode_3_mean,mode_3_std,assigned_fraction_mean,assigned_fraction_std,emc_mean,emc_std,hard_mode_coverage_mean,hard_mode_coverage_std,conditional_mode_entropy_mean,conditional_mode_entropy_std
ula,0.9640625,0.010305395279900717,0.0203125,0.008699631816921908,0.01171875,0.0024705294220065464,0.00078125,0.0015625000000000003,0.996875,0.002923169833417142,0.29428671391166966,0.01094169642199518,0.65,0.1224744871391589,0.2952209976587678,0.011226640635374336
mala,0.959375,0.003983608994994363,0.0109375,0.0045554311678478905,0.028125,0.009375,0.0,0.0,0.9984375,0.0019136638615493578,0.3006009878697578,0.005134827918540493,0.65,0.1224744871391589,0.301063359166703,0.0046158790057197596
flmc,0.99765625,0.0019136638615493578,0.0015625,0.001913663861549358,0.0,0.0,0.0,0.0,0.99921875,0.0015625,0.2523935778856751,0.003349239218254089,0.25,0.0,0.2525888903856751,0.003170730222450642
lsbmc,0.759375,0.02735490843751812,0.12734375,0.023385358667337132,0.09765625,0.0234375,0.01171875,0.00819381912632931,0.99609375,0.0024705294220065464,0.5237690704553779,0.036021219596004225,0.85,0.1224744871391589,0.5258815448570409,0.03696802312320898
