seed,method,mode_0,mode_1,mode_2,mode_3,assigned_fraction,emc,hard_mode_coverage,conditional_mode_entropy
2028,ula,0.9609375,0.01953125,0.0078125,0.00390625,0.9921875,0.2934998240709024,0.5,0.2958108463076812
2028,mala,0.9609375,0.015625,0.0234375,0.0,1.0,0.302688319502037,0.75,0.302688319502037
2028,flmc,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25
2028,lsbmc,0.72265625,0.140625,0.109375,0.0234375,0.99609375,0.5768238116927158,1.0,0.5790858658562167
2029,ula,0.984375,0.00390625,0.01171875,0.0,1.0,0.2733443188138453,0.5,0.2733443188138453
2029,mala,0.95703125,0.0078125,0.03515625,0.0,1.0,0.30463092187341645,0.5,0.30463092187341645
2029,flmc,0.99609375,0.0,0.0,0.0,0.99609375,0.2490234375,0.25,0.25
2029,lsbmc,0.77734375,0.15625,0.0546875,0.0078125,0.99609375,0.4922483505126096,0.75,0.49417873620089436
2030,ula,0.95703125,0.02734375,0.01171875,0.0,0.99609375,0.30095055358578165,0.75,0.30213075183513766
2030,mala,0.96484375,0.01171875,0.01953125,0.0,0.99609375,0.2923007757746409,0.75,0.29344705332669835
2030,flmc,0.99609375,0.00390625,0.0,0.0,1.0,0.2564722259641879,0.25,0.2564722259641879
2030,lsbmc,0.796875,0.09765625,0.1015625,0.00390625,1.0,0.48469397884233145,0.75,0.48469397884233145
2031,ula,0.95703125,0.02734375,0.01171875,0.0,0.99609375,0.30095055358578165,0.75,0.30213075183513766
2031,mala,0.9609375,0.015625,0.01953125,0.0,0.99609375,0.29722262783051,0.75,0.2983882067631787
2031,flmc,0.99609375,0.00390625,0.0,0.0,1.0,0.2564722259641879,0.25,0.2564722259641879
2031,lsbmc,0.765625,0.1015625,0.125,0.00390625,0.99609375,0.5101948904237746,0.75,0.5121956546999463
2032,ula,0.9609375,0.0234375,0.015625,0.0,1.0,0.302688319502037,0.75,0.302688319502037
2032,mala,0.953125,0.00390625,0.04296875,0.0,1.0,0.30616229436818476,0.5,0.30616229436818476
2032,flmc,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25
2032,lsbmc,0.734375,0.140625,0.09765625,0.01953125,0.9921875,0.5548843208054576,1.0,0.5592534886858155
