method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,bank_size,bank_refresh_policy,bank_shared_between_score_and_noise,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3550240396636375,0.42915089581966614,0.428923902239546,0.6131584240649334,0.7004447639831857,1.0120426792495025,1.0,0.5,0.9982786279696653,0.03456148758802069,1.0021982663756612,0.0121136175757105,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3570683174197504,0.43016129466980313,0.42993421993762415,0.6127964087938659,0.701615569852562,1.0142035978425912,1.0,0.5,1.0024935426835775,0.04313517635099462,1.015313317579114,0.029991885928866924,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.357855112693093,0.43028474226685764,0.4300577367467363,0.623162680065582,0.7019881954086524,1.0142570932993686,1.0,0.5,1.002600478334951,0.043229163021685,1.0152860922726048,0.029744702003907553,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.3561343771321843,0.42947473039835016,0.4292477800314676,0.6177190194939186,0.7010154251463713,1.0128708100162263,1.0,0.5,0.9992779586684626,0.036482273825505285,1.0049779812011566,0.01570270392561468,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,886597.5592849462,110.82469491061828,4.0,128.0,1.3184847039335659,0.40388842599817854,0.4036465914182765,0.5454755389226591,0.6758759734511829,0.9813417251688127,0.989,0.489,0.9789534452241869,0.05498808395022192,1.0498612032248567,0.2189882196703089,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,3.125e-05,0.005375,662.5480352136977,172,3.125e-05,1.075,0.0,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,886597.5592849462,110.82469491061828,4.0,128.0,1.3280459717408184,0.4010790155296674,0.40083212153948256,0.5441318682559434,0.6780380534778037,0.9967176378334233,0.989,0.489,0.9963056489419603,0.11075987065309079,1.2143422830023833,0.6923586446262616,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,3.125e-05,0.005375,662.5480352136977,172,3.125e-05,1.075,0.0,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,886597.5592849462,110.82469491061828,4.0,128.0,1.321131184732777,0.40102753239239675,0.4007822941521284,0.5423502016172588,0.6757843881770378,0.9870856805763512,0.9875,0.48750000000000004,0.9863193464163001,0.08340822522675673,1.1199266123174743,0.407643991347194,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,3.125e-05,0.005375,662.5480352136977,172,3.125e-05,1.075,0.0,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,886597.5592849462,110.82469491061828,4.0,128.0,1.3209616886799196,0.4046309219609875,0.40438824327665335,0.5427433057085802,0.6773743508429281,0.9874175805296908,0.99,0.49,0.9863283348555711,0.07027877179469533,1.0906236075493876,0.3114426787635599,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,3.125e-05,0.005375,662.5480352136977,172,3.125e-05,1.075,0.0,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,1773195.1185698924,221.64938982123655,8.0,256.0,1.2966920469006062,0.39238460929018626,0.3921364872127995,0.5106650006232671,0.6634962847973821,0.9669496938737808,0.984,0.484,0.9667944043096321,0.053856944593653866,1.0378379801037376,0.2108709251477131,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.00043750000000000006,0.00509375,801.0499669575057,335,0.000234375,1.046875,0.0,0.0
LSC-CP-RA,"LSC-CP-RA, tamed",6410c501644b0b8c6edab0d1c054e3c3,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,1773195.1185698924,221.64938982123655,8.0,256.0,1.2963533222456,0.3821918196071885,0.3819359303554113,0.5098847637152539,0.6587442535065868,0.969236788,0.979,0.479,0.9692365465599736,0.09281800532859119,1.1428561089440243,0.5333375731677367,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,1,every_step,True,0.00043750000000000006,0.00509375,801.0499669575057,335,0.000234375,1.046875,0.0,0.0
