method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,EMC,EMC_star,effective_mode_fraction,mode_weight_JS,mode_weight_TV,max_occupancy_error,mode_count_above_threshold,SW2,MMD2_biased,MMD2_unbiased,mode_count_000,mode_occupancy_ratio_000,mode_count_001,mode_occupancy_ratio_001,mode_count_002,mode_occupancy_ratio_002,mode_count_003,mode_occupancy_ratio_003,mode_count_004,mode_occupancy_ratio_004,mode_count_005,mode_occupancy_ratio_005,mode_count_006,mode_occupancy_ratio_006,mode_count_007,mode_occupancy_ratio_007,mode_count_008,mode_occupancy_ratio_008,mode_count_009,mode_occupancy_ratio_009,mode_count_010,mode_occupancy_ratio_010,mode_count_011,mode_occupancy_ratio_011,mode_count_012,mode_occupancy_ratio_012,mode_count_013,mode_occupancy_ratio_013,mode_count_014,mode_occupancy_ratio_014,mode_count_015,mode_occupancy_ratio_015,mode_count_016,mode_occupancy_ratio_016,mode_count_017,mode_occupancy_ratio_017,mode_count_018,mode_occupancy_ratio_018,mode_count_019,mode_occupancy_ratio_019,mode_count_020,mode_occupancy_ratio_020,mode_count_021,mode_occupancy_ratio_021,mode_count_022,mode_occupancy_ratio_022,mode_count_023,mode_occupancy_ratio_023,mode_count_024,mode_occupancy_ratio_024,mode_count_025,mode_occupancy_ratio_025,mode_count_026,mode_occupancy_ratio_026,mode_count_027,mode_occupancy_ratio_027,mode_count_028,mode_occupancy_ratio_028,mode_count_029,mode_occupancy_ratio_029,mode_count_030,mode_occupancy_ratio_030,mode_count_031,mode_occupancy_ratio_031,mode_count_032,mode_occupancy_ratio_032,mode_count_033,mode_occupancy_ratio_033,mode_count_034,mode_occupancy_ratio_034,mode_count_035,mode_occupancy_ratio_035,mode_count_036,mode_occupancy_ratio_036,mode_count_037,mode_occupancy_ratio_037,mode_count_038,mode_occupancy_ratio_038,mode_count_039,mode_occupancy_ratio_039,tamed,tame_cap,boundary_rule,n_replicas,n_swap,mh_accept,replica_0_mh_accept,replica_1_mh_accept,replica_2_mh_accept,replica_3_mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative,replica_0_mh_accept_fraction_cumulative,replica_1_mh_accept_fraction_cumulative,replica_2_mh_accept_fraction_cumulative,replica_3_mh_accept_fraction_cumulative
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,2,2,10.24,32000.0,8.0,8.0,0.0,0.002143538494708388,0.9999986540061276,0.02519846500042136,0.6321543901275133,0.9739357499999999,0.97393575,1.0,26.59031806670845,0.21502223115043906,0.21462543758682373,999,39.85756605523804,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74075,0.65275,0.649,0.81775,0.8435,0.00846875,0.0,0.7294375,0.635625,0.61725,0.80375,0.861125
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,3,2,10.24,32000.0,8.0,8.0,0.0,-0.0,0.9999986540061276,0.025,0.634261965166796,0.97493575,0.97493575,1.0,26.60734331049841,0.21567029865706422,0.21527349358272996,1000,39.897463518756794,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74075,0.65275,0.649,0.81775,0.8435,0.00846875,0.0,0.7294375,0.635625,0.61725,0.80375,0.861125
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,0,3,15.36,48000.0,12.0,12.0,0.0,0.007069310154419646,0.9999986540061276,0.02566052086900747,0.6284918548572296,0.97093575,0.97093575,1.0,26.520531521514766,0.2148707598096724,0.21447379508826947,996,39.73787366468177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.15978748264807807,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.7405,0.65425,0.681,0.818,0.80875,0.012854166666666667,0.0,0.733125,0.6418333333333334,0.6385,0.8085,0.8436666666666667
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,1,3,15.36,48000.0,12.0,12.0,0.0,0.004286805632984391,0.9999986540061276,0.025398480111177422,0.6300476260569443,0.97293575,0.97293575,1.0,26.50559832380184,0.21491871361550619,0.21452170746588484,998,39.81766859171928,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.7405,0.65425,0.681,0.818,0.80875,0.012854166666666667,0.0,0.733125,0.6418333333333334,0.6385,0.8085,0.8436666666666667
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,2,3,15.36,48000.0,12.0,12.0,0.0,0.002143538494708388,0.9999986540061276,0.02519846500042136,0.6321543901275133,0.9739357499999999,0.97393575,1.0,26.54571973554167,0.21540693773333985,0.2150100082528169,999,39.85756605523804,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.7405,0.65425,0.681,0.818,0.80875,0.012854166666666667,0.0,0.733125,0.6418333333333334,0.6385,0.8085,0.8436666666666667
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,3,3,15.36,48000.0,12.0,12.0,0.0,0.002143538494708388,0.9999986540061276,0.02519846500042136,0.6321551888463357,0.9739357499999999,0.97393575,1.0,26.549838114586603,0.21562901517454736,0.21523206876273782,999,39.85756605523804,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.7405,0.65425,0.681,0.818,0.80875,0.012854166666666667,0.0,0.733125,0.6418333333333334,0.6385,0.8085,0.8436666666666667
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,0,4,20.48,64000.0,16.0,16.0,0.0,0.00767907271414946,0.9999986540061276,0.02571830508368895,0.6274235339293033,0.97093575,0.97093575,1.0,26.4901682921558,0.21473987350112866,0.21434282704795482,996,39.73787366468177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,3,0.11984061198605854,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.741875,0.6795,0.69175,0.8225,0.77375,0.016296875,0.0,0.7353125,0.65125,0.6518125,0.812,0.8261875
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,1,4,20.48,64000.0,16.0,16.0,0.0,0.01097813692847557,0.9999986540061276,0.026033205261378284,0.6249537742755634,0.96893575,0.96893575,1.0,26.483801161542697,0.21529748021710426,0.21490037042951693,994,39.65807873764425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.16004801440432131,2,0.07989374132403904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.741875,0.6795,0.69175,0.8225,0.77375,0.016296875,0.0,0.7353125,0.65125,0.6518125,0.812,0.8261875
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,2,4,20.48,64000.0,16.0,16.0,0.0,0.004286805632984391,0.9999986540061276,0.025398480111177422,0.6300476260569443,0.97293575,0.97293575,1.0,26.5066184435871,0.21512640782797732,0.21472939564942806,998,39.81766859171928,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.741875,0.6795,0.69175,0.8225,0.77375,0.016296875,0.0,0.7353125,0.65125,0.6518125,0.812,0.8261875
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,3,4,20.48,64000.0,16.0,16.0,0.0,0.00767907271414946,0.9999986540061276,0.02571830508368895,0.627425043159185,0.97093575,0.97093575,1.0,26.543205060825684,0.2155934472153025,0.21519646537565718,996,39.73787366468177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.12003601080324099,1,0.03994687066201952,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.741875,0.6795,0.69175,0.8225,0.77375,0.016296875,0.0,0.7353125,0.65125,0.6518125,0.812,0.8261875
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,0,5,25.6,80000.0,20.0,20.0,0.0,0.01260239480662653,0.9999986540061276,0.026189656431969778,0.6237626187953351,0.9679357499999999,0.96793575,1.0,26.429178244770952,0.21437833960476305,0.213981155077128,993,39.6181812741255,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.12003601080324099,4,0.15978748264807807,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74325,0.6885,0.71125,0.81,0.76325,0.0194375,0.0,0.7369,0.6587,0.6637,0.8116,0.8136
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,1,5,25.6,80000.0,20.0,20.0,0.0,0.01260239480662653,0.9999986540061276,0.026189656431969778,0.6237626187953351,0.9679357499999999,0.96793575,1.0,26.473366140564046,0.21551751864577173,0.2151203490983502,993,39.6181812741255,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.12003601080324099,4,0.15978748264807807,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74325,0.6885,0.71125,0.81,0.76325,0.0194375,0.0,0.7369,0.6587,0.6637,0.8116,0.8136
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,2,5,25.6,80000.0,20.0,20.0,0.0,0.006053997493509469,0.9999986540061276,0.025564592581646516,0.6286140117888583,0.97193575,0.97193575,1.0,26.493555677047055,0.21513947351892815,0.2147423965445555,997,39.77777112820053,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,2,0.07989374132403904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74325,0.6885,0.71125,0.81,0.76325,0.0194375,0.0,0.7369,0.6587,0.6637,0.8116,0.8136
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,5471a024550bb71fafef76a952762803,True,3,5,25.6,80000.0,20.0,20.0,0.0,0.00767907271414946,0.9999986540061276,0.02571830508368895,0.6274235339293033,0.97093575,0.97093575,1.0,26.50162354849416,0.21530506031232288,0.21490798644608633,996,39.73787366468177,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04001200360108033,3,0.11984061198605854,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,True,1.0,reject,4,10,0.74325,0.6885,0.71125,0.81,0.76325,0.0194375,0.0,0.7369,0.6587,0.6637,0.8116,0.8136
