method,seed,step,t,wallclock_s,nfe,W2,TV,TV_density,MMD,EMC,EJS,e_F,basin_rel_max,basin_L1,V_mean_err,V_var_err,E_overlap_deficit,KSD,W1_cdf,CDF_sup,cdf_L2,pdf_L1,pdf_L2,KDE_chi2,bin_chi2_M40,bin_chi2_M80,bin_chi2_M120,well_TV,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,occ0
ULA,0,0,0.0,0.0,0,1.3280709737128578,0.67496,,0.5543831114354865,0.5325023477812136,,0.8489227454361136,2.0765444252951126,1.34992,0.2564529206485111,0.18607960357446512,0.21799999999999997,7.181879852156718,0.9673069107958763,0.728,0.670807942243077,0.9442393449251181,0.7196598451352861,0.7599299255660178,11.152719999999999,11.662879999999998,11.79848,0.67496,0.0,,,,,,1.0
ULA,1,0,0.0,0.0,0,1.3278923585672326,0.67496,,0.5541218576988071,0.5325023477812136,,0.8539882683648079,2.0765444252951126,1.34992,0.2845871302716425,0.21473423820464216,0.244,8.392307910595402,0.966663182320878,0.733,0.6705314736419633,0.943987714226795,0.7195092468554738,0.760191743673396,11.58328,11.990879999999997,12.118400000000001,0.67496,0.0,,,,,,1.0
ULA,2,0,0.0,0.0,0,1.328243944005926,0.67496,,0.5543899645960758,0.5325023477812136,,0.847257441871504,2.0765444252951126,1.34992,0.24539163795099106,0.16463794280000682,0.20499999999999996,7.016150421729073,0.9672128830411012,0.736,0.6708500838403675,0.9443898070568304,0.7197266953264194,0.7596939177334631,10.99232,11.544319999999999,11.58176,0.67496,0.0,,,,,,1.0
ULA,3,0,0.0,0.0,0,1.3276604123290525,0.67496,,0.5541290837919712,0.5325023477812136,,0.850361906070161,2.0765444252951126,1.34992,0.25238558653123233,0.21206823286938753,0.20599999999999996,8.410651896587325,0.9668150733093608,0.726,0.6704392022041098,0.9440214446716207,0.7195036446802888,0.7600538030065016,10.822959999999998,11.35568,11.534720000000002,0.67496,0.0,,,,,,1.0
ULA,4,0,0.0,0.0,0,1.3280688737975939,0.67496,,0.5543187339936538,0.5325023477812136,,0.8513798270048075,2.0765444252951126,1.34992,0.2398147976111682,0.19832135203188067,0.19699999999999995,9.881179202085308,0.9667138126503723,0.729,0.6705314682485519,0.9440915884631319,0.7195619809261511,0.7600526905725391,11.094719999999999,11.664639999999999,11.97032,0.67496,0.0,,,,,,1.0
ULA,0,62,0.124,0.02236302848905325,310000,1.3051552579567312,0.67496,,0.5540309005781885,0.5325023477812136,,0.811889518418217,2.0765444252951126,1.34992,0.06651275857466454,0.009506858483712244,0.10799999999999987,5.123434275983716,0.9504831755953618,0.611,0.6582130480384822,0.9401977241915196,0.7112481165972753,0.7421144666400221,2.7897600000000002,2.9524800000000004,3.026,0.67496,0.0,,,,,,1.0
ULA,1,62,0.124,0.02236302848905325,310000,1.3039178313703181,0.67496,,0.5533970649805566,0.5325023477812136,,0.811889518418217,2.0765444252951126,1.34992,0.041046751465628084,0.01567953882384268,0.118,5.466600807715,0.9513366582925502,0.618,0.6585229552551866,0.940576855958026,0.7113378946143646,0.7410060460918503,2.6495200000000008,2.75504,2.8116800000000004,0.67496,0.0,,,,,,1.0
ULA,2,62,0.124,0.02236302848905325,310000,1.303250468083519,0.67496,,0.55328093704003,0.5325023477812136,,0.8124444582863877,2.0765444252951126,1.34992,0.05650168035264791,0.014251387619698852,0.1319999999999999,3.931661258446973,0.9493765412507019,0.608,0.6577742274540727,0.9399553936895004,0.7107152235777289,0.7411962217774251,2.76648,2.9044800000000004,2.94848,0.67496,0.0,,,,,,1.0
ULA,3,62,0.124,0.02236302848905325,310000,1.3026405086347612,0.67496,,0.5535789444895718,0.5325023477812136,,0.8099275947352557,2.0765444252951126,1.34992,0.041472585288196084,0.00972290242746715,0.09800000000000009,4.358969736199678,0.9496586245150269,0.6010000000000001,0.6576923734222379,0.9401761587957693,0.7102277289011387,0.7382401312549409,2.5444000000000004,2.6001600000000002,2.6943200000000003,0.67496,0.0,,,,,,1.0
ULA,4,62,0.124,0.02236302848905325,310000,1.3031842694425992,0.67496,,0.5529379153146768,0.5325023477812136,,0.8178624244384467,2.0765444252951126,1.34992,0.046263856054535646,0.023977521094662668,0.121,6.060972008309634,0.9497526522698019,0.608,0.6579308802155961,0.9400194115139288,0.7110933359193002,0.7423478000809666,2.668400000000001,2.8185600000000006,2.8208,0.67496,0.0,,,,,,1.0
ULA,0,125,0.25,0.04327463544905186,625000,1.2932368891099664,0.67496,,0.5533319783128761,0.5325023477812136,,0.7897372925842512,2.0765444252951126,1.34992,0.0009277658357895735,0.0333781350570479,0.09400000000000008,4.393940145733571,0.9425414467689796,0.577,0.6520725800764211,0.9367220166900332,0.70371493453197,0.7275425815434626,1.9085600000000003,1.9856000000000003,2.0633600000000003,0.67496,0.0,,,,,,1.0
ULA,1,125,0.25,0.04327463544905186,625000,1.291276631282956,0.67496,,0.5524705748175998,0.5325023477812136,,0.7917136183375815,2.0765444252951126,1.34992,0.0027083555050599895,0.005681801190226543,0.07499999999999996,4.6442514220506546,0.9437348759642009,0.578,0.6524149888584896,0.9369410637316964,0.7032018802328215,0.72418735406964,1.8127199999999999,1.8987200000000002,1.9664000000000001,0.67496,0.0,,,,,,1.0
ULA,2,125,0.25,0.04327463544905186,625000,1.2921997996742287,0.67496,,0.5524978188119922,0.5325023477812136,,0.7897372925842512,2.0765444252951126,1.34992,5.128245168029011e-05,0.000524884096475331,0.07000000000000006,4.551280658254637,0.9432792029987527,0.569,0.6521577069752356,0.9366310427302638,0.7037747208466313,0.7275068733577849,1.9102399999999997,2.10224,2.13056,0.67496,0.0,,,,,,1.0
ULA,3,125,0.25,0.04327463544905186,625000,1.2916210960896086,0.67496,,0.5529000727613359,0.5325023477812136,,0.7863723518450959,2.0765444252951126,1.34992,0.029853755814172045,0.014449685990041816,0.09000000000000008,4.287508047993015,0.9424763506310585,0.573,0.6518226975577153,0.9364782764885865,0.7024081478381105,0.723361634841506,1.83976,1.9062400000000002,1.9832000000000003,0.67496,0.0,,,,,,1.0
ULA,4,125,0.25,0.04327463544905186,625000,1.2927705373253078,0.67496,,0.5527828490084532,0.5325023477812136,,0.7853449488009544,2.0765444252951126,1.34992,0.011460366802155564,0.008516788423843735,0.08999999999999997,5.190880076419493,0.9463170227684071,0.584,0.6540725383115048,0.9381217904416613,0.7048532532077357,0.7252832439675996,1.9988000000000004,2.12256,2.1372800000000005,0.67496,0.0,,,,,,1.0
ULA,0,188,0.376,0.06505053397268057,940000,1.2836406876954114,0.67496,,0.5521965296691635,0.5325023477812136,,0.7738260128824973,2.0765444252951126,1.34992,0.0271861042542918,0.021970499288244294,0.10199999999999987,5.49405059573992,0.9379051551681499,0.545,0.6480390857869455,0.9340491029089695,0.6976334208964586,0.7167577712922364,1.6448800000000001,1.7324800000000002,1.79888,0.67496,0.0,,,,,,1.0
ULA,1,188,0.376,0.06505053397268057,940000,1.2843362652446997,0.67496,,0.5524707109619259,0.5325023477812136,,0.7719262802688184,2.0765444252951126,1.34992,0.010354952051485178,0.029282881985220166,0.10399999999999987,4.370163985037085,0.9436480811136394,0.554,0.6503808529718971,0.9354090361240603,0.6983263141015884,0.7108272754192191,1.6068800000000003,1.74912,1.8056,0.67496,0.0,,,,,,1.0
ULA,2,188,0.376,0.06505053397268057,940000,1.2857682502794239,0.67496,,0.5520398711886825,0.5325023477812136,,0.7771744273779535,2.0765444252951126,1.34992,0.00041124241278112095,0.030380168406928337,0.08499999999999996,3.625544390441125,0.9410876330220734,0.554,0.6500585190439899,0.935105513047308,0.699395523778017,0.7168314011478161,1.67896,1.7787200000000003,1.8356,0.67496,0.0,,,,,,1.0
ULA,3,188,0.376,0.06505053397268057,940000,1.283578842791892,0.67496,,0.5520845165472752,0.5325023477812136,,0.7793578890080024,2.0765444252951126,1.34992,0.025147459401980488,0.03338176249064054,0.07299999999999995,4.43054457250106,0.9404728361639292,0.546,0.6485798944911653,0.9342841544093734,0.6967317653824615,0.7110476914652476,1.65944,1.79584,1.8672799999999998,0.67496,0.0,,,,,,1.0
ULA,4,188,0.376,0.06505053397268057,940000,1.2860756474524184,0.67496,,0.55267404027669,0.5325023477812136,,0.7745778948487174,2.0765444252951126,1.34992,0.005334829987908796,0.0139628452045161,0.07699999999999996,5.209993914088767,0.9449789354889164,0.558,0.6518099920228041,0.9365369489422035,0.7005936537708397,0.7149978752491661,1.6452,1.6969600000000002,1.74056,0.67496,0.0,,,,,,1.0
ULA,0,250,0.5,0.08862111251801252,1250000,1.2784883300916143,0.67496,,0.5518458272270379,0.5325023477812136,,0.7598784389839802,2.0765444252951126,1.34992,0.023471242330374675,0.01574380611160528,0.10399999999999998,4.266975560677848,0.9378400590302287,0.539,0.6464950173540926,0.9330615215649656,0.6938957373689221,0.7074065940507803,1.416,1.4926400000000002,1.5464000000000002,0.67496,0.0,,,,,,1.0
ULA,1,250,0.5,0.08862111251801252,1250000,1.2770548286616077,0.67496,,0.5510790797418341,0.5325023477812136,,0.7602993148024683,2.0765444252951126,1.34992,0.028348620945020997,0.04096005578588152,0.08400000000000007,5.006363366251196,0.9406030284397715,0.5330000000000001,0.647159347566202,0.9331869828874688,0.6932828907342844,0.7024760376129435,1.3935200000000003,1.47248,1.5584,0.67496,0.0,,,,,,1.0
ULA,2,250,0.5,0.08862111251801252,1250000,1.2770698979832504,0.67496,,0.5504163049650546,0.5325023477812136,,0.7692171959064563,2.0765444252951126,1.34992,0.042041084717964194,0.027847214662382686,0.09499999999999997,4.6347503699472,0.9378111274133749,0.5389999999999999,0.6463806783679056,0.9329688432968113,0.6934002035593395,0.7060425681114259,1.4302400000000002,1.5243200000000001,1.60352,0.67496,0.0,,,,,,1.0
ULA,3,250,0.5,0.08862111251801252,1250000,1.2771600511145869,0.67496,,0.550824355911473,0.5325023477812136,,0.7660474539576961,2.0765444252951126,1.34992,0.01623680122869553,0.03280874227913902,0.10599999999999998,4.904085074085239,0.9385488836431481,0.5309999999999999,0.6464260628148694,0.932852139006167,0.6930438378150295,0.7044035826201318,1.3977600000000001,1.4576,1.5341600000000002,0.67496,0.0,,,,,,1.0
ULA,4,250,0.5,0.08862111251801252,1250000,1.2788803391156487,0.67496,,0.5519644982146706,0.5325023477812136,,0.757752537403076,2.0765444252951126,1.34992,0.025674826334352918,0.030612165689025583,0.07799999999999996,5.45481213413125,0.9434889572209431,0.5409999999999999,0.6485148588708892,0.9340277692926542,0.6941511018916512,0.7011049320450891,1.4202400000000002,1.55376,1.59752,0.67496,0.0,,,,,,1.0
ULA,0,312,0.624,0.1100064804777503,1560000,1.2730036626596792,0.67496,,0.5509146273861738,0.5325023477812136,,0.7623826963631196,2.0765444252951126,1.34992,0.018954979878509137,0.03803944839975393,0.09099999999999997,4.7381297986995055,0.9355038309692802,0.528,0.6440360179669491,0.9315471249963451,0.6897527428638028,0.7006563154857735,1.3017600000000003,1.3764800000000001,1.4600000000000002,0.67496,0.0,,,,,,1.0
ULA,1,312,0.624,0.1100064804777503,1560000,1.2700246686975278,0.67496,,0.5496903559647855,0.5325023477812136,,0.74932736344217,2.0765444252951126,1.34992,0.008332342206791576,0.014157402112933343,0.08299999999999996,4.016038117335323,0.9389394604706751,0.5269999999999999,0.644571859174338,0.9313825054322229,0.6881923533025046,0.6928666430674673,1.3017600000000003,1.41088,1.51184,0.67496,0.0,,,,,,1.0
ULA,2,312,0.624,0.1100064804777503,1560000,1.27290923528847,0.67496,,0.5501984227124512,0.5325023477812136,,0.7615535059261654,2.0765444252951126,1.34992,0.019290764862940568,0.020763643004721666,0.08000000000000007,5.473727620709585,0.937001042141467,0.5249999999999999,0.6444371900645861,0.9313575142713675,0.6894901661980173,0.6981143016416773,1.30288,1.3639999999999999,1.4012,0.67496,0.0,,,,,,1.0
ULA,3,312,0.624,0.1100064804777503,1560000,1.2716702427390936,0.67496,,0.5495695182081058,0.5325023477812136,,0.7586072415877766,2.0765444252951126,1.34992,0.024040199017585362,0.043081675141840026,0.08499999999999996,4.8092388262795644,0.9360824633063571,0.5249999999999999,0.6440026510208541,0.9312694243012529,0.689181041626655,0.6985038008245095,1.3996,1.4971200000000002,1.5598400000000003,0.67496,0.0,,,,,,1.0
ULA,4,312,0.624,0.1100064804777503,1560000,1.2742455562484993,0.67496,,0.551360453503341,0.5325023477812136,,0.7560253942089333,2.0765444252951126,1.34992,0.015199431482776582,0.008496638835079506,0.10399999999999987,4.877430973598589,0.9423099938341487,0.5249999999999999,0.646434443371364,0.9324085053440958,0.6898997914670001,0.6927746870397412,1.32856,1.4502400000000002,1.4758399999999998,0.67496,0.0,,,,,,1.0
ULA,0,375,0.75,0.13178220763802528,1875000,1.267632652171907,0.67496,,0.5498951570984503,0.5325023477812136,,0.7516001533275688,2.0765444252951126,1.34992,0.0451928576118128,0.019311660350469606,0.09899999999999998,6.016572324715483,0.9332471648546798,0.512,0.6412890197481143,0.9301063074375515,0.6851485423315038,0.6934637382163552,1.21944,1.3382399999999999,1.38272,0.67496,0.0,,,,,,1.0
ULA,1,375,0.75,0.13178220763802528,1875000,1.2659009745187173,0.67496,,0.5485381988192234,0.5325023477812136,,0.7497852394120121,2.0765444252951126,1.34992,0.040694121850196385,0.049273042304871645,0.08600000000000008,6.2391801830726905,0.9366466298350073,0.5130000000000001,0.6426092307819067,0.9303747778426602,0.6852301111524344,0.6893833792259805,1.23648,1.3460800000000002,1.37768,0.67496,0.0,,,,,,1.0
ULA,2,375,0.75,0.13178220763802528,1875000,1.26768252608695,0.67496,,0.5492450047980805,0.5325023477812136,,0.7555898536986069,2.0765444252951126,1.34992,0.02361523664285592,0.025511807611460574,0.07499999999999996,4.323464097263781,0.9353302412681571,0.5170000000000001,0.6419961988525792,0.9301685084139819,0.6851257063770702,0.6909518877231183,1.18336,1.2945600000000002,1.33256,0.67496,0.0,,,,,,1.0
ULA,3,375,0.75,0.13178220763802528,1875000,1.2682242036273692,0.67496,,0.5493657130637086,0.5325023477812136,,0.7488678041010064,2.0765444252951126,1.34992,0.03586703302566674,0.022045816367878668,0.08800000000000008,4.503012702339266,0.9382523345703961,0.516,0.6434340915351604,0.9307709458508608,0.6862084945716835,0.6898303957241351,1.2515199999999997,1.32944,1.43576,0.67496,0.0,,,,,,1.0
ULA,4,375,0.75,0.13178220763802528,1875000,1.2693604257314504,0.67496,,0.5503287080183645,0.5325023477812136,,0.7484065489650746,2.0765444252951126,1.34992,0.024927208739714546,0.009382420684957427,0.10999999999999988,6.380620831957775,0.939532558616179,0.5149999999999999,0.6438383348662261,0.930932085582494,0.6858604191405673,0.6874964094050418,1.2668800000000002,1.3358399999999997,1.4292799999999999,0.67496,0.0,,,,,,1.0
ULA,0,438,0.876,0.15381519496440887,2190000,1.2643999833662933,0.67496,,0.5487525993684409,0.5325023477812136,,0.7555898536986069,2.0765444252951126,1.34992,0.04392611568576421,0.022860323138200495,0.09499999999999997,4.352200703835599,0.9315691310771563,0.49700000000000005,0.6400497259284221,0.9293162187510248,0.6830799000609794,0.6906210226948546,1.1684800000000002,1.2638400000000003,1.3474400000000002,0.67496,0.0,,,,,,1.0
ULA,1,438,0.876,0.15381519496440887,2190000,1.2608448013740396,0.67496,,0.5475239308331037,0.5325023477812136,,0.7432171245050005,2.0765444252951126,1.34992,0.046140566586891696,0.02366094974611735,0.08200000000000007,5.812759560349535,0.9342525385403511,0.49600000000000005,0.6403520511887572,0.9293305284197669,0.6814347853604794,0.6841729346065126,1.1783200000000003,1.24288,1.2862400000000003,0.67496,0.0,,,,,,1.0
ULA,2,438,0.876,0.15381519496440887,2190000,1.2627780491514466,0.67496,,0.5473968913493494,0.5325023477812136,,0.7393029103717319,2.0765444252951126,1.34992,0.044421542881515785,0.03617027083588997,0.08200000000000007,5.628519417216506,0.9318873788625488,0.5009999999999999,0.6397028750361125,0.9290300760262687,0.6821793748871385,0.6883337309665769,1.1712799999999999,1.2790400000000002,1.35152,0.67496,0.0,,,,,,1.0
ULA,3,438,0.876,0.15381519496440887,2190000,1.2658251864136125,0.67496,,0.5493341871271807,0.5325023477812136,,0.7460743917645069,2.0765444252951126,1.34992,0.03477337844070583,0.02108045789513674,0.08000000000000007,4.360538870061107,0.9383969926546654,0.516,0.6430352012615953,0.9306864179086272,0.6849393316018956,0.6869526148195235,1.19792,1.27936,1.37816,0.67496,0.0,,,,,,1.0
ULA,4,438,0.876,0.15381519496440887,2190000,1.2659453196745105,0.67496,,0.5498615939013602,0.5325023477812136,,0.7436978943284354,2.0765444252951126,1.34992,0.025905683849027472,0.006737334370646192,0.09099999999999997,5.5215195512339434,0.9397061483173021,0.5130000000000001,0.6431918171718213,0.9301416231603056,0.6839707946205953,0.682791071390914,1.2128,1.3670399999999998,1.3817599999999999,0.67496,0.0,,,,,,1.0
ULA,0,500,1.0,0.17410039249807596,2500000,1.2631529600678777,0.67496,,0.5484451188896516,0.5325023477812136,,0.7470124824712653,2.0765444252951126,1.34992,0.03920475042592253,0.03157178419015352,0.10999999999999999,4.828897649623188,0.9301225502344639,0.5030000000000001,0.6389934521955792,0.9289943799871409,0.6816839641664861,0.6897441391516344,1.1752799999999999,1.28768,1.3112000000000001,0.67496,0.0,,,,,,1.0
ULA,1,500,1.0,0.17410039249807596,2500000,1.2567068879747696,0.67496,,0.5470071968848753,0.5325023477812136,,0.7407851411780798,2.0765444252951126,1.34992,0.07067831562212645,0.04734427301676361,0.12,4.29109577397069,0.9361981897737726,0.49300000000000005,0.6401719521431741,0.9285970369788918,0.6790417646980099,0.6765065855984079,1.15184,1.2608,1.31048,0.67496,0.0,,,,,,1.0
