step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
125,0.625,32000000,0,1000000,0,0,0,1000000,32000000,32000000.0,0.8345679289892053,27706173.72765457,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,125.0,4000.0,3463.271715956821
129,0.645,33024000,0,1032000,0,0,0,1032000,33024000,33024000.0,0.8345679289892053,28592771.286939517,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,129.0,4128.0,3574.0964108674398
133,0.665,34048000,0,1064000,0,0,0,1064000,34048000,34048000.0,0.8345679289892053,29479368.84622446,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,133.0,4256.0,3684.9211057780576
138,0.6900000000000001,35328000,0,1104000,0,0,0,1104000,35328000,35328000.0,0.8345679289892053,30587615.795330644,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,138.0,4416.0,3823.4519744163304
142,0.71,36352000,0,1136000,0,0,0,1136000,36352000,36352000.0,0.8345679289892053,31474213.35461559,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,142.0,4544.0,3934.276669326949
146,0.73,37376000,0,1168000,0,0,0,1168000,37376000,37376000.0,0.8345679289892053,32360810.913900536,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,146.0,4672.0,4045.101364237567
150,0.75,38400000,0,1200000,0,0,0,1200000,38400000,38400000.0,0.8345679289892053,33247408.473185483,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,150.0,4800.0,4155.926059148185
154,0.77,39424000,0,1232000,0,0,0,1232000,39424000,39424000.0,0.8345679289892053,34134006.03247043,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,154.0,4928.0,4266.750754058803
158,0.79,40448000,0,1264000,0,0,0,1264000,40448000,40448000.0,0.8345679289892053,35020603.591755375,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,158.0,5056.0,4377.575448969422
163,0.8150000000000001,41728000,0,1304000,0,0,0,1304000,41728000,41728000.0,0.8345679289892053,36128850.54086156,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,163.0,5216.0,4516.106317607695
