method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,phase_weight_JS,order_parameter_SW2,order_parameter_MMD2_biased,energy_per_site_MAE,susceptibility_relative_frobenius,order_parameter_MMD2_unbiased,phase_weight_TV,max_phase_mass_error,phase_outside_mass,energy_per_site_variance_error,coherence_mean_error,correlation_relative_L2,kink_density_error,heat_capacity_error,binder_cumulant_error,order_parameter_mean_error,marginal_KS_mx,marginal_KS_my,marginal_KS_m_norm,marginal_W1_mx,marginal_W1_my,marginal_W1_m_norm,energy_per_site_KS,energy_per_site_W1,energy_per_site_MMD2_biased,energy_per_site_MMD2_unbiased,coherence_KS,coherence_W1,kink_density_KS,kink_density_W1,kink_zero_probability,kink_zero_probability_reference,kink_zero_probability_error,kink_high_tail_threshold,kink_high_tail_probability,kink_high_tail_probability_reference,kink_high_tail_probability_error,connected_correlation_relative_L2,energy_per_site_mean,energy_per_site_variance,coherence_mean,kink_density_mean,heat_capacity_per_site,heat_capacity_per_site_reference,binder_cumulant,binder_cumulant_reference,phase_occupancy_0,phase_count_0,phase_occupancy_1,phase_count_1,phase_occupancy_2,phase_count_2,phase_occupancy_3,phase_count_3,phase_outside_count,susceptibility_00,susceptibility_01,susceptibility_10,susceptibility_11,correlation_r0,connected_correlation_r0,correlation_r1,connected_correlation_r1,correlation_r2,connected_correlation_r2,correlation_r3,connected_correlation_r3,correlation_r4,connected_correlation_r4,correlation_r5,connected_correlation_r5,correlation_r6,connected_correlation_r6,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,0,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.281898199085653,0.3013826502007634,0.02397170896967507,0.9997763614636305,0.3005133643462121,0.676619318181681,0.676619318181681,0.0,0.0014480557669374011,0.0025790974872115504,0.05537662212593512,5.823863636363635e-05,1.1121068290079232,0.017922849496076032,1.282025151726166,0.7125,0.7175,0.535,1.0054152891657426,0.8698850198822635,0.10484381665679886,0.22250000000000003,0.02220424511178118,0.046398448304822315,0.043889827579075225,0.33999999999999997,0.0025047659371764965,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996194718020259,0.14961833607931718,0.002774493414124601,0.010057286016945798,0.0,2.1308109420476926,1.0187041130397694,0.4997815539534646,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021050665072998017,0.0007247902642217421,0.0007247902642217421,0.01964089617810042,2.0155905360664623,0.004992053214539549,2.01056189305799,-3.65897939329507e-05,2.0106695966488117,7.111379688895525e-05,2.010599468143189,9.85291266353272e-07,2.010612824918669,1.4342066746220183e-05,2.010612950914115,1.4468062192296571e-05,2.010551519834556,-4.696301736695219e-05,True,1.0,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,1,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2822109626237297,0.30164116670584984,0.025397993417919817,0.9997782267165263,0.30077188255995435,0.676619318181681,0.676619318181681,0.0,0.001770894914463528,0.0026726325215342102,0.05645386873163063,5.823863636363635e-05,1.360047294307989,0.017930338225200848,1.2827681419534094,0.7225,0.715,0.535,1.005843345409408,0.8702527150862679,0.10498841445186187,0.24,0.02367761920281335,0.05193908972949468,0.04940371932872034,0.3500000000000001,0.0025983009714991567,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996178634276512,0.15104462052756193,0.003097332561650728,0.010150821051268457,0.0,2.3787514073477585,1.0187041130397694,0.4997890426825894,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021517150251331912,0.0002064197889607964,0.0002064197889607964,0.01892415652429035,2.017705389233375,0.005055948596561333,2.012629978707741,-1.9461929072761563e-05,2.012656799440263,7.358803449264428e-06,2.0126169131605876,-3.2527476226285046e-05,2.0126923701693444,4.2929532530600056e-05,2.012663084411845,1.3643775031102479e-05,2.0126121320674133,-3.730856940054039e-05,True,1.0,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,2,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.28155927439964,0.30140143624737303,0.024349574216151526,0.9997656112489658,0.3005321368214615,0.676619318181681,0.676619318181681,0.0,0.0016725669291015458,0.0026041560558093804,0.055268762971830476,5.823863636363635e-05,1.284531401549988,0.01791424007710518,1.2819844386323827,0.7125,0.7050000000000001,0.5325,1.0058213881747156,0.8691940617360498,0.10424298693785661,0.21000000000000008,0.022618469812375468,0.04434990587361476,0.04182836061114925,0.3425,0.0025298245057743273,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996036754067887,0.14999620132579364,0.002999004576288746,0.010082344585543628,0.0,2.3032355145897574,1.0187041130397694,0.4997729445344937,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02128811046255548,0.0006308182545487228,0.0006308182545487228,0.021390618730114677,2.015359224318158,0.004997377896957644,2.0103180520253865,-4.379439581381206e-05,2.0103762966679257,1.445024672541706e-05,2.0104261057775297,6.425935632936586e-05,2.010377872687298,1.6026266097757258e-05,2.0104140065226446,5.2160101444265194e-05,2.0104797694208902,0.00011792299968993447,True,1.0,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,3,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2815681781392887,0.3012156380345349,0.019876442707857905,0.9997777888116451,0.3003463521337928,0.676619318181681,0.676619318181681,0.0,0.002019187084887075,0.0023083629590141654,0.05431850056724506,5.823863636363635e-05,1.5507356811932735,0.017938921703438915,1.2813721584027193,0.7125,0.71,0.535,1.0057683855045365,0.8690814144783587,0.10503071932094389,0.19999999999999996,0.01943015966298925,0.03428235177255423,0.03172467090843234,0.3025,0.0022366801086492385,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996252812488163,0.14552306981750002,0.003345624732074275,0.009786551488748413,0.0,2.569439794233043,1.0187041130397694,0.49979762616082746,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.022404482775339477,-0.000789481490781843,-0.000789481490781843,0.018293802321226994,2.0134913360686424,0.004899780279099986,2.0085980603242684,6.504534725948474e-06,2.00856021172796,-3.134406158222802e-05,2.00863710235729,4.554656774757859e-05,2.008664373305904,7.281751636156741e-05,2.0086397094221042,4.815363256183147e-05,2.0084829865537968,-0.00010856923574564803,True,1.0,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,0,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2817264807658146,0.3013404109714817,0.021314012358895018,0.9997704789153147,0.30047111781494085,0.676619318181681,0.676619318181681,0.0,0.0013746283583046836,0.002402752603894511,0.05521388165703007,5.823863636363635e-05,1.055714579177997,0.017917235141790888,1.2819098116853274,0.71,0.72,0.5325000000000001,1.0050882207829424,0.8698368503557135,0.10468142154442978,0.1975,0.019549129217552835,0.03680827090013605,0.03430784459469427,0.3075,0.002328421053859458,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996161234371087,0.14696063946853713,0.0027010660054918837,0.009880941133628758,0.0,2.0744186922177663,1.0187041130397694,0.49977593959917943,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02203327110322315,0.0007280609060743055,0.0007280609060743055,0.019727570351469343,2.0152387665469966,0.004956610007278872,2.010298295980183,1.613944046541249e-05,2.0103725087225865,9.035218286879143e-05,2.0102994065167894,1.7249977071642775e-05,2.010311361162811,2.920462309319305e-05,2.010282747836732,5.912970144628105e-07,2.010225526410297,-5.663012942092038e-05,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,1,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2821828076160497,0.30167897273226074,0.023397255649638016,0.9997747218296912,0.3008096844679845,0.676619318181681,0.676619318181681,0.0,0.001648756689945311,0.002539427360864064,0.05663848216604217,5.823863636363635e-05,1.266245137877999,0.01792488177723761,1.282889713296777,0.72,0.7124999999999999,0.535,1.0059249864831725,0.8702362897351185,0.10475724448247814,0.21250000000000002,0.02167010942308961,0.0422504947166229,0.039732016198590236,0.3225,0.0024650958108290108,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996154134114233,0.14904388275928013,0.002975194337132511,0.010017615890598311,0.0,2.2849492509177685,1.0187041130397694,0.49978358623462615,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.0215089683681464,0.00042143041895621275,0.00042143041895621275,0.019535400925933966,2.018042428246218,0.005045339267196525,2.0130336203009187,3.653132189729291e-05,2.0129988172723485,1.7282933271189904e-06,2.01295902051351,-3.806846551146492e-05,2.013030327351883,3.323837286162146e-05,2.0130185634229267,2.1474443905322715e-05,2.012959661575225,-3.742740379619747e-05,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,2,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2813743298951121,0.3013749672716056,0.021936049867874008,0.9997593568825727,0.300505660177817,0.676619318181681,0.676619318181681,0.0,0.00150856899616471,0.0024435544907328395,0.05514930343295537,5.823863636363635e-05,1.1585809890544974,0.017907150398555283,1.2819027089717208,0.71,0.7050000000000001,0.53,1.005739069726745,0.8689454535989816,0.10407163657478823,0.20000000000000007,0.02020868759436519,0.0391917411210394,0.03668254790682168,0.3275,0.0023692229406977873,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9995981148111015,0.14758267697751612,0.00283500664335191,0.009921743020467087,0.0,2.1772851020942667,1.0187041130397694,0.4997658548559438,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021553957356919857,0.0007491239004150428,0.0007491239004150428,0.022247584713797272,2.0151052742699163,0.004981450577975721,2.010144402759683,2.0579067742332313e-05,2.0101255112033884,1.6875114479120157e-06,2.010212787451745,8.896375980427251e-05,2.01014121767467,1.7393982729263513e-05,2.0101649728304123,4.114913847175217e-05,2.0102643309705135,0.00014050727857295442,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,3,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2814422049687109,0.3012119421738998,0.018233318625465095,0.9997720848815719,0.30034264936816657,0.676619318181681,0.676619318181681,0.0,0.0019208959443728268,0.002199146559125088,0.05432598027261743,5.823863636363635e-05,1.4752480852783305,0.017932050265427435,1.2813715858818278,0.7125,0.7075,0.5275000000000001,1.0056684115012402,0.8690440964775218,0.10484312723767893,0.1775,0.017905080578964876,0.030872102689794345,0.028324934843687033,0.30500000000000005,0.0021322508892503713,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996203530818984,0.1438799457351072,0.003247333591560027,0.009677335088859335,0.0,2.4939521983181,1.0187041130397694,0.499790754722816,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02308221190332978,-0.000634188470826689,-0.000634188470826689,0.018627208531868267,2.0134819869291,0.004885395756287991,2.0086433193846704,4.6728211858582114e-05,2.0085749205201733,-2.1670652638583476e-05,2.008640256295713,4.3665122900993225e-05,2.0086702225027016,7.363132988968957e-05,2.0086569537518457,6.036257903385689e-05,2.0085064055949466,-9.018557786522052e-05,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,0,21,0.042,33600.0,21.0,21.0,0.0,0.3252121593263408,1.2813537799103916,0.30129545248064715,0.013706583909497777,0.9997551914031602,0.300426140305209,0.676619318181681,0.676619318181681,0.0,0.0011129568260401272,0.0018972405256141986,0.055058098631769255,5.823863636363635e-05,0.8547508423988175,0.01790271162700341,1.2817945977506104,0.71,0.72,0.5275000000000001,1.004617674031603,0.8696905933642041,0.10431869994854957,0.14500000000000002,0.012630828077760961,0.01833650041845658,0.01588343101611811,0.245,0.0018229089755791455,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996059818072072,0.1393532110191399,0.0024393944732273272,0.009375429055348446,0.0,1.8734549554385869,1.0187041130397694,0.49976141608439195,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02398779667473939,0.0007329924496525277,0.0007329924496525277,0.020558130724418443,2.014851804817547,0.004884881692872156,2.010164090289873,0.00019716716519813104,2.0100743474875005,0.00010742436282562551,2.010004403806463,3.7480681787993575e-05,2.010006946517255,4.002339258013521e-05,2.0099520724582347,-1.4850666440135996e-05,2.009901871882486,-6.505124218891822e-05,True,1.0,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, tamed",e6c4a104a924b32b17e71efad43c7504,6301bacd8069f5c726e241e2afe2fb0c,True,1,21,0.042,33600.0,21.0,21.0,0.0,0.3252121593263408,1.2819198735626491,0.3017133728399011,0.016400812523205355,0.9997607813202374,0.30084406737816427,0.676619318181681,0.676619318181681,0.0,0.0012866375873046676,0.002073903759327836,0.056828447850858874,5.823863636363635e-05,0.9881376670499848,0.017910067583852607,1.2830098216085173,0.7175,0.7125,0.5325,1.005864888500165,0.8699880153146299,0.10430082903308488,0.16000000000000003,0.014822744880372612,0.021761631741523346,0.0192972328544182,0.2825000000000001,0.0019997825710856686,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996052271334237,0.14204743963284747,0.0026130752344918676,0.009552092289062083,0.0,2.0068417800897542,1.0187041130397694,0.49976877204124115,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.022381520147990813,0.0005866517696482866,0.0005866517696482866,0.021181171081139108,2.018342915087934,0.005001853391245259,2.013566868943403,0.00022580724671428243,2.013345773961231,4.712264542128253e-06,2.0132981989943404,-4.286270234832301e-05,2.0133602642983908,1.9202601702072997e-05,2.0133690119222423,2.7950225553574626e-05,2.013301312095748,-3.974960094055291e-05,True,1.0,reject,1.0,BAOAB,0.0,0.0
