step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
302,0.604,0,0,483200,0,989593600,483200,483200,0,1371995.8299712935,1.009456147008823,1868169.6242349942,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,302.0,857.4973937320584,1167.6060151468714
313,0.626,0,0,500800,0,1025638400,500800,500800,0,1421969.188016605,1.009456147008823,1936215.5377005069,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,313.0,888.7307425103781,1210.1347110628167
323,0.646,0,0,516800,0,1058406400,516800,516800,0,1467399.5135123434,1.009456147008823,1998075.4590327914,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,323.0,917.1246959452146,1248.7971618954946
333,0.666,0,0,532800,0,1091174400,532800,532800,0,1512829.8390080815,1.009456147008823,2059935.380365076,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,333.0,945.5186493800509,1287.4596127281725
344,0.6880000000000001,0,0,550400,0,1127219200,550400,550400,0,1562803.1970533936,1.009456147008823,2127981.2938305894,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,344.0,976.751998158371,1329.9883086441184
354,0.708,0,0,566400,0,1159987200,566400,566400,0,1608233.5225491317,1.009456147008823,2189841.2151628733,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,354.0,1005.1459515932073,1368.6507594767959
365,0.73,0,0,584000,0,1196032000,584000,584000,0,1658206.8805944438,1.009456147008823,2257887.1286283867,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,365.0,1036.3793003715273,1411.1794553927416
375,0.75,0,0,600000,0,1228800000,600000,600000,0,1703637.206090182,1.009456147008823,2319747.0499606715,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,375.0,1064.7732538063638,1449.8419062254197
385,0.77,0,0,616000,0,1261568000,616000,616000,0,1749067.53158592,1.009456147008823,2381606.971292956,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,385.0,1093.1672072412,1488.5043570580974
396,0.792,0,0,633600,0,1297612800,633600,633600,0,1799040.8896312322,1.009456147008823,2449652.8847584687,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,396.0,1124.40055601952,1531.033052974043
406,0.812,0,0,649600,0,1330380800,649600,649600,0,1844471.21512697,1.009456147008823,2511512.806090753,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,406.0,1152.7945094543563,1569.6955038067206
417,0.834,0,0,667200,0,1366425600,667200,667200,0,1894444.5731722824,1.009456147008823,2579558.7195562664,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,417.0,1184.0278582326764,1612.2241997226665
427,0.854,0,0,683200,0,1399193600,683200,683200,0,1939874.8986680203,1.009456147008823,2641418.640888551,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,427.0,1212.4218116675127,1650.8866505553442
438,0.876,0,0,700800,0,1435238400,700800,700800,0,1989848.2567133326,1.009456147008823,2709464.554354064,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,438.0,1243.655160445833,1693.4153464712901
448,0.896,0,0,716800,0,1468006400,716800,716800,0,2035278.5822090707,1.009456147008823,2771324.4756863485,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,448.0,1272.0491138806692,1732.0777973039678
