method,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,basin_map_outside_mass_mean,basin_map_outside_mass_std,grad_evals_per_step,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,score_clip_count_cumulative,score_clip_fraction_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
CP,1.88985722915907,0.04991049439023587,0.0146875,0.0034970225430595477,0.07219662251663975,0.008561973420917593,0.06626725466118212,0.01489173121543748,0.0,0.2480459871004418,0.013467796550903353,0.011841540183608444,0.005135159951718395,0.0,0.0,16000.0,1.00144,1602304,0,0.0,0,0,0.0,8,1602304,1602304,0.0020176518883415436,1.00144,,0,0.0,0.0,0.0,0,0.0,,,0.0,0,0.0,inf,784.7297266829992,0.0
LSC-CP-RA-8,2.5456113173356165,0.036935316476637614,0.23212500000000003,0.010417133322880466,0.06424920952280641,0.010236208728172137,0.06868248632076993,0.013175862417504987,0.0,0.35830554556783617,0.009186295560939785,0.012930543634878718,0.005324660136348414,0.0,0.0,16000.0,0.99863625,1597818,0,0.0,,,,,1597818,1597818,0.001993739737274215,0.99863625,0.01700492610837436,0,0.0,0.0,0.0,0,0.0,13612175,0.01701521875,4096000.0,0,0.0,2.896,1550.6025126028107,0.0
