method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,jump_count_mean,jump_count_applied_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.3566761531606049,0.4297764206947071,0.4295494409627332,0.617338957452866,0.7014013590947782,1.0137627995973475,1.0,0.5,1.0005642399804948,0.039105908332192296,1.009003998696455,0.021211717649500472,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.3565628896170088,0.4296575566633871,0.4294306009819483,0.6202243680236761,0.7012863355202078,1.0133627199645412,1.0,0.5,0.9999934806201546,0.03792224741250316,1.0071620184411254,0.018661986139750897,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.3554926022852027,0.4296933247396886,0.4294662191611267,0.6143123259434173,0.7008414539774553,1.0130295178006041,1.0,0.5,1.0008979457427407,0.039992423725933035,1.0106565320843943,0.023840373396399772,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.354894183171407,0.42919318911506443,0.42896618318724267,0.6146320050257159,0.7004082526774602,1.0118418006576066,1.0,0.5,0.9985005243341689,0.03502573253540586,1.0029355816838494,0.013164223769013605,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,0,4,0.02,32000.0,4.0,4.0,0.0,1.3265258130554034,0.4040153092211278,0.4037703830132262,0.5474341423837747,0.6794627073111061,0.9950194453806505,0.99,0.49,0.9949713129483722,0.0947792105686831,1.1433910429066865,0.42977823428819384,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,1,4,0.02,32000.0,4.0,4.0,0.0,1.332164362241581,0.40959065838612374,0.40934938013734135,0.5486847356601923,0.6833980213473587,0.9993513391461899,0.993,0.493,0.9990644152333537,0.0899875880981571,1.1544296204426379,0.4769818412826451,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,2,4,0.02,32000.0,4.0,4.0,0.0,1.3282606397922585,0.40606628465230177,0.40582235695026814,0.5496595292279236,0.6810738291794102,0.9980006419462142,0.9905,0.49050000000000005,0.9974506347053562,0.09583909954393444,1.1388380132247475,0.4017606209163297,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,3,4,0.02,32000.0,4.0,4.0,0.0,1.3277429219974137,0.4046001786145673,0.40435612281905076,0.5492433057085802,0.6798635256853656,0.9944306487931809,0.9905,0.49050000000000005,0.9938515287492015,0.08978516475721499,1.1451731921178434,0.4520927898734449,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.004750000000000001,152,0.95,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,0,8,0.04,64000.0,8.0,8.0,0.0,1.304572240361453,0.3875362982785725,0.38728072208928066,0.5165591052667623,0.6652268176693167,0.986736868,0.9825,0.48250000000000004,0.9867369745357704,0.11646329487924989,1.1845600723272456,0.5508829092877155,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
Raw-CP,"Raw-CP, canonical",53a37859875f65df06f1296adb702f88,8da7d73e85753d4e79f54062070fbc7b,False,1,8,0.04,64000.0,8.0,8.0,0.0,1.3097436760627332,0.38679365347477945,0.38653676365473755,0.5163046585413291,0.6666837518214676,0.99231795,0.983,0.483,0.9923183582124392,0.1307039488141888,1.2402048126449008,0.7046781676854567,False,nan,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0053437499999999995,323,1.009375,0.0,0.0,0.0
