method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,0,0.0,0.0,0.0,0.0,0.0,0.7378303296219157,0.51883504808367,0.5183362755671675,0.79125,0.5305692259004031,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,0,0.0,0.0,0.0,0.0,0.0,0.7378845978551255,0.5184544179234108,0.5179559118704044,0.795,0.5317359606383583,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,0,0.0,0.0,0.0,0.0,0.0,0.7372730499728566,0.5177591242135423,0.517260513905611,0.79625,0.5296149510014997,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,0,0.0,0.0,0.0,0.0,0.0,0.7370338762689239,0.5185254338836961,0.5180263646457558,0.79625,0.5345854208997964,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.7,,
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,17,0.0425,54400.0,17.0,17.0,0.0,0.6434376063561771,0.4011596935931213,0.40057015467462953,0.65625,0.3761039600170235,0.0,0.24715821606620686,0.6336477216369079,True,1.0,reject,1.7,0.0010845588235294118,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,17,0.0425,54400.0,17.0,17.0,0.0,0.6279615248370554,0.38255278193187503,0.3819492822452901,0.6375,0.3581275017789233,0.0,0.23004112365953253,0.6136477216369078,True,1.0,reject,1.7,0.0010845588235294118,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,17,0.0425,54400.0,17.0,17.0,0.0,0.6445070525083543,0.3986798279273147,0.39808439079097946,0.655,0.3715771360082336,0.0,0.24859463361491016,0.6436477216369078,True,1.0,reject,1.7,0.0010845588235294118,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,17,0.0425,54400.0,17.0,17.0,0.0,0.6374417016420189,0.3937842712379733,0.39318973280028235,0.6462500000000001,0.3790948436351118,0.0,0.2358224620138909,0.6198977216369079,True,1.0,reject,1.7,0.0010845588235294118,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.0825,105600.0,33.0,33.0,0.0,0.5795773840265903,0.3226799586242478,0.32203337155362666,0.5625,0.3059582124769603,0.0,0.18483145885276625,0.5311477216369078,True,1.0,reject,1.7,0.0010700757575757575,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.0825,105600.0,33.0,33.0,0.0,0.5780741907244041,0.3179670829434539,0.3173062160137138,0.56,0.28735710767824807,0.0,0.17891449725086833,0.5398977216369079,True,1.0,reject,1.7,0.0010700757575757575,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.0825,105600.0,33.0,33.0,0.0,0.5894628784899121,0.33033552832451407,0.32968764728781097,0.5775,0.3057373474887608,0.0,0.18895743003031973,0.5473977216369078,True,1.0,reject,1.7,0.0010700757575757575,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.0825,105600.0,33.0,33.0,0.0,0.5791372262776311,0.3194969081628888,0.3188477203452035,0.56,0.2876497889643508,0.0,0.18261722179539086,0.5298977216369077,True,1.0,reject,1.7,0.0010700757575757575,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.125,160000.0,50.0,50.0,0.0,0.5199201486316561,0.2540588297874241,0.2533531294754673,0.46875000000000006,0.2470735488692496,0.0,0.14194382611681514,0.4423977216369078,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.125,160000.0,50.0,50.0,0.0,0.5284821574159246,0.2641512361555215,0.263445886504029,0.4912500000000001,0.2459978210160445,0.0,0.1376724327805609,0.4548977216369078,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.125,160000.0,50.0,50.0,0.0,0.54929725623174,0.28393406051075976,0.2832472519484901,0.515,0.26767404225372604,0.0,0.15977398159520076,0.4911477216369078,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.125,160000.0,50.0,50.0,0.0,0.5233652223078784,0.2584416504610324,0.25773371807896617,0.48375,0.2604180360292482,0.0,0.14190488968800358,0.46114772163690776,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.1675,214400.0,67.0,67.0,0.0,0.47820128627384406,0.21721383448104215,0.21649157610548486,0.41500000000000004,0.22435138138037103,0.0,0.12267212854032489,0.3748977216369078,True,1.0,reject,1.7,0.0010867537313432837,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.1675,214400.0,67.0,67.0,0.0,0.46069698209957805,0.19788167797744893,0.19712817726164522,0.40125000000000005,0.2154189683134059,0.0,0.10550538736382592,0.3798977216369078,True,1.0,reject,1.7,0.0010867537313432837,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.1675,214400.0,67.0,67.0,0.0,0.5001086970371629,0.23496231433446912,0.23424177375667476,0.43750000000000006,0.24919206928724535,0.0,0.13045145796094754,0.41614772163690783,True,1.0,reject,1.7,0.0010867537313432837,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.1675,214400.0,67.0,67.0,0.0,0.4761982947959438,0.21404616987937353,0.2133107598656201,0.40625000000000006,0.2258893791555303,0.0,0.11355351805964607,0.3773977216369078,True,1.0,reject,1.7,0.0010867537313432837,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,83,0.20750000000000002,265600.0,83.0,83.0,0.0,0.44781619299706577,0.18368959713917987,0.18293515335282895,0.36125000000000007,0.2094186529939146,0.0,0.09799511687894441,0.3186477216369078,True,1.0,reject,1.7,0.0010993975903614457,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,83,0.20750000000000002,265600.0,83.0,83.0,0.0,0.4228274503855748,0.15809113426535304,0.15730620270160256,0.33,0.17855766497691727,0.0,0.07987298749340002,0.30614772163690784,True,1.0,reject,1.7,0.0010993975903614457,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,83,0.20750000000000002,265600.0,83.0,83.0,0.0,0.46059182170646895,0.19443887297778795,0.1936861042268796,0.37875000000000003,0.21401134712511738,0.0,0.10468894616215993,0.3473977216369078,True,1.0,reject,1.7,0.0010993975903614457,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,83,0.20750000000000002,265600.0,83.0,83.0,0.0,0.4305460363292475,0.1669864794329292,0.16622220705244428,0.33000000000000007,0.19330201395030056,0.0,0.09101221042913334,0.29614772163690783,True,1.0,reject,1.7,0.0010993975903614457,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,100,0.25,320000.0,100.0,100.0,0.0,0.4263518129742838,0.1593906326019897,0.1586184777400207,0.31500000000000006,0.18434909503077102,0.0,0.08783309754837074,0.2886477216369078,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,100,0.25,320000.0,100.0,100.0,0.0,0.4052070977264184,0.13823095825809062,0.13742007101666176,0.30874999999999997,0.16811059195770617,0.0,0.06883020543912594,0.2861477216369078,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,2,100,0.25,320000.0,100.0,100.0,0.0,0.4301448093010888,0.16259421032749877,0.16181803229716663,0.32749999999999996,0.1960736267586598,0.0,0.08625633541692942,0.29614772163690783,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,3,100,0.25,320000.0,100.0,100.0,0.0,0.40853683255867956,0.14605466232801723,0.1452840672866461,0.32375000000000004,0.173148429538739,0.0,0.07515325710279486,0.2639747587087937,True,1.0,reject,1.7,0.00110625,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,0,117,0.2925,374400.0,117.0,117.0,0.0,0.40939875746134624,0.1420088044551312,0.1412247318528339,0.32499999999999996,0.1760084329754994,0.0,0.07419775165466691,0.26397475870879367,True,1.0,reject,1.7,0.0011191239316239317,0.0
FLA,"FLA alpha=1.7, tamed",539ccca205beeea074bcb3e0ff138db1,c87203a12406cc5114b7ffa2d8877465,True,1,117,0.2925,374400.0,117.0,117.0,0.0,0.38872721565746665,0.12502151639082926,0.12420549430964956,0.29125,0.16311621724401726,0.0,0.06093565488835989,0.25239772163690777,True,1.0,reject,1.7,0.0011191239316239317,0.0
