method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,phase_weight_JS,order_parameter_SW2,order_parameter_MMD2_biased,energy_per_site_MAE,susceptibility_relative_frobenius,order_parameter_MMD2_unbiased,phase_weight_TV,max_phase_mass_error,phase_outside_mass,energy_per_site_variance_error,coherence_mean_error,correlation_relative_L2,kink_density_error,heat_capacity_error,binder_cumulant_error,order_parameter_mean_error,marginal_KS_mx,marginal_KS_my,marginal_KS_m_norm,marginal_W1_mx,marginal_W1_my,marginal_W1_m_norm,energy_per_site_KS,energy_per_site_W1,energy_per_site_MMD2_biased,energy_per_site_MMD2_unbiased,coherence_KS,coherence_W1,kink_density_KS,kink_density_W1,kink_zero_probability,kink_zero_probability_reference,kink_zero_probability_error,kink_high_tail_threshold,kink_high_tail_probability,kink_high_tail_probability_reference,kink_high_tail_probability_error,connected_correlation_relative_L2,energy_per_site_mean,energy_per_site_variance,coherence_mean,kink_density_mean,heat_capacity_per_site,heat_capacity_per_site_reference,binder_cumulant,binder_cumulant_reference,phase_occupancy_0,phase_count_0,phase_occupancy_1,phase_count_1,phase_occupancy_2,phase_count_2,phase_occupancy_3,phase_count_3,phase_outside_count,susceptibility_00,susceptibility_01,susceptibility_10,susceptibility_11,correlation_r0,connected_correlation_r0,correlation_r1,connected_correlation_r1,correlation_r2,connected_correlation_r2,correlation_r3,connected_correlation_r3,correlation_r4,connected_correlation_r4,correlation_r5,connected_correlation_r5,correlation_r6,connected_correlation_r6,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,bank_size,bank_refresh_policy,bank_shared_between_score_and_noise,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,0,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.282123349020338,0.3018222408164821,0.022021895196425473,0.9997660814749845,0.30095294270849005,0.676619318181681,0.676619318181681,0.0,0.0016173640827376486,0.0024482037335944737,0.0572041712587024,5.823863636363635e-05,1.2421356155425143,0.017909744962823715,1.2832868618276967,0.7175,0.7075,0.53,1.0070024981411871,0.869457360692137,0.10488021123572945,0.19499999999999995,0.020264718365007952,0.03279518941281012,0.030299782074665327,0.3075,0.0023738721835594202,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996108775486214,0.14766852230606758,0.0029438017299248487,0.00992639226332872,0.0,2.2608397285822837,1.0187041130397694,0.49976844942021226,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.020221791274115893,0.001259759973294749,0.001259759973294749,0.022263891767381992,2.0191026997419215,0.005035403519859649,2.014139503610257,7.220738819535555e-05,2.014089869493466,2.25732714040916e-05,2.0140335416184096,-3.375460365218075e-05,2.0141544450351363,8.714881307447797e-05,2.014093956497644,2.6660275582290893e-05,2.0139796560172245,-8.764020483731372e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,1,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2818667719736125,0.3013986637998115,0.025945595742772942,0.9997809086060085,0.3005293814096852,0.676619318181681,0.676619318181681,0.0,0.001612157599164178,0.002708436354839523,0.05535403645942811,5.823863636363635e-05,1.2381370361580888,0.017944376222723823,1.2820249616756785,0.7124999999999999,0.7125,0.54,1.0054498176299673,0.8698004986894756,0.10487454094266677,0.22750000000000004,0.02417813188487905,0.048545279696113774,0.04601850882515335,0.3325,0.0026341048048044704,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996151592049111,0.15159222285241505,0.002938595246351378,0.01018662488457377,0.0,2.256841149197858,1.0187041130397694,0.49980308068011237,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021161471407518093,-0.0010401760739833826,-0.0010401760739833826,0.019022662458615943,2.0156436387725902,0.005095941778722857,2.0105503263303035,2.629336436132945e-06,2.0105280583260283,-1.9638667839050328e-05,2.0105592286751706,1.15316813031896e-05,2.0104786017930216,-6.909520084574794e-05,2.010566535209867,1.8838215999572583e-05,2.010573683676469,2.598668260178627e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,2,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2814514008441649,0.30134520458382796,0.021665279627055833,0.9997663901282587,0.3004759033884211,0.676619318181681,0.676619318181681,0.0,0.0012839837456132348,0.002426793164614649,0.0550407577880882,5.823863636363635e-05,0.9860995166309647,0.017935938910987326,1.281825303804258,0.7125,0.7050000000000001,0.5325000000000001,1.0056691743082165,0.8692876994243285,0.10506596357144136,0.18999999999999995,0.019897815769161966,0.03796348537687466,0.03549665067436325,0.32500000000000007,0.002352461614579598,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996042922563934,0.14731190673669795,0.002610421392800435,0.009904981694348896,0.0,2.004803629670734,1.0187041130397694,0.49979464336837587,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.022428740043002236,-0.001592511291037678,-0.001592511291037678,0.02050929722649486,2.014870781064811,0.004942341980503695,2.0099182902176365,-1.0148866671055856e-05,2.010029028608252,0.00010058952394453868,2.0099305953803595,2.156296051936124e-06,2.009867904377488,-6.0534706819659334e-05,2.01004000741644,0.000111568332132439,2.01005267246857,0.00012423338426259534,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,3,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2819598007662498,0.3014376724594936,0.023012860750206893,0.9997758749273734,0.3005683863562896,0.676619318181681,0.676619318181681,0.0,0.0014680630110313587,0.002515264804106662,0.055484801810083556,5.823863636363635e-05,1.127472392472083,0.017920237140522932,1.2821235221712604,0.7150000000000001,0.7150000000000001,0.54,1.0055134472544585,0.8697226182923167,0.10424390359302287,0.20750000000000002,0.02135142676567793,0.04284235111212831,0.04036214794392945,0.34500000000000003,0.0024409332540716085,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996151864874541,0.148659487859849,0.0027945006582185588,0.00999345333384091,0.0,2.1461765055118525,1.0187041130397694,0.4997789415979115,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.021997717430239278,0.0009623690375015978,0.0009623690375015978,0.01873016576086414,2.0157849415428584,0.004988665782982071,2.0107882148759377,-8.06088393856541e-06,2.0108007662630256,4.490503149323644e-06,2.0108478230184024,5.154725852607456e-05,2.0107456840105975,-5.0591749278794396e-05,2.0108110232714633,1.4747511587032136e-05,2.0108616026321973,6.53268723209699e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,0,10,0.02,48727.244835166755,30.454528021979222,10.0,20.26291888220127,0.29036931503283575,1.2504573834495432,0.28859858720224785,0.01604716790967685,0.9604196540119918,0.2876912359428755,0.6591193181816808,0.6591193181816808,0.0,0.0009912671036788237,0.00024040804692323017,0.06047025627057658,5.823863636363635e-05,0.7612931356253367,0.014888644523651129,1.258798391007545,0.6775,0.6825000000000001,0.46,0.9806402227583815,0.849989976317479,0.09658627264019749,0.23750000000000004,0.020087452996704013,0.058221749221162855,0.05608579785181489,0.11000000000000004,0.00034891222762874744,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9600062005205018,0.10959945919996526,0.0023177047508660237,0.007237780482811017,0.0,1.7799972486651061,1.0187041130397694,0.49674734898103967,0.48185870445738854,0.98249999999999,393,0.0075,3,0.01,4,0.0,0,0,3.9470058565896844,-0.03290860387337721,-0.03290860387337721,3.28526535313841,2.026028163211302,0.08040891055504717,2.0224092729698966,0.0767900203136418,2.020586334878798,0.074967082222543,2.019839681885971,0.07422042922971617,2.019563447876889,0.07394419522063433,2.0194878329137613,0.07386858025750653,2.019403544076095,0.07378429141984011,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0001875,0.0022500000000000003,670.8320238802768,36,0.0001875,1.1250000000000002,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,1,10,0.02,48727.244835166755,30.454528021979222,10.0,20.26291888220127,0.3025286947422538,1.2598668906796744,0.2952321367484536,0.002303042003864053,0.9719546708451274,0.2943349775786618,0.6666193181816809,0.6666193181816809,0.0,0.06993976943206813,2.2002759891989743e-05,0.07707548430893706,5.823863636363635e-05,53.7137429238283,0.005333925960357644,1.2779400523341904,0.6825000000000001,0.67,0.47250000000000003,0.9932003011703203,0.8589583930917354,0.10032667156002123,0.18749999999999994,0.031808875438575065,0.04381440332778175,0.0415932644217788,0.052500000000000005,0.0002974547311705535,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9716228467872183,0.12794966911350616,0.07126620707925534,0.007500191289626237,0.0,54.73244703686807,1.0187041130397694,0.4765247784970309,0.48185870445738854,0.9899999999999899,396,0.005,2,0.005,2,0.0,0,0,2.04317051807316,0.034651512293422414,0.034651512293422414,3.0794200753891396,2.057740240800877,0.0585616118287704,2.0539901451560634,0.054811516183956854,2.0521766739328964,0.05299804496078986,2.0514705971730574,0.052291968200950834,2.0511759451597307,0.051997316187624154,2.051184525171995,0.05200589619988838,2.0511305482992497,0.05195191932714316,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0001875,0.0022500000000000003,670.8320238802768,36,0.0001875,1.1250000000000002,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,2,10,0.02,48727.244835166755,30.454528021979222,10.0,20.26291888220127,0.2992105398770064,1.2555109741167443,0.2909759754232131,0.007486589370821195,0.9669827541109048,0.2900745230646755,0.6641193181816809,0.6641193181816809,0.0,0.06050321825564284,0.0005109183892934091,0.0653398888973015,5.823863636363635e-05,46.46647162033371,0.0033720246317040514,1.266428610096344,0.6675,0.6625000000000001,0.45000000000000007,0.981125261969526,0.8611142794388007,0.09974747696277074,0.27749999999999997,0.03642782063991288,0.08636564710184214,0.084322614843657,0.14250000000000007,0.0005904581215794787,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9666117128796924,0.11816003773882092,0.06182965590283004,0.006967270140440838,0.0,47.485175733373474,1.0187041130397694,0.4784866798256845,0.48185870445738854,0.9874999999999899,395,0.0025,1,0.01,4,0.0,0,0,4.141491713675432,-0.0020547462087581983,-0.0020547462087581983,1.8917305503226465,2.0352322257915008,0.0678730642277805,2.0317485907212807,0.06438942915756041,2.029901318037294,0.06254215647357375,2.0290364270644448,0.0616772655007245,2.028838514031451,0.06147935246773084,2.0287621117384615,0.06140295017474129,2.028771190829539,0.0614120292658189,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0001875,0.0022500000000000003,670.8320238802768,36,0.0001875,1.1250000000000002,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,3,10,0.02,48727.244835166755,30.454528021979222,10.0,20.26291888220127,0.306209489168073,1.2577832789362924,0.2941520960205235,0.005568790999037093,0.9727473158793557,0.29325533845335794,0.6666193181816809,0.6666193181816809,0.0,0.0338586426353865,0.00025881895968851275,0.06865519348571922,5.823863636363635e-05,26.003437543976823,0.0005030627659402542,1.2727806188196973,0.68,0.675,0.44500000000000006,0.9993885888322754,0.8474588408524977,0.09788069044321557,0.22500000000000003,0.03045427844623145,0.059486944590564694,0.057327432991649996,0.08500000000000002,0.00036164245129968465,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9719107898614181,0.12007783611060502,0.0351850802825737,0.007219369570045734,0.0,27.022141657016594,1.0187041130397694,0.4813556416914483,0.48185870445738854,0.9899999999999899,396,0.01,4,0.0,0,0.0,0,0,0.09087242460018284,-0.019953511616588412,-0.019953511616588412,4.980614740485031,2.041497761143358,0.0578264536167481,2.0378880763583345,0.05421676883172477,2.0361600440845717,0.052488736557962046,2.0354669958301557,0.05179568830354597,2.035202073763324,0.051530766236714154,2.035173110229242,0.05150180270263238,2.0351283845412684,0.051457077014658736,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0001875,0.0022500000000000003,670.8320238802768,36,0.0001875,1.1250000000000002,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,0,21,0.042,102327.21415385017,63.95450884615636,21.0,42.55212965262266,0.26732727299882014,1.2201200688569638,0.27510126856244876,0.008843717742047313,0.9219626135048912,0.27415699682762784,0.6416193181816807,0.6416193181816807,0.0,0.004362661034417906,7.94606933575779e-05,0.05855789407767544,5.823863636363635e-05,3.3505236744329503,0.011981079805905237,1.2312747640902888,0.64,0.6275,0.4125000000000001,0.9627366209305336,0.8229029091282685,0.09052038812951448,0.18250000000000005,0.016265740541615014,0.032129560614425956,0.029969761721169275,0.06000000000000005,0.00020743212764220108,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9212707719477912,0.1168029093675948,0.005689098681605107,0.007557649223091825,0.0,4.3692277874727194,1.0187041130397694,0.4938397842632938,0.48185870445738854,0.9649999999999904,386,0.0175,7,0.0175,7,0.0,0,0,7.202201543160044,-0.04804130870079708,-0.04804130870079708,7.0600618805817685,2.0233022774650324,0.1543739375038915,2.0195234528534867,0.15059511289234573,2.0173772709783226,0.1484489310171817,2.0161277014873638,0.14719936152622282,2.0154556125552263,0.14652727259408538,2.0151111994661366,0.14618285950499565,2.0149732980353994,0.14604495807425844,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.00011363636363636364,0.001704545454545455,650.6489384621764,66,0.00014880952380952382,0.9821428571428569,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,6301bacd8069f5c726e241e2afe2fb0c,True,1,21,0.042,102327.21415385017,63.95450884615636,21.0,42.55212965262266,0.2866803225384156,1.2412343461495512,0.2877418481653,0.010362358931429949,0.9493899293862191,0.2868230004736031,0.6566193181816808,0.6566193181816807,0.0,0.09645726504274675,0.00010655926110865552,0.07953628843218545,5.823863636363635e-05,74.0791795528295,0.014950706351593124,1.2647008544080167,0.6525,0.645,0.41000000000000003,0.9843099487161243,0.8390260412076468,0.09297995242441673,0.1499999999999999,0.033409942675696275,0.02367382775275506,0.021518469979506794,0.032500000000000084,0.00011591519697712923,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9490052850615406,0.13600898604107206,0.09778370268993396,0.007584747790842903,0.0,75.09788366586928,1.0187041130397694,0.4669079981057954,0.48185870445738854,0.9799999999999901,392,0.01,4,0.01,4,0.0,0,0,5.285976730391947,0.07901941185927393,0.07901941185927393,3.939907825458978,2.0632684948379034,0.10204989171504142,2.059476120942482,0.09825751781961989,2.057140690552562,0.09592208742970021,2.055925396839195,0.09470679371633306,2.0554483933124716,0.09422979018960964,2.0552386494573485,0.09402004633448646,2.055248720985988,0.09403011786312598,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.00011363636363636364,0.001704545454545455,650.6489384621764,66,0.00014880952380952382,0.9821428571428569,0.0,0.0
