step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
550,1.375,0,0,1760000,0,0,0,1760000,0,0.0,0.7570305438663122,1760000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,550.0,0.0,550.0
567,1.4175,0,0,1814400,0,0,0,1814400,0,0.0,0.7570305438663122,1814400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,567.0,0.0,567.0
583,1.4575,0,0,1865600,0,0,0,1865600,0,0.0,0.7570305438663122,1865600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,583.0,0.0,583.0
600,1.5,0,0,1920000,0,0,0,1920000,0,0.0,0.7570305438663122,1920000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,600.0,0.0,600.0
617,1.5425,0,0,1974400,0,0,0,1974400,0,0.0,0.7570305438663122,1974400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,617.0,0.0,617.0
633,1.5825,0,0,2025600,0,0,0,2025600,0,0.0,0.7570305438663122,2025600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,633.0,0.0,633.0
650,1.625,0,0,2080000,0,0,0,2080000,0,0.0,0.7570305438663122,2080000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,650.0,0.0,650.0
667,1.6675,0,0,2134400,0,0,0,2134400,0,0.0,0.7570305438663122,2134400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,667.0,0.0,667.0
683,1.7075,0,0,2185600,0,0,0,2185600,0,0.0,0.7570305438663122,2185600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,683.0,0.0,683.0
700,1.75,0,0,2240000,0,0,0,2240000,0,0.0,0.7570305438663122,2240000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,700.0,0.0,700.0
717,1.7925,0,0,2294400,0,0,0,2294400,0,0.0,0.7570305438663122,2294400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,717.0,0.0,717.0
733,1.8325,0,0,2345600,0,0,0,2345600,0,0.0,0.7570305438663122,2345600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,733.0,0.0,733.0
750,1.875,0,0,2400000,0,0,0,2400000,0,0.0,0.7570305438663122,2400000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,750.0,0.0,750.0
767,1.9175,0,0,2454400,0,0,0,2454400,0,0.0,0.7570305438663122,2454400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,767.0,0.0,767.0
783,1.9575,0,0,2505600,0,0,0,2505600,0,0.0,0.7570305438663122,2505600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,783.0,0.0,783.0
