method,EMC_mean,EMC_std,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,grad_evals_per_step,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,mala_accept,mala_accept_count_cumulative,mala_accept_fraction_cumulative,mala_proposal_count_cumulative,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_frac_mean,nonfinite_frac_std,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,outside_proposal_reject_count_cumulative,outside_proposal_reject_fraction_cumulative,pt_swap_accept,pt_swap_accept_count_cumulative,pt_swap_accept_fraction_cumulative,pt_swap_proposal_count_cumulative,score_clip_count_cumulative,score_clip_fraction_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
ULA,0.03379005805981129,0.0004806469642981479,1.8129730453968793,0.010645078861134727,0.0,0.0,0.4768680135905144,0.0003881573818351775,0.9163416666666667,0.0026758040915268594,0.0,26.117264847317884,0.024076117306243233,4.202487850182955,0.016868130908704655,60000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf,7.510932594537735,0.0
MALA,0.03362194226731969,0.00048167222893523274,1.8098787342611107,0.012563545716065203,0.0,0.0,0.47711012520223633,0.00043105436928527033,0.9167333333333335,0.0032009056689395053,60000.0,26.13578332989587,0.028557489174529976,4.205760089604603,0.013568709899386635,60000.0,,,,,,,,,,,,,,0.9999405555555546,599962183,0.9999369716666666,600000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,0.0,,,inf,14.458696264773607,0.0
FLA,0.587401752949419,0.010444277639639416,1.3673342997535514,0.0624785833922684,0.00105,0.0005250258792793395,0.32133957815696584,0.004674541864085671,0.43585000000000007,0.00681870828007003,0.0,15.247098747798715,0.21366542613347186,0.7429309126387835,0.04499760780207318,60000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,3326,5.543333333333333e-06,inf,7.928250137716532,0.0
BAOAB,0.03166173390373666,0.0005982549589187698,1.7675211961013293,0.014389155976044735,0.0,0.0,0.47827198353344097,0.0005280534135373515,0.9300583333333332,0.0044649277385132215,0.0,26.227906881011894,0.03227926149767977,4.239681591811512,0.016463058859593743,60000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf,7.5324155911803246,0.0
PT,0.9480132395691356,0.004568428058177656,0.3497451805021032,0.01752439928091386,0.0,0.0,0.12931655726018934,0.006862794409549239,0.141375,0.0067177409505175785,180000.0,6.5428978063009735,0.33529714000036787,0.05523619905370606,0.005349147981048323,180000.0,,,,,,,,,,,,,,0.998550925925926,1797812505,0.998784725,1800000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1671070,0.0009283722222222222,0.26317222222222214,17241907,0.28736511666666664,60000000,,,0.0,,,inf,23.205285094678402,0.0
CP,0.797273192375242,0.008229931379575287,0.6797344378468703,0.04236419609712924,0.25406666666666666,0.0089611075919979,0.18892724932966085,0.004399850352509935,0.28555,0.008862475853894871,0.0,9.981127387231874,0.19094931295536302,0.2669009854797806,0.013440911554220843,60000.0,0.9997928333333334,5997856,148427,0.024746676145609364,0,0,0.0,8,5998757,5998757,0.010059166666666668,0.9997928333333334,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,230628,0.00038438,inf,35.31648193579167,0.0
LSC-CP,0.9877181524345738,0.002578324449910169,0.1900473850662535,0.014913341625524474,0.0011833333333333333,0.0005205905231116133,0.048232726230790134,0.006837244429109495,0.06369166666666667,0.007493296521132953,0.0,2.830081436945129,0.3388156308751792,0.012290544275821968,0.002654531176581574,60000.0,0.9997928333333334,5998757,63,1.0502175700732669e-05,0,0,0.0,8,5998757,5998757,0.010059166666666668,0.9997928333333334,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0,0.0,0.0,48,8e-08,62.36,3665.7874376568943,0.0
LSC-CP-RA,0.9671438334253158,0.004887695427096943,0.2804407585666142,0.019593754668247344,0.004716666666666667,0.001612900888263851,0.04277891069529832,0.006397452047489937,0.103,0.009084722005270357,0.0,2.652161190418701,0.2628803415174165,0.035540511937714486,0.005647623208956247,60000.0,0.9999593333333333,5999752,630,0.00010500434017939408,,,,,5999756,5999756,0.010024166666666664,0.9999593333333333,0.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0,0.0,960000.0,557,9.283333333333334e-07,inf,64.86444238200784,0.0
