method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,phase_weight_JS,order_parameter_SW2,order_parameter_MMD2_biased,energy_per_site_MAE,susceptibility_relative_frobenius,order_parameter_MMD2_unbiased,phase_weight_TV,max_phase_mass_error,phase_outside_mass,energy_per_site_variance_error,coherence_mean_error,correlation_relative_L2,kink_density_error,heat_capacity_error,binder_cumulant_error,order_parameter_mean_error,marginal_KS_mx,marginal_KS_my,marginal_KS_m_norm,marginal_W1_mx,marginal_W1_my,marginal_W1_m_norm,energy_per_site_KS,energy_per_site_W1,energy_per_site_MMD2_biased,energy_per_site_MMD2_unbiased,coherence_KS,coherence_W1,kink_density_KS,kink_density_W1,kink_zero_probability,kink_zero_probability_reference,kink_zero_probability_error,kink_high_tail_threshold,kink_high_tail_probability,kink_high_tail_probability_reference,kink_high_tail_probability_error,connected_correlation_relative_L2,energy_per_site_mean,energy_per_site_variance,coherence_mean,kink_density_mean,heat_capacity_per_site,heat_capacity_per_site_reference,binder_cumulant,binder_cumulant_reference,phase_occupancy_0,phase_count_0,phase_occupancy_1,phase_count_1,phase_occupancy_2,phase_count_2,phase_occupancy_3,phase_count_3,phase_outside_count,susceptibility_00,susceptibility_01,susceptibility_10,susceptibility_11,correlation_r0,connected_correlation_r0,correlation_r1,connected_correlation_r1,correlation_r2,connected_correlation_r2,correlation_r3,connected_correlation_r3,correlation_r4,connected_correlation_r4,correlation_r5,connected_correlation_r5,correlation_r6,connected_correlation_r6,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,jump_cap_k,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,jump_cap_hit_fraction_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,0,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.281995729725856,0.3014701220784439,0.023382303312749708,0.9997790530108176,0.30060083855894126,0.676619318181681,0.676619318181681,0.0,0.0009639968677823947,0.002538624923437818,0.05571649954241002,5.823863636363635e-05,0.7403495944568792,0.017933551144707294,1.2822639218279865,0.715,0.72,0.5425,1.005469441724565,0.8700111823237078,0.10487738547065123,0.1975,0.02161483945485582,0.04121949452193996,0.038811851401647,0.3325,0.0024642933734027638,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996181400384633,0.14902893042239182,0.002290434514969595,0.010016813453172065,0.0,1.7590537074966486,1.0187041130397694,0.49979225560209584,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02101643389659607,-9.051964096846706e-05,-9.051964096846706e-05,0.019333098558669607,2.0162889997635127,0.005044297305474288,2.011280593036927,3.5890578888420066e-05,2.011271213085493,2.6510627454623403e-05,2.0112270859765737,-1.7616481464699518e-05,2.0111950440056323,-4.9658452406120546e-05,2.0112539401835092,9.237725470789826e-06,2.011222759484695,-2.194297334323636e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,1,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2825061031873326,0.3015946865123742,0.02294523051498082,0.9997974300461987,0.30072542438552685,0.676619318181681,0.676619318181681,0.0,0.0014858536510727156,0.002511251228034166,0.0563232325815274,5.823863636363635e-05,1.141135604023846,0.017961459449815642,1.2826673902361356,0.7225,0.715,0.5475000000000001,1.0060730586204414,0.8703919083494646,0.1057639064539504,0.2025,0.021218266129925435,0.03578306988724378,0.0332931740739143,0.32499999999999996,0.002437130379603085,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996344534252928,0.14859185762462293,0.0028122912982599156,0.009989439757768413,0.0,2.1598397170636154,1.0187041130397694,0.4998201639072042,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.01778867325425251,-0.0012122296876798816,-0.0012122296876798816,0.01942831500046226,2.017401875441126,0.004970544163700463,2.012407155562242,-2.417571518353867e-05,2.0123567402140456,-7.459106337970312e-05,2.012443652858901,1.2321581475571719e-05,2.012421434201121,-9.897076304277164e-06,2.012356482338528,-7.484893889753153e-05,2.012443662761313,1.2331483887795258e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,2,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2822396976911696,0.301405133825318,0.02206413779398314,0.9997928632142832,0.30053586843978974,0.676619318181681,0.676619318181681,0.0,0.0014979255225933262,0.002451916968435685,0.05541157470027403,5.823863636363635e-05,1.1504068013516748,0.017939684215302454,1.2820658037185315,0.72,0.7075,0.5425000000000001,1.005819311180793,0.8704488597760914,0.10496000095471156,0.195,0.02036514813107613,0.03532246162289665,0.0328633424902226,0.335,0.0023775854184006334,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996361114493723,0.14771076490362525,0.0028243631697805263,0.009930105498169932,0.0,2.169110914391444,1.0187041130397694,0.499798388672691,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019076726278626915,0.0006650415514891903,0.0006650415514891903,0.018617388643500536,2.01568595011772,0.004988557081143874,2.010720897368635,2.350433205888791e-05,2.010699390533545,1.9974969687197586e-06,2.01064172879881,-5.566423776626195e-05,2.010648844281436,-4.85487551400432e-05,2.010686689336701,-1.0703699875325157e-05,2.0105876506372953,-0.00010974239928085439,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,3,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.281760423139702,0.30119174880400224,0.01867032859610976,0.9997873015722614,0.30032247568408066,0.676619318181681,0.676619318181681,0.0,0.0013026926772695977,0.002227940629106493,0.05431510788058936,5.823863636363635e-05,1.000467976143051,0.017939753551453497,1.2813502501934482,0.7224999999999999,0.71,0.54,1.0058181144257536,0.869276482234677,0.10479995272398927,0.19500000000000006,0.017196693283607317,0.03278774179567989,0.030345241819747515,0.3225,0.0021536090790714403,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996312875150728,0.14431695570575187,0.0026291303244567977,0.00970612915884074,0.0,2.0191720891828204,1.0187041130397694,0.49979845800884204,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019060492375631226,6.0479459442236644e-05,6.0479459442236644e-05,0.01976620325647436,2.013500541503874,0.004903489219330481,2.008647476924454,5.042463991067336e-05,2.008598729464529,1.677179985559718e-06,2.0085489816721243,-4.807061241907107e-05,2.0085782729824224,-1.877930212090817e-05,2.0085996428007893,2.5905162459594067e-06,2.0085590818336376,-3.797045090569995e-05,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,,,,,,,,,
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,0,10,0.02,61859.92133228456,38.66245083267785,10.0,28.393953434836362,0.29829278808978443,1.2559322345686348,0.29228688959321114,0.0034737657151540507,0.9668499539055547,0.291385524546392,0.6641193181816809,0.6641193181816809,0.0,0.06683293048218618,0.0002190164403032659,0.07011651814230678,5.823863636363635e-05,51.32769061031898,0.0027804277027280166,1.2698729550752001,0.675,0.665,0.4600000000000001,0.9892206587304532,0.8528102521370599,0.09809923087850819,0.24,0.03186123887359571,0.06091087024284425,0.05878989892196407,0.10000000000000003,0.00036627304813422026,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9664895800565113,0.12217286139448806,0.06815936812937338,0.007259172089430981,0.0,52.34639472335875,1.0187041130397694,0.4790782767546605,0.48185870445738854,0.9874999999999899,395,0.005,2,0.0075,3,0.0,0,0,3.9776121062173226,-0.0014109783039186765,-0.0014109783039186765,2.077277395798215,2.044338798702712,0.06810603206192378,2.0407092126579967,0.06447644601720826,2.0390102247972783,0.06277745815648994,2.038226761876,0.06199399523521154,2.037924559173774,0.0616917925329854,2.037873163055705,0.06164039641491681,2.0379355926478038,0.06170282600701538,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00025,0.0024375000000000004,656.5904524698735,39,0.00025,1.2187500000000002,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,1,10,0.02,61859.92133228456,38.66245083267785,10.0,28.393953434836362,0.3025286947422538,1.2604519606086348,0.29434535746786294,0.0008538597275942195,0.9702288804076715,0.29344736318581,0.6666193181816809,0.6666193181816809,0.0,0.110035337334044,0.00023420891341282852,0.07463118787731864,5.823863636363635e-05,84.50713907254578,0.008984585405648282,1.2751221991248856,0.6799999999999999,0.685,0.48250000000000004,0.9918191729988243,0.8591994337521129,0.10079288635230502,0.2475,0.03564779991678984,0.0640035249169979,0.06190583980337916,0.11000000000000004,0.00033779867341957053,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9698409436591162,0.12650048683723633,0.1113617749812312,0.007243979616321419,0.0,85.52584318558556,1.0187041130397694,0.47287411905174026,0.48185870445738854,0.9899999999999899,396,0.005,2,0.005,2,0.0,0,0,2.029914588087587,0.006644526236692389,0.006644526236692389,3.417282429408293,2.0530173451847467,0.06185782694298725,2.0493953553765856,0.05823583713482616,2.047570686886771,0.0564111686450115,2.0469034153647567,0.05574389712299732,2.046557399250344,0.05539788100858445,2.0464250134637987,0.055265495222039274,2.0463905111508773,0.055230992909117926,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00025,0.0024375000000000004,656.5904524698735,39,0.00025,1.2187500000000002,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,2,10,0.02,61859.92133228456,38.66245083267785,10.0,28.393953434836362,0.2866803225384156,1.2466321289976965,0.285820688194691,0.005889397626163528,0.9504173565733294,0.28490410138448274,0.6566193181816808,0.6566193181816807,0.0,0.05925134841297906,0.00026789559717790585,0.06493836807446308,5.823863636363635e-05,45.50503558116791,0.00014649629529694952,1.2550603467501231,0.675,0.6775,0.47250000000000003,0.9787200827977011,0.8472036624032415,0.09931472610105921,0.24250000000000005,0.031119554350109945,0.058699047065222554,0.05650842675480838,0.10749999999999998,0.0003913569005096013,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9499363589123746,0.11975722948347858,0.06057778606016626,0.007210292932556341,0.0,46.52373969420768,1.0187041130397694,0.4817122081620916,0.48185870445738854,0.9799999999999901,392,0.01,4,0.01,4,0.0,0,0,4.1250016884751135,0.006242399895896814,0.006242399895896814,4.934487153266334,2.0344821809256017,0.09933917032549777,2.030877034459323,0.09573402385921925,2.0290922034269294,0.09394919282682546,2.0283226302139066,0.09317961961380261,2.028070471822787,0.09292746122268314,2.0280296509191493,0.09288664031904537,2.028054979546093,0.09291196894598919,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00025,0.0024375000000000004,656.5904524698735,39,0.00025,1.2187500000000002,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,3,10,0.02,61859.92133228456,38.66245083267785,10.0,28.393953434836362,0.30727112054804295,1.2613325815814416,0.2961192570900991,0.007448961242414426,0.972840638775284,0.29522325764164337,0.6691193181816809,0.6691193181816809,0.0,0.12518043331916226,0.00015063600168301137,0.08098964511036047,5.823863636363635e-05,96.13857278911661,0.016626130880035284,1.2813365877431175,0.685,0.655,0.4600000000000001,0.9960940711670333,0.8589596113904796,0.09993143757483271,0.23250000000000004,0.04035261343955943,0.05584739638510039,0.053672973014185055,0.08500000000000002,0.00028059607053948293,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.972563242644963,0.13309558835205654,0.12650687096634947,0.007327552528051236,0.0,97.15727690215638,1.0187041130397694,0.46523257357735326,0.48185870445738854,0.9924999999999898,397,0.0025,1,0.005,2,0.0,0,0,3.5212612083786228,0.05601045962467773,0.05601045962467773,1.429922632809009,2.0649540809965807,0.0565443176205922,2.061290304732555,0.05288054135656628,2.059487722805236,0.05107795942924742,2.0588171268580435,0.05040736348205499,2.058775151953504,0.05036538857751527,2.0588247265052164,0.050414963129227885,2.0589237490042573,0.05051398562826881,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.00025,0.0024375000000000004,656.5904524698735,39,0.00025,1.2187500000000002,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,0,21,0.042,129905.8347977976,81.1911467486235,21.0,59.62730221315637,0.2941916470321316,1.2466983864888388,0.29052347056391203,0.009401773323857096,0.9661356516378143,0.28962148144574074,0.661619318181681,0.661619318181681,0.0,0.00021453259761060588,0.00024216994823515314,0.059647733266101004,5.823863636363635e-05,0.16476103496494576,0.016497243189040334,1.2622005740498445,0.6575,0.6400000000000001,0.42250000000000004,0.980160519190878,0.8430586977907841,0.08860410264730131,0.135,0.011189365421139392,0.01980570394448178,0.017569767761525967,0.04749999999999999,0.00024074209782316226,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9656947642924332,0.11624485378578502,0.001540970244797806,0.0077203584779694,0.0,1.1834651480047151,1.0187041130397694,0.4983559476464289,0.48185870445738854,0.98499999999999,394,0.0075,3,0.0075,3,0.0,0,0,2.971328787096187,-0.0603819198745591,-0.0603819198745591,3.225564318911468,2.025536080907986,0.07074516930463948,2.0216759016690014,0.06688499006565496,2.0193839795100317,0.06459306790668529,2.018096960507257,0.06330604890391078,2.017425709051836,0.06263479744848977,2.017169622821616,0.062378711218269656,2.0171256203680166,0.06233470876467018,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003977272727272728,0.0017613636363636364,663.9756881895821,70,0.00032738095238095237,1.0416666666666663,0.0,0.0,0.0
LSC-CP,"LSC-CP, tamed",67fe983bcba8cecb4eb040b92e2c557b,6301bacd8069f5c726e241e2afe2fb0c,True,1,21,0.042,129905.8347977976,81.1911467486235,21.0,59.62730221315637,0.2944696719482973,1.2469108687523067,0.2900198725490627,0.008526672626830156,0.9577726686287256,0.2891087831115422,0.6616193181816808,0.6616193181816808,0.0,0.05415523443714571,0.00013596114243887448,0.07792575736466048,5.823863636363635e-05,41.5912200477279,0.010916296370560241,1.2689247346638695,0.6599999999999999,0.6575,0.415,0.981009141257525,0.8522687110578382,0.09644858143679211,0.16999999999999993,0.0319211447260084,0.03490313261640532,0.03269184663138469,0.0475000000000001,0.00022429268817775037,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9573162086324262,0.13417329973647227,0.05548167208433291,0.007614149672173122,0.0,42.60992416076767,1.0187041130397694,0.4709424080868283,0.48185870445738854,0.98499999999999,394,0.005,2,0.01,4,0.0,0,0,5.025603187275063,-0.014495359710266468,-0.014495359710266468,2.6929100654830793,2.060173668828317,0.08634967516909153,2.0563665939922307,0.0825426003330052,2.0541464343408995,0.08032244068167405,2.0529792635908093,0.07915526993158384,2.052434582806167,0.07861058914694175,2.052101658751131,0.07827766509190548,2.052059309323198,0.07823531566397257,True,1.3856211183947165,reject,pre_step,drift_diffusion_then_jump,full_law,8,0.0003977272727272728,0.0017613636363636364,663.9756881895821,70,0.00032738095238095237,1.0416666666666663,0.0,0.0,0.0
