method,EMC_mean,EMC_std,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,grad_evals_per_step,mala_accept,mala_accept_count_cumulative,mala_accept_fraction_cumulative,mala_proposal_count_cumulative,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_frac_mean,nonfinite_frac_std,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,outside_proposal_reject_count_cumulative,outside_proposal_reject_fraction_cumulative,pt_swap_accept,pt_swap_accept_count_cumulative,pt_swap_accept_fraction_cumulative,pt_swap_proposal_count_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,score_clip_count_cumulative,score_clip_fraction_cumulative
PT,0.99976768449266,0.00020172375963235518,1.2344130638407855,0.04826756779710414,0.0,0.0,0.03576946591935651,0.009111294912406798,0.011688846540042264,0.00790932813436756,64000.0,0.1533436184512802,0.033679386062551935,0.0006516332382575454,0.0005545686852589818,64000.0,0.9786950183054394,2506335754,0.97903740390625,2560000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.26307291666666666,25499660,0.26562145833333334,96000000,0.0,,,4.152,3147.1621509687975,0.0,,,,,,,,,,,,,,,
MALA,0.9959526989319246,0.000770934663126143,1.3588690670986159,0.03142903804929332,0.0,0.0,0.03231752476629918,0.016506173935156323,0.017683830736994876,0.011302791733016201,16000.0,0.12011776221600462,0.016216726476160074,0.014640953427065836,0.00331723803692796,16000.0,0.9803561715481172,627662690,0.980722953125,640000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,0.0,,,5.1080000000000005,2025.7912942357361,0.0,,,,,,,,,,,,,,,
FLA,0.879844578204048,0.008288004119186013,1.587524324615761,0.024307526027765435,0.0,0.0,0.3459794389827807,0.015189604644437263,0.25007925652834895,0.013879841497654076,0.0,1.3208450748565308,0.04205041047259609,0.26113232574973394,0.018468512191425947,16000.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,76115,0.0001189296875,inf,1342.5446097357199,0.0,,,,,,,,,,,,,,,
CP,0.7987409309399036,0.008215453894860426,1.7179204236795302,0.038331048378788604,0.0,0.0,0.46768731290869564,0.01371749936162296,0.37826675652834896,0.011837616595694716,0.0,1.6227379937540825,0.03309465148806203,0.44585186566092694,0.01960045606063453,16000.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,0,0.0,inf,1484.6850521694869,0.0,1.0010875,640696,0,0.0,0,0,0.0,8,640696,640696,0.0010122907949790775,1.0010875,,,
BAOAB,0.9956569741815158,0.0001939701576259426,1.3651587399623004,0.018039402303194264,0.0,0.0,0.02900399650835791,0.01164953439745708,0.017825296838398966,0.008391159067619764,0.0,0.11613428293927054,0.013184695841247112,0.01605151651980686,0.0005346521110294512,16000.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,0,0.0,18.491,1300.2714712629095,0.0,,,,,,,,,,,,,,,
ULA,0.9961659511861884,0.0011350581294556031,1.352807776875499,0.03871557145997691,0.0,0.0,0.04229678386267012,0.017337334971382713,0.025766161244015352,0.013211027944686718,0.0,0.12113021653154346,0.020313541255829685,0.01325608019266906,0.004679837739069849,16000.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,0,0.0,6.542,1325.9511819928885,0.0,,,,,,,,,,,,,,,
LSC-CP-MA,0.9996196514812201,0.0003528147537367395,1.2162302302715566,0.046372623835710725,0.0,0.0,0.03152442895339048,0.011584882717662897,0.013556446403277689,0.0100026720680756,0.0,0.17554947146710587,0.0412547760973265,0.0010767202119812602,0.000988152038612784,16000.0,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,1536000.0,0,0.0,2.9565,20483.22555344738,0.0,0.9996875,639800,0,0.0,,,,,639800,639800,0.000509806485355646,0.9996875,0.0006265690376569022,772732,0.000603696875
