experiment,method,seed,time,bandwidth_factor,KDE_bandwidth,KDE_integral,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup
double-well,Langevin,0,4.8,0.75,0.03351014612234136,0.9999999999999998,0.7880268989560658,0.33565103030366683,0.631919556702492,0.39323756057853354,0.3932314569433909,0.012576305506078855
double-well,Kinetic-Langevin,0,4.8,0.75,0.03351014612234136,0.9999999999999998,0.3424337581567462,0.07002715393403236,0.12998857343537978,0.16971324390522902,0.16966936130801058,0.010097287546722178
double-well,LSC-CP,0,4.8,0.75,0.03351014612234136,1.0,0.12871455132427154,0.008506217363455814,0.022856180329683437,0.029388002923420253,0.03761688416891876,0.008959357291471348
double-well,CP,0,4.8,0.75,0.03351014612234136,0.9999999999999999,0.40434245295929144,0.04149224831065437,0.09306140859200852,0.10527290378559459,0.10116301800931182,0.007177170248812592
double-well,Langevin,1,4.8,0.75,0.03351014612234136,1.0,0.8168386684253135,0.3486636993656326,0.6766025152438779,0.40719978085642017,0.4070863471162934,0.013117854772753845
double-well,Kinetic-Langevin,1,4.8,0.75,0.03351014612234136,0.9999999999999998,0.3639222363140998,0.08015994989732005,0.14860798827857444,0.17699073149852973,0.17765132463971944,0.009750300657709599
double-well,LSC-CP,1,4.8,0.75,0.03351014612234136,1.0,0.14478248617564288,0.009669042161702033,0.027981281415915528,0.03364298212964706,0.04106331365515334,0.008399965517509211
double-well,CP,1,4.8,0.75,0.03351014612234136,1.0,0.4350372871004855,0.04812292069375708,0.10376725778554319,0.11053446930268451,0.11483807419413894,0.0068052811370904465
double-well,Langevin,2,4.8,0.75,0.03351014612234136,0.9999999999999999,0.8034827202779806,0.3454297527889172,0.6566788815782856,0.40173192273213687,0.40203089101813183,0.013873888355051767
double-well,Kinetic-Langevin,2,4.8,0.75,0.03351014612234136,1.0000000000000002,0.3832730919854757,0.07812167897843497,0.1563013771102787,0.19075976969525182,0.19092958879575095,0.009419340842618334
double-well,LSC-CP,2,4.8,0.75,0.03351014612234136,0.9999999999999999,0.1536143204494937,0.010751364709047752,0.032836281613220664,0.03547741122126846,0.04424345143648328,0.00962183774647607
double-well,CP,2,4.8,0.75,0.03351014612234136,1.0,0.39856630028710627,0.04064476090524856,0.08927756089986245,0.10108010282605318,0.10484745765442638,0.0069760085587887155
double-well,Langevin,3,4.8,0.75,0.03351014612234136,1.0,0.8016817831762055,0.3493668086557843,0.6646601600506941,0.4007397277716809,0.4005375944627675,0.012624198946082021
double-well,Kinetic-Langevin,3,4.8,0.75,0.03351014612234136,1.0,0.36431955716806813,0.07546025343006887,0.1441925189815007,0.1813125950814477,0.1809790456790572,0.00919076544651351
double-well,LSC-CP,3,4.8,0.75,0.03351014612234136,1.0000000000000002,0.14021534815207432,0.010076549143935905,0.028501507788326327,0.03070110634173201,0.036303080626265916,0.008286061602842176
double-well,CP,3,4.8,0.75,0.03351014612234136,1.0,0.42241238800144326,0.04652990635018476,0.11553286591002457,0.11161947060198335,0.11006166609010305,0.007078786937674164
double-well,Langevin,0,4.8,1.0,0.044680194829788474,1.0000000000000002,0.7869351369791555,0.3326108750303126,0.6272594872029681,0.3929974184572703,0.3932314569433909,0.012953531547438168
double-well,Kinetic-Langevin,0,4.8,1.0,0.044680194829788474,1.0,0.3397616405589551,0.06823453709767197,0.1259044082346858,0.16947832769937243,0.16966936130801058,0.011276387129660725
double-well,LSC-CP,0,4.8,1.0,0.044680194829788474,1.0000000000000002,0.12189508882892039,0.007467285466869817,0.0199946268957632,0.02883472136875126,0.03761688416891876,0.009393397664846592
double-well,CP,0,4.8,1.0,0.044680194829788474,1.0,0.404596239006445,0.04105314570095717,0.09067874200324517,0.10520943380767095,0.10116301800931182,0.007265576197999918
double-well,Langevin,1,4.8,1.0,0.044680194829788474,1.0000000000000002,0.8150251115359541,0.34586389259470995,0.6722268076614855,0.4065784752640838,0.4070863471162934,0.014809829631075883
double-well,Kinetic-Langevin,1,4.8,1.0,0.044680194829788474,1.0,0.3617774680429531,0.07871233839194378,0.14558498734514747,0.17688494331420113,0.17765132463971944,0.010369275122103158
double-well,LSC-CP,1,4.8,1.0,0.044680194829788474,0.9999999999999999,0.13585981272617215,0.008517066505735978,0.02479851094054388,0.03312399333520344,0.04106331365515334,0.008679429678133621
double-well,CP,1,4.8,1.0,0.044680194829788474,1.0000000000000002,0.43560293061531585,0.0478193257860388,0.10181762855976359,0.11064648447064096,0.11483807419413894,0.006769134366200691
double-well,Langevin,2,4.8,1.0,0.044680194829788474,0.9999999999999998,0.8031341819547743,0.3426772521364588,0.6524056679128691,0.4015647947956694,0.40203089101813183,0.014698889978465912
double-well,Kinetic-Langevin,2,4.8,1.0,0.044680194829788474,0.9999999999999999,0.38175380374068135,0.07666339475212158,0.15285641288607016,0.19032766134654194,0.19092958879575095,0.010971825353290832
double-well,LSC-CP,2,4.8,1.0,0.044680194829788474,1.0,0.14602229350772727,0.009245782397932927,0.028379622964552296,0.034896749245150516,0.04424345143648328,0.01113778061820439
double-well,CP,2,4.8,1.0,0.044680194829788474,1.0,0.39841434962233624,0.04023497419756202,0.08657983873079253,0.10116531783043803,0.10484745765442638,0.007396690178099158
double-well,Langevin,3,4.8,1.0,0.044680194829788474,1.0000000000000002,0.8011414645717013,0.3459844899607408,0.6588088967627628,0.40053082192434963,0.4005375944627675,0.013738115401125184
double-well,Kinetic-Langevin,3,4.8,1.0,0.044680194829788474,1.0000000000000002,0.36307130598359644,0.07420534851738728,0.14191541875735914,0.1812464892939396,0.1809790456790572,0.010300461985773335
double-well,LSC-CP,3,4.8,1.0,0.044680194829788474,1.0,0.13180320569615533,0.008530558692379137,0.024048783809313252,0.0304852375011386,0.036303080626265916,0.009467555159766272
double-well,CP,3,4.8,1.0,0.044680194829788474,1.0,0.42158219864711644,0.04578774631981303,0.11320265727771149,0.11148476147214578,0.11006166609010305,0.007995172286295205
double-well,Langevin,0,4.8,1.25,0.05585024353723559,1.0,0.7858923699622082,0.3294360316029079,0.6231186053087541,0.3927647980492729,0.3932314569433909,0.014588703246459972
double-well,Kinetic-Langevin,0,4.8,1.25,0.05585024353723559,1.0000000000000002,0.33914297088300804,0.06684310262406178,0.12331934715396292,0.16940457181623447,0.16966936130801058,0.012440268809613159
double-well,LSC-CP,0,4.8,1.25,0.05585024353723559,0.9999999999999998,0.11705099940216379,0.006764218839176334,0.018009251622899944,0.02846455558032146,0.03761688416891876,0.010142403958251833
double-well,CP,0,4.8,1.25,0.05585024353723559,1.0000000000000002,0.4049874997186911,0.04104035869470391,0.08928387305816538,0.10513139886313855,0.10116301800931182,0.00812212663044029
double-well,Langevin,1,4.8,1.25,0.05585024353723559,0.9999999999999999,0.8133736126569331,0.34288493083837945,0.6682801354332111,0.40599544020271,0.4070863471162934,0.01671411377832832
