experiment,figure,metric,method,reference,spectral_rate,metric_rate_factor,effective_decay_rate,amplitude_rule,anchor_time,anchor_value,validated_finite_dimensional_reference
double-well,double-well:weak_cos_pi_x_over_2:time-decay,weak_cos_pi_x_over_2,Langevin,form_gap,0.05686278348893335,1,0.05686278348893335,anchor at first valid positive mean metric value,0.0,0.17015034663295503,True
double-well,double-well:weak_x2:time-decay,weak_x2,LSC-CP,abscissa,1.1764824318156344,1,1.1764824318156344,anchor at first valid positive mean metric value,0.0,0.15225014404060833,True
double-well,double-well:weak_x2:time-decay,weak_x2,LSC-CP,form_gap,1.001209494432498,1,1.001209494432498,anchor at first valid positive mean metric value,0.0,0.15225014404060833,True
double-well,double-well:weak_x2:time-decay,weak_x2,Langevin,abscissa,0.06935752938748525,1,0.06935752938748525,anchor at first valid positive mean metric value,0.0,0.15225014404060833,True
double-well,double-well:weak_x2:time-decay,weak_x2,Langevin,form_gap,0.05686278348893335,1,0.05686278348893335,anchor at first valid positive mean metric value,0.0,0.15225014404060833,True
double-well,double-well:weak_x4:time-decay,weak_x4,LSC-CP,abscissa,1.1764824318156344,1,1.1764824318156344,anchor at first valid positive mean metric value,0.0,0.054702411550102026,True
double-well,double-well:weak_x4:time-decay,weak_x4,LSC-CP,form_gap,1.001209494432498,1,1.001209494432498,anchor at first valid positive mean metric value,0.0,0.054702411550102026,True
double-well,double-well:weak_x4:time-decay,weak_x4,Langevin,abscissa,0.06935752938748525,1,0.06935752938748525,anchor at first valid positive mean metric value,0.0,0.054702411550102026,True
double-well,double-well:weak_x4:time-decay,weak_x4,Langevin,form_gap,0.05686278348893335,1,0.05686278348893335,anchor at first valid positive mean metric value,0.0,0.054702411550102026,True
double-well,double-well:weak_x:time-decay,weak_x,LSC-CP,abscissa,1.1764824318156344,1,1.1764824318156344,anchor at first valid positive mean metric value,0.0,0.9993233409844922,True
double-well,double-well:weak_x:time-decay,weak_x,LSC-CP,form_gap,1.001209494432498,1,1.001209494432498,anchor at first valid positive mean metric value,0.0,0.9993233409844922,True
double-well,double-well:weak_x:time-decay,weak_x,Langevin,abscissa,0.06935752938748525,1,0.06935752938748525,anchor at first valid positive mean metric value,0.0,0.9993233409844922,True
double-well,double-well:weak_x:time-decay,weak_x,Langevin,form_gap,0.05686278348893335,1,0.05686278348893335,anchor at first valid positive mean metric value,0.0,0.9993233409844922,True
double-well,double-well:well_TV:time-decay,well_TV,LSC-CP,abscissa,1.1764824318156344,1,1.1764824318156344,anchor at first valid positive mean metric value,0.0,0.49999999999999994,True
double-well,double-well:well_TV:time-decay,well_TV,LSC-CP,form_gap,1.001209494432498,1,1.001209494432498,anchor at first valid positive mean metric value,0.0,0.49999999999999994,True
double-well,double-well:well_TV:time-decay,well_TV,Langevin,abscissa,0.06935752938748525,1,0.06935752938748525,anchor at first valid positive mean metric value,0.0,0.49999999999999994,True
double-well,double-well:well_TV:time-decay,well_TV,Langevin,form_gap,0.05686278348893335,1,0.05686278348893335,anchor at first valid positive mean metric value,0.0,0.49999999999999994,True
