method,metric,r_obs,r_obs_se,r_obs_seed_std,n_seed_fit,t_min,t_max
Langevin,W1,0.05861579965199976,0.003408938772341244,0.006817877544682488,4,1.2,4.08
Langevin,CDF_sup,0.05779474828775833,0.002690781288609408,0.005381562577218816,4,1.2,4.08
Langevin,well_TV,0.05506254395331075,0.0026074046440848066,0.005214809288169613,4,1.2,4.08
Langevin,L1_pdf,0.055259895247448475,0.002354428038555618,0.004708856077111236,4,1.2,4.08
Kinetic-Langevin,W1,0.24015401801476788,0.013233649037078616,0.026467298074157233,4,1.2,4.08
Kinetic-Langevin,CDF_sup,0.2366329414277037,0.011591307104557604,0.02318261420911521,4,1.2,4.08
Kinetic-Langevin,well_TV,0.23699549231485417,0.011322434115038901,0.022644868230077803,4,1.2,4.08
Kinetic-Langevin,L1_pdf,0.20751999639011082,0.008159264587430489,0.016318529174860978,4,1.2,4.08
LSC-CP,W1,0.5586262148026102,0.04197277118775947,0.08394554237551893,4,1.2,4.08
LSC-CP,CDF_sup,0.41762865294760304,0.028555826576336315,0.05711165315267263,4,1.2,4.08
LSC-CP,well_TV,0.9992109132636203,0.15555178613407747,0.31110357226815494,4,1.2,4.08
LSC-CP,L1_pdf,0.08689205973330066,0.008368677068852486,0.016737354137704972,4,1.2,4.08
CP,W1,0.22031050718968315,0.00983028667431615,0.0196605733486323,4,1.2,4.08
CP,CDF_sup,0.21035949188964648,0.009444280620202614,0.01888856124040523,4,1.2,4.08
CP,well_TV,1.0373929256632604,0.26557958018341377,0.5311591603668275,4,1.2,4.08
CP,L1_pdf,0.0545420607179667,0.006796575486903211,0.013593150973806423,4,1.2,4.08
