method,x_min,x_max,N,generator_abscissa,row_sum_inf,stationary_residual_l1,stationary_residual_linf,stationary_bias_l1,stationary_bias_l1_projected,zero_eval_abs,stationary_vector_min,stationary_vector_negative_mass,stationary_vector_warning,score_clip_fraction,logratio_clip_fraction
Langevin,-5.0,5.0,90,0.07325612811208258,5.684341886080802e-14,0.6983534821986512,0.07079315273285647,0.0667570255330411,0.0667570255330411,3.3938130084010254e-14,-4.891027291584111e-16,1.2125874633786922e-15,False,0.0,0.0
LSC-CP,-5.0,5.0,90,1.1804236930936824,1.8189894035458565e-12,1.6796206580540298,0.19652281658001577,0.06872063630227693,0.06872063630227693,1.8780671574289107e-13,8.984771989534294e-08,0.0,False,0.0,0.0
Langevin,-5.0,5.0,140,0.06736166461849726,1.1368683772161603e-13,0.5471242207788805,0.04860604056790252,0.0450159667478596,0.0450159667478596,1.2312737922251668e-13,-5.661506410676623e-16,3.572657505136528e-15,False,0.0,0.0
LSC-CP,-5.0,5.0,140,1.1741753983400833,9.094947017729282e-13,1.4786979709660164,0.173670080529844,0.045748591092576535,0.045748591092576535,6.533258885892005e-13,6.182069472387588e-08,0.0,False,0.0,0.0
Langevin,-6.0,6.0,90,0.07615460796456301,2.2737367544323206e-13,0.9156056782901544,0.13947346437079844,0.08472611951055764,0.08472611951055764,2.110321726489095e-14,-1.7166267877291302e-15,1.479171281083859e-14,False,0.0,0.0
LSC-CP,-6.0,6.0,90,1.184183822964982,2.2737367544323206e-12,1.6264723553365297,0.21641261486058405,0.08285993520470032,0.08285993520470032,2.379307840374172e-13,8.060458700005311e-10,0.0,False,0.0,0.0
Langevin,-6.0,6.0,140,0.06935752938748525,2.2737367544323206e-13,0.6422790939520757,0.10016285910221345,0.05613035578178949,0.05613035578178949,8.8408447229682e-14,-5.318790908207747e-16,3.0763215864625627e-15,False,0.0,0.0
LSC-CP,-6.0,6.0,140,1.1764824318156344,1.886490963443066e-12,1.5445794438973053,0.21818309229427926,0.05388648284780377,0.05388648284780377,4.776692419219989e-13,5.635941758395729e-10,0.0,False,0.0,0.0
