method,x_min,x_max,N,generator_abscissa,row_sum_inf,stationary_residual_l1,stationary_residual_linf,stationary_bias_l1,stationary_bias_l1_projected,zero_eval_abs,stationary_vector_min,stationary_vector_negative_mass,stationary_vector_warning,score_clip_fraction,logratio_clip_fraction
Langevin,-6.0,6.0,140,0.06935752938748525,2.2737367544323206e-13,0.6422790939520757,0.10016285910221345,0.05613035578178949,0.05613035578178949,8.8408447229682e-14,-5.318790908207747e-16,3.0763215864625627e-15,False,0.0,0.0
LSC-CP,-6.0,6.0,140,1.1764824318156344,1.886490963443066e-12,1.5445794438973053,0.21818309229427926,0.05388648284780377,0.05388648284780377,4.776692419219989e-13,5.635941758395729e-10,0.0,False,0.0,0.0
