method,metric,r_obs,r_obs_se,n_fit,t_min,t_max
Langevin,W1,0.05857090732670212,0.00043110474558841303,49,1.2,4.08
Langevin,CDF_sup,0.057741362797389215,0.000337617330331229,49,1.2,4.08
Langevin,well_TV,0.055014895261361274,0.0003778648540544896,49,1.2,4.08
Langevin,L1_pdf,0.055221445203320285,0.0004730043521678478,49,1.2,4.08
Kinetic-Langevin,W1,0.23910825412651618,0.0012045063680920177,49,1.2,4.08
Kinetic-Langevin,CDF_sup,0.23576949778718684,0.0005422978251554379,49,1.2,4.08
Kinetic-Langevin,well_TV,0.23616387455530188,0.0005308653529704368,49,1.2,4.08
Kinetic-Langevin,L1_pdf,0.20701477700526616,0.001094451171661208,49,1.2,4.08
LSC-CP,W1,0.5569822484588117,0.02561532976345108,49,1.2,4.08
LSC-CP,CDF_sup,0.4161607389960988,0.03834510891222991,49,1.2,4.08
LSC-CP,well_TV,0.9096103954491118,0.021618425782518116,49,1.2,4.08
LSC-CP,L1_pdf,0.08671027874223913,0.00968371278045268,49,1.2,4.08
CP,W1,0.21994802341486097,0.012947988781750783,49,1.2,4.08
CP,CDF_sup,0.21016941699584477,0.01196273240965893,49,1.2,4.08
CP,well_TV,0.8535984537931235,0.014086866212909816,49,1.2,4.08
CP,L1_pdf,0.05454025149991567,0.004736684590241191,49,1.2,4.08
