method,seed,time,W2,MMD,weak_x,weak_x2,weak_x4,weak_cos_pi_x_over_2
Langevin,0,0.0,1.3231223904879694,0.5075930407848446,0.9977182157402161,0.1489291980749925,0.04743884423435418,0.16765706913132036
Langevin,0,0.06,1.2833595892294676,0.47160060091371503,0.9922068344849955,0.1538105295174803,0.11903593882561692,0.15948739624103667
Langevin,0,0.12,1.2534995111590455,0.5141796502046238,0.9891924038550759,0.15754746310630074,0.16415513460580577,0.1551986086591358
Langevin,0,0.18,1.2399409776996722,0.5144746898812232,0.984422704113299,0.15509732768030604,0.18371238003241908,0.14854429547278183
Langevin,0,0.24,1.25439598934443,0.44165193696338056,0.9845449446324825,0.16141792334772798,0.21611288661832295,0.14969312837046025
Langevin,0,0.3,1.204162260398143,0.456094930310302,0.9842053347825241,0.1653664881729089,0.2352284137605286,0.1505864482748343
Langevin,0,0.36,1.1904803745156043,0.4523961515572531,0.9799347547942637,0.16028294367909357,0.23060630942128857,0.14543467359896198
Langevin,0,0.42,1.1859598470164254,0.45375564975573823,0.9736564048765255,0.1526129614716294,0.22462448585044237,0.13750275852213034
Langevin,0,0.48,1.208359335130125,0.4440493405947621,0.9616187787245648,0.13416532040421902,0.19699600470548095,0.1210717415148577
Langevin,0,0.54,1.1528157673835768,0.4098237715344468,0.9526168896588876,0.12204604243389339,0.1867336421020741,0.10881481553096575
Langevin,0,0.6,1.1466408835332405,0.42824199523338025,0.9476928320808076,0.11613175795934061,0.17638037754068192,0.10367037346846805
Langevin,0,0.66,1.185550066468127,0.5238454470799458,0.94306684390467,0.1075204032920134,0.15946257511005546,0.09689581238761116
Langevin,0,0.72,1.207220015044538,0.4145997610419162,0.9385405393703302,0.10234280874281698,0.15040128839654965,0.09238365496710745
Langevin,0,0.78,1.1498636225671313,0.4465612642889871,0.9338154171000542,0.09988242707325945,0.15544511016289497,0.08843717999032213
Langevin,0,0.84,1.1555040590588288,0.4285818446484083,0.9298154795377666,0.09439186940483968,0.14651938913928364,0.0836629594740034
Langevin,0,0.9,1.1367707134422003,0.4458149469280277,0.9290392642731465,0.09435186449348676,0.14803422875471417,0.08328799392490668
Langevin,0,0.96,1.1649994289554757,0.40429761956916577,0.9264848926180486,0.09079302837276415,0.143898072503727,0.07993399964637965
Langevin,0,1.02,1.1401961415334463,0.4400865081375054,0.9173510485794244,0.07636411587462932,0.11063250677535941,0.06926953918054166
Langevin,0,1.08,1.129928384034464,0.37295167485437997,0.913163853916246,0.07437725407137419,0.11629518350890622,0.06573779451502769
Langevin,0,1.1400000000000001,1.1439319127171306,0.40440367355462414,0.9109187200884769,0.07282317976825703,0.11230692728559266,0.06465878081908787
Langevin,0,1.2,1.129398797867357,0.3692973663359217,0.9049982142858324,0.06482762802946695,0.09622916583000729,0.05827205051881405
Langevin,0,1.26,1.122756696652574,0.4040648184499017,0.9012892580589803,0.0597912000471984,0.08888707393995088,0.0536943043350669
Langevin,0,1.32,1.1173047868415982,0.42182400796344743,0.8958092156967405,0.051565281610044256,0.07488288972667745,0.04676930844083191
Langevin,0,1.3800000000000001,1.1081417314450954,0.3913482602115418,0.8970075972478939,0.05506204955370042,0.0780994621796135,0.05024212578021754
Langevin,0,1.44,1.121223628093512,0.37885280143851263,0.8938362743563371,0.051029104507692935,0.07356641146867549,0.0464242580922227
Langevin,0,1.5,1.1207856987551263,0.38487313713681437,0.8900555199450084,0.04813881117184071,0.07050828658848773,0.043567035788489694
Langevin,0,1.56,1.1078674277576654,0.39277495379669347,0.8875953430987571,0.04725081374393214,0.06751411750950143,0.043065750463305935
Langevin,0,1.62,1.0803906013148907,0.337139176706708,0.8809488514531798,0.0385991329651999,0.046837675891161834,0.0367822361582234
Langevin,0,1.68,1.1005435715635374,0.3251336793735402,0.8797237925210046,0.04360669485665225,0.06544855029436925,0.03910105900290209
Langevin,0,1.74,1.0766331127437783,0.39752281105797793,0.8731855126931988,0.0375709768514606,0.059667331808231805,0.03315350820933244
Langevin,0,1.8,1.0548651539843794,0.3604934912826141,0.8694522176006053,0.03380611088041785,0.05217403205582272,0.03004309131453639
Langevin,0,1.86,1.1044786644132545,0.3812575247657093,0.8675065573081241,0.032593065598460425,0.05353694076810689,0.028331247817056565
Langevin,0,1.92,1.0807589659274697,0.39154103304101806,0.8625611570695583,0.029028347300941282,0.048159740696169906,0.02512618622706672
Langevin,0,1.98,1.0550400023407565,0.44379779183206436,0.8595479645582242,0.025115685557147716,0.03440238085157088,0.023148384487895995
Langevin,0,2.04,1.0724520349785367,0.3205273172707095,0.8544686989249083,0.02218444816205878,0.028021543867461696,0.020944393177397796
Langevin,0,2.1,1.0602538580665972,0.2823110518415388,0.8526370963578263,0.02194197621746674,0.03209836074080552,0.01998285687498405
Langevin,0,2.16,1.0502620450558489,0.3571076781544399,0.8497114059127495,0.02045401052419582,0.023539719437960627,0.019728206687554484
Langevin,0,2.22,1.0285851081456157,0.36902242976330757,0.8471253048860808,0.02103687680544153,0.032348051911959774,0.018703836450443878
Langevin,0,2.2800000000000002,1.0699984166206429,0.32595263446033973,0.847807740841315,0.025544752243433555,0.046647945296378945,0.02134661900876167
Langevin,0,2.34,1.030200887009629,0.3500336986573981,0.8447126654215473,0.022477418497429125,0.03052012496031098,0.020735655517551854
Langevin,0,2.4,1.0540543830813627,0.3715760648826284,0.8419998656246581,0.02193157336374385,0.0316659909716982,0.019828559357909448
Langevin,0,2.46,1.0628495239389364,0.33708399437865055,0.842034093954335,0.02251427838067921,0.02811770560899196,0.02119896210775024
Langevin,0,2.52,1.049287965569152,0.3556741782715618,0.8436306948642877,0.03083706277446896,0.04627708852158963,0.027500183060142874
Langevin,0,2.58,1.0478268669043431,0.33675595062090524,0.8377844519760399,0.02595912813003398,0.041292213102018915,0.022737118878044582
Langevin,0,2.64,1.0253409261136628,0.3623029869250417,0.832818431818711,0.018384244658430693,0.025957200326792607,0.0167629246369502
Langevin,0,2.7,1.0387621374425922,0.39218645015121445,0.8285449804483391,0.018659351724076623,0.03415333313209745,0.015542994929672732
Langevin,0,2.7600000000000002,0.9864455559674511,0.3210453251994846,0.8217830196818761,0.011653588898031808,0.01647016157022063,0.010616424238267086
Langevin,0,2.82,1.0381880907446543,0.30878286389597864,0.8187132159925874,0.010801066681585647,0.015616271925710912,0.00976236257381799
Langevin,0,2.88,1.0472372810767685,0.3188661614695065,0.8166292791342231,0.012985077795697686,0.01587562171904433,0.01231002391518668
Langevin,0,2.94,1.015719260816173,0.28513218076177427,0.8122194344765883,0.012163829728382924,0.02234169624688187,0.010080646900873486
Langevin,0,3.0,1.004684289739666,0.30798058427907427,0.8022180785521581,0.0019319003763528242,0.006938262954299557,0.0010381744803490134
Langevin,0,3.06,1.000523230502787,0.2906357521668673,0.7998301782291215,0.002011573413764234,0.0039029445809326546,0.0016399129414738367
Langevin,0,3.12,0.9836093584000459,0.2889578394004746,0.7965310880102493,0.0017053788373077028,0.0059483544908381925,0.0008592147813364648
Langevin,0,3.18,0.9652381038230581,0.293958974156719,0.7943959992326826,0.0032501388783306995,0.010528070255548583,0.0017984981500951958
Langevin,0,3.24,0.9927926250403294,0.3006331603013527,0.7944001336035066,0.009984447347788583,0.01977615906732122,0.007991620149225331
Langevin,0,3.3000000000000003,0.9692305969858858,0.35094991216437954,0.7895379149508618,0.007485790436058348,0.015661342769866082,0.00581160477648035
Langevin,0,3.36,0.9892830077389297,0.30724114329818675,0.786841502823978,0.008707798613820206,0.020165032046282616,0.006514738625706201
Langevin,0,3.42,0.9911405731131145,0.3249910479391336,0.7849518607604287,0.008451511764765218,0.01871079705396672,0.006465926176399905
Langevin,0,3.48,0.9772125359858529,0.27354327781818133,0.7839173981378402,0.009600545807132765,0.016614104785679373,0.008150387560338784
Langevin,0,3.54,0.9825786073598598,0.24704771882346876,0.7802112628786498,0.009894235721436218,0.019184354213558907,0.007988316385753758
Langevin,0,3.6,1.0054458355395595,0.3272027614179781,0.7765149307372369,0.007862068674824862,0.014321539063175903,0.006502683424328248
Langevin,0,3.66,0.9827834258554451,0.27973303768666036,0.7759490811648622,0.010773555779668209,0.01694422131260187,0.00944943316469149
Langevin,0,3.72,0.9604448334543485,0.32963209763229073,0.7760502402674799,0.01786820618485463,0.039081113289512026,0.013525560273780823
Langevin,0,3.7800000000000002,0.947926051343641,0.26210691033318556,0.7687260163050397,0.014935749053865188,0.03569246783836599,0.010779192207515026
Langevin,0,3.84,0.9734633656528696,0.3126236751138818,0.7662087923308399,0.00989311073574306,0.019783576549442294,0.007838399633727816
Langevin,0,3.9,0.9838770190793865,0.28273779192500903,0.7629374702031967,0.013796168674861664,0.028677304142199156,0.01070758741068098
Langevin,0,3.96,0.9924603193678138,0.28831187975504635,0.7594732581412497,0.012146394309929032,0.029837351332088535,0.008605521789683684
Langevin,0,4.0200000000000005,0.9576643699242727,0.29535980871120115,0.75412518827291,0.0070548341143062965,0.019800495846130084,0.004568298190776615
Langevin,0,4.08,0.9737226601445936,0.2882886674133255,0.7525096483220403,0.004552227465222103,0.007886825479267334,0.003944690892311087
Langevin,0,4.14,0.9460122815350489,0.28190609546150813,0.751978030929818,0.00741468741381246,0.014056889500793979,0.006097818497604518
Langevin,0,4.2,0.986471953379495,0.2705381026637659,0.7502955400783929,0.008575451203979068,0.014997140744438031,0.007429287582888883
Langevin,0,4.26,0.946982064242531,0.25006459370998624,0.748230372680283,0.009339297360583476,0.02235504803943822,0.0069067414925457205
Langevin,0,4.32,0.9550641913985357,0.26044121273264664,0.7478508962605194,0.01409519793708347,0.032936147317948694,0.010387400526705198
Langevin,0,4.38,0.9505550767424389,0.24582342849061412,0.7445260195984718,0.011241062448009043,0.021609919861466653,0.00919135878519936
Langevin,0,4.44,0.9219140829873926,0.24799956021655178,0.7421773676924022,0.015303034851044561,0.035911375612078245,0.01131120436295252
Langevin,0,4.5,0.9272490488167692,0.2829761412137124,0.74221225495401,0.014524716277788285,0.028495294717757136,0.011864607583722347
Langevin,0,4.5600000000000005,0.9300596663822494,0.26973173572480424,0.7373229145804807,0.007753546537023093,0.015562863664410287,0.006287908329788788
Langevin,0,4.62,0.9190830634090651,0.30081675616924886,0.7352468882915232,0.006655624815345762,0.009150836496826686,0.0061449199068144555
Langevin,0,4.68,0.9727011661419448,0.27579685234378937,0.7338453699577784,0.006310147879345918,0.006202211866211393,0.006352174918041242
Langevin,0,4.74,0.9494743930184579,0.2596750039201656,0.7355132920313358,0.011362806692826077,0.019020961509246925,0.009833823847645029
Langevin,0,4.8,0.9288335717099472,0.28009531555575096,0.7345112195877803,0.015871560044343647,0.028864520127373505,0.013251788193278935
Kinetic-Langevin,0,0.0,1.3231223904879694,0.5075930407848446,0.9977182157402161,0.1489291980749925,0.04743884423435418,0.16765706913132036
Kinetic-Langevin,0,0.06,1.282531402129792,0.47098094642203525,0.9965799891588497,0.16498599705696293,0.1531042673026507,0.16609198463306965
Kinetic-Langevin,0,0.12,1.2188197303936437,0.4816294245392697,0.983405055056084,0.1700149951365293,0.27243408436337846,0.14911230339100962
Kinetic-Langevin,0,0.18,1.1837393089739914,0.4654933044757138,0.9503184429574308,0.11819355503601836,0.16467707774790818,0.1080301262447007
Kinetic-Langevin,0,0.24,1.1845768968541635,0.4023370296599964,0.9060582289985766,0.03478168099688117,0.04350326384736436,0.049796498472957126
Kinetic-Langevin,0,0.3,1.1069827986123393,0.40365030235160115,0.8663074215731391,0.028350042920465057,0.1662693891134479,0.0007539052490594389
Kinetic-Langevin,0,0.36,1.0654687534471103,0.39142170725659775,0.8404361641463935,0.0503797327229033,0.18003843218588222,0.024199607194556716
Kinetic-Langevin,0,0.42,1.0449062953921153,0.3758834772808697,0.828660559352643,0.03868013529411196,0.12777592645584301,0.02069914089859709
Kinetic-Langevin,0,0.48,1.0711774679435857,0.3524895739454008,0.8254972472266002,0.01208832953174388,0.0646455060289437,0.0016187803586950045
Kinetic-Langevin,0,0.54,1.024918955941451,0.3379729140299036,0.8252992209646477,0.015109583085630929,0.01749546903060928,0.021358297382088887
Kinetic-Langevin,0,0.6,1.0280536508214932,0.36151472138215757,0.8255720291155093,0.04135755706088673,0.029246329151377926,0.04339266070113229
Kinetic-Langevin,0,0.66,1.0705492311711067,0.4293976033513217,0.8243302401962549,0.06389968819120406,0.07407757948124727,0.0614520845471799
Kinetic-Langevin,0,0.72,1.0953987008160393,0.3312471332790161,0.8176790911057208,0.0712610255802365,0.08648126043758941,0.06774290744039033
