experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
double-well,Langevin,0,0.0,0.044680194829788474,1.0,0.9999999999999898,0.0,1.453569506661481,2.356893687671796,3.668195713039295,0.6698923717706247,0.681987042686254,0.059649302340571614,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.06,0.044680194829788474,1.0,0.9999999999999897,0.0,1.2186924246569668,1.1008581018873271,1.8651491950565513,0.601417376005481,0.6072836852607395,0.024763778593550972,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.12,0.044680194829788474,1.0,0.9999999999999897,0.0,1.1592972319213,0.8637926649195378,1.5314469376806137,0.5784891110004083,0.5809241241087131,0.023406539016655015,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.18,0.044680194829788474,0.9999999999999999,0.9999999999999898,0.0,1.1271525342345372,0.7617996888227861,1.3887177750540327,0.5633641114276589,0.5650150331996222,0.021910506330766966,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.24,0.044680194829788474,1.0000000000000002,0.9999999999999897,0.0,1.104690524223943,0.703950513420138,1.3156084778005708,0.5522127529917789,0.5545452119410179,0.017700367130843025,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.3,0.044680194829788474,1.0,0.9999999999999896,0.0,1.0863034340475726,0.6785386517417882,1.2859722680265564,0.5431280274494236,0.5435276551080899,0.020188392217204865,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.36,0.044680194829788474,0.9999999999999999,0.9999999999999897,0.0,1.0843845357041106,0.65958276463714,1.2673042790075182,0.542141410134308,0.5435276551080899,0.016560071825752004,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.42,0.044680194829788474,1.0,0.9999999999999897,0.0,1.06895243350567,0.6361306751239884,1.2149256617170443,0.5344761819821544,0.5361101558155918,0.01640621298067181,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.48,0.044680194829788474,1.0,0.9999999999999897,0.0,1.0523862701949849,0.6087069975440627,1.1530457544197144,0.5260863090112637,0.5264500706274223,0.019794435449034642,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.54,0.044680194829788474,1.0000000000000002,0.9999999999999896,0.0,1.0376952244025663,0.5819261598777161,1.103747518582336,0.5188438037833529,0.519918262399285,0.017090135529197026,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.6,0.044680194829788474,1.0,0.9999999999999897,0.0,1.0297885017499646,0.571984706283298,1.0955791347031312,0.5148394527896228,0.5164441340757288,0.0210525792491143,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.66,0.044680194829788474,0.9999999999999999,0.9999999999999898,0.0,1.0277983595012459,0.5760788260220415,1.0819517534110383,0.5138983531326458,0.515126945864981,0.016685611016539925,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
double-well,Langevin,0,0.72,0.044680194829788474,1.0,0.9999999999999897,0.0,1.0156133260641855,0.5723394494832906,1.0694234735054775,0.5078044459350857,0.50921785495589,0.016994944565322107,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634,composite trapezoid on reference grid
