method,quantity,fit_family,model,n,prefactor,barrier,r2_log,equation,exponent
Langevin,form_gap,arrhenius,arrhenius,8,0.5359526323054083,0.2721470168590464,0.9974464450358472,0.536 e^{-0.272/eps},
Langevin,form_gap,polynomial,polynomial,8,3.853222187161076,,0.9755871550047147,3.85 eps^{2.12},2.1236209272639552
Langevin,mixing_time,arrhenius,arrhenius,8,3.126005976817444,0.26497894920445175,0.9982821602827511,3.13 e^{0.265/eps},
Langevin,mixing_time,polynomial,polynomial,8,0.46904036259880927,,0.9649757769232838,0.469 eps^{-2.06},2.0555502557173924
Langevin,chi2_mixing_time,arrhenius,arrhenius,8,3.41106705583227,0.24113995001356683,0.994009570345601,3.41 e^{0.241/eps},
Langevin,chi2_mixing_time,polynomial,polynomial,8,0.5886893921077783,,0.9769728642141517,0.589 eps^{-1.89},1.8862545880995207
LSC-CP,form_gap,arrhenius,arrhenius,8,1.3271403786985192,0.02844960819688957,0.8695374296205824,1.33 e^{-0.0284/eps},
LSC-CP,form_gap,polynomial,polynomial,8,1.6815670073956135,,0.9735571553141511,1.68 eps^{0.238},0.2375188329095748
LSC-CP,mixing_time,arrhenius,arrhenius,8,1.1927965859082694,0.02972912128038993,0.7949946488685408,1.19 e^{0.0297/eps},
LSC-CP,mixing_time,polynomial,polynomial,8,0.9430458484080876,,0.8453809647146526,0.943 eps^{-0.242},0.24188635895770486
LSC-CP,chi2_mixing_time,arrhenius,arrhenius,8,1.2950215189796794,0.031187723570476972,0.6042750344558837,1.3 e^{0.0312/eps},
LSC-CP,chi2_mixing_time,polynomial,polynomial,8,0.9964646759428947,,0.6834274343790456,0.996 eps^{-0.262},0.2616963886148309
