method,N_previous,N_finest,gap_previous,gap_finest,gap_relative_change_last_two
LSC-CP,260,360,1.0014427578743919,1.001209494432498,0.00023298165188295625
Langevin,260,360,0.056903729308876896,0.05686278348893335,0.0007200811749131673
