method,eps,generator_abscissa,row_sum_abs_max,stationary_residual_l1,stationary_residual_linf,stationary_bias_l1,negative_stationary_mass,stationary_vector_min,stationary_vector_warning,score_clip_fraction,logratio_clip_fraction
Langevin,0.3,0.24960307834112075,2.2737367544323206e-13,0.39156432348109316,0.0327168602383221,0.021614922893268246,1.10089582563847e-15,-4.41058304836144e-16,False,0.0,0.0
LSC-CP,0.3,1.4497725728632513,1.8190449146970877e-12,1.2198944457877943,0.1356807635748228,0.02923230927076241,0.0,7.83372782067853e-08,False,0.0,0.0
Langevin,0.24,0.1881268484645093,1.1368683772161603e-13,0.41297958899063175,0.03542078583591746,0.025182369672002637,8.268008566157406e-16,-2.502816128920519e-16,False,0.0,0.0
LSC-CP,0.24,1.3725383720915474,1.8190449146970877e-12,1.2821308350424911,0.15912742719890033,0.032363374984067834,0.0,7.228254078660211e-08,False,0.0,0.0
Langevin,0.2,0.14587162923617603,9.237055564881302e-14,0.4394576175874211,0.03799242929254332,0.028798448554377416,2.0611560075932817e-15,-5.204971279384067e-16,False,0.0,0.0
LSC-CP,0.2,1.3123226190400792,2.040201341202419e-12,1.3304455032592823,0.14118486184342124,0.035172648084815794,0.0,6.796295435172607e-08,False,0.0,0.0
Langevin,0.16,0.1032079088636797,2.2737367544323206e-13,0.472752028102017,0.04163969045293614,0.034810167160553004,1.4044414011441514e-15,-4.256623257146135e-16,False,0.0,0.0
LSC-CP,0.16,1.2429325590874905,1.9503842985102438e-12,1.387993317840372,0.13911783546063075,0.03874872694951689,0.0,6.327527441533002e-08,False,0.0,0.0
Langevin,0.125,0.06665807509555709,2.2737367544323206e-13,0.5155704433512028,0.04634588042653487,0.042094884629309506,2.3740428444275695e-15,-2.5165055048370323e-16,False,0.0,0.0
LSC-CP,0.125,1.1734127624074213,1.8190449146970877e-12,1.4520756339577907,0.13893218059860807,0.04309162192707153,0.0,5.867518290350764e-08,False,0.0,0.0
Langevin,0.1,0.04224152453705816,2.2737367544323206e-13,0.5666062918510761,0.05115242893039795,0.050260230918836815,1.4582887176990788e-15,-1.9819046216650754e-16,False,0.0,0.0
LSC-CP,0.1,1.1192544259385855,9.095502129241595e-13,1.5110809771588722,0.14031596329359777,0.04615671928130763,0.0,5.492688547567781e-08,False,0.0,0.0
Langevin,0.08,0.02492055770101061,2.2737367544323206e-13,0.6087094986715484,0.05630674612429276,0.05849941117024304,1.6350878552850619e-15,-2.369049443517121e-16,False,0.0,0.0
LSC-CP,0.08,1.075077558809482,9.095502129241595e-13,1.5965816903695524,0.2264201009301271,0.04982362121011301,0.0,5.144687887617483e-08,False,0.0,0.0
Langevin,0.065,0.014110817265455683,2.2737367544323206e-13,0.6633023565330749,0.06114144091735696,0.06574352822245469,9.26588777343138e-16,-1.2046502441495997e-16,False,0.0,0.0
LSC-CP,0.065,1.0441081946077688,1.8190449146970877e-12,1.7046588464422436,0.19251390790812736,0.05321586928958487,0.0,4.8471714594182575e-08,False,0.0,0.0
