method,seed,time,W1,L1_pdf,CDF_sup,well_TV,accept
Langevin,0,0.0,1.019113988814569,1.5154490518790928,0.681987042686254,0.49999999999999994,
Langevin,0,0.06,0.990570417380517,1.2473182147406647,0.6072836852607395,0.49999999999999994,
Langevin,0,0.12,0.9835910010188469,1.1755275600660442,0.5809241241087131,0.49999999999999994,
Langevin,0,0.18,0.9781670729258565,1.1383947231959863,0.5650150331996222,0.49999999999999994,
Langevin,0,0.24,0.9781473656650864,1.12231380722187,0.5545452119410179,0.49999999999999994,
Langevin,0,0.3,0.9778250187291793,1.0996162982391096,0.5435276551080899,0.49909090909090903,
Langevin,0,0.36,0.9735759389638157,1.09691191777235,0.5435276551080899,0.49909090909090903,
Langevin,0,0.42,0.9672591324964299,1.0793773225635144,0.5361101558155918,0.4977272727272727,
Langevin,0,0.48,0.9553446453758311,1.0655460720527061,0.5264500706274223,0.49681818181818177,
Langevin,0,0.54,0.946247472519464,1.055541878131076,0.519918262399285,0.4977272727272727,
Langevin,0,0.6,0.9413801323796779,1.0431131010917525,0.5164441340757288,0.4954545454545454,
Langevin,0,0.66,0.936707152046948,1.0390038793810814,0.515126945864981,0.49499999999999994,
Langevin,0,0.72,0.9321942881028913,1.0353407569556985,0.50921785495589,0.4936363636363636,
Langevin,0,0.78,0.9274845534846243,1.0184784121049513,0.5042617252409303,0.48999999999999994,
Langevin,0,0.84,0.9234700767982065,1.0177157513215072,0.5005814913195265,0.49090909090909085,
Langevin,0,0.9,0.9227173935885824,1.011262206619337,0.5001404613895095,0.48999999999999994,
Langevin,0,0.96,0.9201531372269046,1.013172477891162,0.4992969273695513,0.4913636363636363,
Langevin,0,1.02,0.9110185815453015,1.0115585972211958,0.4967243930561896,0.4881818181818181,
Langevin,0,1.08,0.9068556196677428,1.0056690069186565,0.4930943304693479,0.4881818181818181,
Langevin,0,1.1400000000000001,0.9045880980419015,0.9958093766930498,0.49269117371672105,0.48681818181818176,
Langevin,0,1.2,0.8986822604909541,0.9975182789933648,0.48969409177159395,0.484090909090909,
Langevin,0,1.26,0.8950047934564018,0.9972886049464076,0.48811078675559255,0.48181818181818176,
Langevin,0,1.32,0.8895041312051137,0.9873597262810763,0.48817388968589737,0.4836363636363636,
Langevin,0,1.3800000000000001,0.8906983117047762,0.9908489302863268,0.48723662826217556,0.4813636363636363,
