L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,replicate,KDE_integral,KDE_tail_mass_outside_plot,KDE_bandwidth
0.06723703319854768,0.0029219479087775014,0.007000300174286908,0.012148329168958583,0.013630596282026675,0.006051333946085702,0,0.9999999999999998,0.0,0.044680194829788474
0.0688805574456372,0.0026350507360951582,0.007081902656861936,0.009671599980559775,0.011823751746275368,0.004516536007122096,1,1.0,0.0,0.044680194829788474
0.06210974529387854,0.0018941426773580346,0.006701966683966441,0.014631994558092026,0.016369206291729915,0.00430334080762429,2,0.9999999999999998,0.0,0.044680194829788474
0.0726777651020793,0.0031820572543237607,0.007835554076148237,0.011911457291952976,0.014572026986000686,0.006045201012153556,3,0.9999999999999998,0.0,0.044680194829788474
0.06390907872138196,0.002435191683705972,0.006317085795849844,0.013714787025336794,0.014608396962726422,0.0059122988008527555,4,1.0,0.0,0.044680194829788474
0.09485041777570823,0.005314812648667655,0.014102316738984008,0.01884850375533309,0.022788938817376314,0.005009597799200183,5,1.0,0.0,0.044680194829788474
0.07635825254472497,0.003550317629401019,0.009169692324821599,0.014556543808051603,0.017572673408656092,0.004924825139311806,6,0.9999999999999999,0.0,0.044680194829788474
0.0703671947111257,0.002697810838332213,0.006619162312134141,0.010632537820242552,0.010253927100220328,0.004421034388934042,7,1.0,0.0,0.044680194829788474
0.05950477477374931,0.0017271047563510644,0.005370280342111859,0.010505977698927804,0.011043819752077355,0.005559033353650961,8,0.9999999999999999,0.0,0.044680194829788474
0.07320642032194719,0.002699587852585182,0.009015330346518495,0.018208583129391442,0.021864401703472286,0.004697716720058781,9,1.0,0.0,0.044680194829788474
0.0643286856581514,0.0020323543170145267,0.006524641403334811,0.020040236272151568,0.021150927163686384,0.004073263003858574,10,1.0000000000000002,0.0,0.044680194829788474
0.0676044482747884,0.002284315153055665,0.00768450944303693,0.018224982358170022,0.023237257378948772,0.005091737736180102,11,1.0,0.0,0.044680194829788474
