method,W1_mean,W1_std,CDF_sup_mean,CDF_sup_std,well_TV_mean,well_TV_std,L1_pdf_mean,L1_pdf_std
CP,0.22035968229618172,0.006331443246864539,0.10772755398699504,0.005983189350540113,0.009772727272727239,0.008794407188443262,0.4569948615502425,0.00549019320330989
Kinetic-Langevin,0.3169932528793733,0.014056908898062912,0.17980733010563454,0.008803490343144663,0.17749999999999994,0.008856834997379102,0.4181335606590985,0.0107426929375164
LSC-CP,0.04535501476403172,0.0052373604108081374,0.039806682471705324,0.00357465538088565,0.008068181818181835,0.005200855513434805,0.2715359547234699,0.009481744155590346
Langevin,0.732691861395502,0.006450488672472332,0.4007215723851459,0.0057259744401477655,0.39965909090909085,0.005849053983926566,0.8228356455996584,0.011006230955443537
