method,primary_metric,form_gap,generator_abscissa,r_obs,r_obs_se,n_seed_fit,fit_t_min,fit_t_max
Langevin,well_TV,0.05686278348893335,0.06935752938748525,0.05506254395331075,0.0026074046440848066,4,1.2,4.08
Kinetic-Langevin,well_TV,,,0.23699549231485417,0.011322434115038901,4,1.2,4.08
LSC-CP,well_TV,1.001209494432498,1.1764824318156344,0.9992109132636203,0.15555178613407747,4,1.2,4.08
CP,well_TV,,,1.0373929256632604,0.26557958018341377,4,1.2,4.08
