summary,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,KDE_integral,KDE_tail_mass_outside_plot,KDE_bandwidth
mean,0.07008619781847666,0.0027812244546389794,0.007785228524837934,0.014424627738930688,0.016576326966099716,0.0050504932262527375,0.9999999999999999,0.0,0.044680194829788474
std,0.00920356982604524,0.0009559183603357002,0.002267730445626129,0.0036213461379086594,0.004696483114682197,0.000696132778368357,1.4202020649874554e-16,0.0,0.0
max,0.09485041777570823,0.005314812648667655,0.014102316738984008,0.020040236272151568,0.023237257378948772,0.006051333946085702,1.0000000000000002,0.0,0.044680194829788474
