eps,KDE_bandwidth,chi2_bias_floor_mean,chi2_bias_floor_max,chi2_mixing_tol,threshold_above_bias_floor
0.3,0.0788193912080962,0.011451871134007079,0.018555663308274926,0.05566698992482478,True
0.24,0.07279557184819056,0.01614130577625089,0.022778320082539535,0.0683349602476186,True
0.2,0.06828776566927244,0.013813962256447128,0.019436317683379944,0.05830895305013983,True
0.16,0.06144057679873588,0.015373527121704764,0.021505971983099694,0.06451791594929908,True
0.125,0.05372420718841002,0.01609487109275938,0.024821918686687365,0.07446575606006209,True
0.1,0.046807001863664266,0.020682682733245524,0.02231722884499609,0.06695168653498826,True
0.08,0.04107383295891388,0.019238046983362393,0.026531555177895343,0.07959466553368602,True
0.065,0.03637020396402242,0.026958485229694365,0.040438451269207476,0.12131535380762243,True
