time,well_TV,left_mass,right_mass,t_max,target_left_mass,target_right_mass,chi2_mixing_tol,chi2_bias_floor_mean,chi2_bias_floor_max,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,method,eps,rng_seed,clip_fraction_mean,clip_fraction_max
0.0,0.49999999999999994,1.0,0.0,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,1.5218268471059766,2.0267210202086225,4.589183029147715,0.6936698180584113,0.7213105057676293,0.11868713298609161,Langevin,0.3,20317530,0.0,0.0
0.18,0.49999999999999994,1.0,0.0,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,1.1160480381311602,0.5473444681331712,1.4084879014474239,0.5569821024960819,0.5598163590215997,0.02492378186503391,Langevin,0.3,20317530,0.0,0.0
0.36,0.4933333333333333,0.9933333333333333,0.006666666666666667,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,1.0293950372245009,0.42457061891904585,1.1239356979884234,0.5146944816585006,0.520003106873511,0.019040523759401656,Langevin,0.3,20317530,0.0,0.0
0.54,0.47444444444444445,0.9744444444444444,0.025555555555555557,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.973832024589697,0.37818617445853875,1.0154204558531703,0.4869147421601359,0.49035270920801804,0.0215420379185412,Langevin,0.3,20317530,0.0,0.0
0.72,0.4533333333333333,0.9533333333333334,0.04666666666666667,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.9117255066292607,0.33155659063903453,0.8840555691701498,0.4558556951156633,0.4609762429844237,0.021481364348080567,Langevin,0.3,20317530,0.0,0.0
0.9,0.43666666666666665,0.9366666666666666,0.06333333333333334,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.8849383412724483,0.3035376453744312,0.8120056834523737,0.4424689968535202,0.4450757673855411,0.01781559248405662,Langevin,0.3,20317530,0.0,0.0
1.08,0.4066666666666666,0.9066666666666666,0.09333333333333334,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.8056724851528921,0.26675580649448183,0.711413322756046,0.40283547223450167,0.4043459537015226,0.01726531386335206,Langevin,0.3,20317530,0.0,0.0
1.26,0.38888888888888884,0.8888888888888888,0.1111111111111111,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.7836843618971538,0.25841980582049556,0.6663435395651498,0.39183686270855317,0.39428363708267866,0.020903279379119427,Langevin,0.3,20317530,0.0,0.0
1.44,0.37666666666666665,0.8766666666666667,0.12333333333333334,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.756761924788317,0.22537493121516453,0.62164663666499,0.3783719295120271,0.3800984907429212,0.019585642233338058,Langevin,0.3,20317530,0.0,0.0
1.62,0.3622222222222222,0.8622222222222222,0.13777777777777778,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.7253875171942756,0.19950263403597213,0.5383670293227243,0.3626936923853793,0.36454293518736564,0.018588932567918104,Langevin,0.3,20317530,0.0,0.0
1.8,0.3388888888888889,0.8388888888888889,0.16111111111111112,22.0,0.49999999999999994,0.4999999999999999,0.05566698992482478,0.011451871134007079,0.018555663308274926,0.6760747849917037,0.18985926898911804,0.503918080296184,0.3380349225859125,0.3392397690476243,0.017830200806574853,Langevin,0.3,20317530,0.0,0.0
