experiment,x,local_Langevin_drift,Levy_score_correction,total_LSC_drift,jump_shell_center_positive,jump_shell_center_negative
double-well,-6.0,210.0,1.8577018125798455e+307,1.8577018125798455e+307,2.0,-2.0
double-well,-5.989991659716431,208.93090959090807,1.857701487978664e+307,1.857701487978664e+307,2.0,-2.0
double-well,-5.97998331943286,207.86541917429938,1.8577014798785192e+307,1.8577014798785192e+307,2.0,-2.0
double-well,-5.969974979149291,206.80352273514902,1.8577014796737567e+307,1.8577014796737567e+307,2.0,-2.0
double-well,-5.959966638865722,205.74521425843193,1.8577014796685134e+307,1.8577014796685134e+307,2.0,-2.0
double-well,-5.9499582985821515,204.69048772912294,1.8285666423058356e+307,1.8285666423058356e+307,2.0,-2.0
double-well,-5.939949958298582,203.6393371321972,1.8243233163627425e+307,1.8243233163627425e+307,2.0,-2.0
double-well,-5.929941618015013,202.5917564526296,1.8242265940510198e+307,1.8242265940510198e+307,2.0,-2.0
double-well,-5.919933277731443,201.547739675395,1.824224359643888e+307,1.824224359643888e+307,2.0,-2.0
double-well,-5.909924937447873,200.50728078546857,1.8242243073316765e+307,1.8242243073316765e+307,2.0,-2.0
double-well,-5.899916597164304,199.47037376782518,1.8242243060904854e+307,1.8242243060904854e+307,2.0,-2.0
double-well,-5.889908256880734,198.43701260743964,1.824224306060641e+307,1.824224306060641e+307,2.0,-2.0
double-well,-5.879899916597164,197.4071912892872,1.7967418138201472e+307,1.7967418138201472e+307,2.0,-2.0
double-well,-5.869891576313595,196.38090379834267,1.7923718662882174e+307,1.7923718662882174e+307,2.0,-2.0
double-well,-5.859883236030025,195.35814411958094,1.7922777299527814e+307,1.7922777299527814e+307,2.0,-2.0
double-well,-5.8498748957464555,194.33890623797714,1.792275673934338e+307,1.792275673934338e+307,2.0,-2.0
double-well,-5.839866555462886,193.32318413850618,1.7922756284067456e+307,1.7922756284067456e+307,2.0,-2.0
double-well,-5.829858215179316,192.31097180614293,1.7888461156247575e+307,1.7888461156247575e+307,2.0,-2.0
double-well,-5.819849874895747,191.3022632258625,1.7684702720961923e+307,1.7684702720961923e+307,2.0,-2.0
double-well,-5.809841534612177,190.29705238263978,1.76805354576313e+307,1.76805354576313e+307,2.0,-2.0
double-well,-5.799833194328607,189.29533326144966,1.768044901630185e+307,1.768044901630185e+307,2.0,-2.0
double-well,-5.789824854045038,188.29709984726728,1.7570926571879413e+307,1.7570926571879413e+307,2.0,-2.0
double-well,-5.779816513761468,187.30234612506752,1.7566007057418888e+307,1.7566007057418888e+307,2.0,-2.0
double-well,-5.769808173477898,186.31106607982525,1.7565908108171307e+307,1.7565908108171307e+307,2.0,-2.0
double-well,-5.759799833194329,185.32325369651556,1.7565906089265764e+307,1.7565906089265764e+307,2.0,-2.0
double-well,-5.749791492910759,184.33890296011344,1.7565906047480662e+307,1.7565906047480662e+307,2.0,-2.0
double-well,-5.739783152627189,183.35800785559368,1.7545717486233153e+307,1.7545717486233153e+307,2.0,-2.0
