experiment,method,seed,time,KDE_bandwidth,histogram_integral,KDE_integral,KDE_tail_mass_outside_plot,KDE_vs_histogram_bin_mass_L1,sample_count
double-well,Langevin,0,0.0,0.044680194829788474,1.0,1.0,0.0,0.08345402285971697,2200
double-well,Langevin,0,0.06,0.044680194829788474,1.0,1.0,0.0,0.04320046190573603,2200
double-well,Langevin,0,0.12,0.044680194829788474,1.0,1.0,0.0,0.023630326565144983,2200
double-well,Langevin,0,0.18,0.044680194829788474,0.9999999999999999,0.9999999999999999,0.0,0.022265358506866686,2200
double-well,Langevin,0,0.24,0.044680194829788474,0.9999999999999999,1.0000000000000002,0.0,0.025646911608188352,2200
double-well,Langevin,0,0.3,0.044680194829788474,1.0,1.0,0.0,0.02360949933351808,2200
double-well,Langevin,0,0.36,0.044680194829788474,1.0000000000000002,0.9999999999999999,0.0,0.01783916765727843,2200
double-well,Langevin,0,0.42,0.044680194829788474,1.0,1.0,0.0,0.020032824970413095,2200
double-well,Langevin,0,0.48,0.044680194829788474,1.0,1.0,0.0,0.019287148851912243,2200
double-well,Langevin,0,0.54,0.044680194829788474,1.0,1.0000000000000002,0.0,0.01989960089816188,2200
double-well,Langevin,0,0.6,0.044680194829788474,1.0,1.0,0.0,0.024897680362093916,2200
double-well,Langevin,0,0.66,0.044680194829788474,1.0,0.9999999999999999,0.0,0.023869200174391716,2200
double-well,Langevin,0,0.72,0.044680194829788474,1.0,1.0,0.0,0.02122778215285011,2200
double-well,Langevin,0,0.78,0.044680194829788474,1.0,1.0,0.0,0.025908388827564494,2200
double-well,Langevin,0,0.84,0.044680194829788474,1.0,0.9999999999999999,0.0,0.02438607570810708,2200
double-well,Langevin,0,0.9,0.044680194829788474,0.9999999999999999,0.9999999999999999,0.0,0.019844343490399277,2200
double-well,Langevin,0,0.96,0.044680194829788474,1.0,0.9999999999999999,0.0,0.024273723341763198,2200
double-well,Langevin,0,1.02,0.044680194829788474,1.0,1.0000000000000002,0.0,0.025890050346022802,2200
double-well,Langevin,0,1.08,0.044680194829788474,1.0,0.9999999999999999,0.0,0.02165995787449552,2200
double-well,Langevin,0,1.1400000000000001,0.044680194829788474,0.9999999999999998,0.9999999999999999,0.0,0.019708834649791653,2200
double-well,Langevin,0,1.2,0.044680194829788474,1.0,1.0,0.0,0.019527303931188435,2200
double-well,Langevin,0,1.26,0.044680194829788474,1.0,1.0,0.0,0.023930158419961215,2200
double-well,Langevin,0,1.32,0.044680194829788474,1.0,1.0,0.0,0.027622345923460488,2200
double-well,Langevin,0,1.3800000000000001,0.044680194829788474,1.0,1.0,0.0,0.033995633943763724,2200
double-well,Langevin,0,1.44,0.044680194829788474,1.0,1.0,0.0,0.018288679300742072,2200
double-well,Langevin,0,1.5,0.044680194829788474,0.9999999999999998,1.0000000000000002,0.0,0.022546905499229795,2200
double-well,Langevin,0,1.56,0.044680194829788474,1.0,0.9999999999999999,0.0,0.02312654270168795,2200
double-well,Langevin,0,1.62,0.044680194829788474,1.0,1.0,0.0,0.02706235010424475,2200
double-well,Langevin,0,1.68,0.044680194829788474,1.0,1.0,0.0,0.02160667269938488,2200
double-well,Langevin,0,1.74,0.044680194829788474,0.9999999999999999,0.9999999999999999,0.0,0.01868242791453597,2200
double-well,Langevin,0,1.8,0.044680194829788474,1.0,1.0,0.0,0.018541807895894373,2200
double-well,Langevin,0,1.86,0.044680194829788474,1.0,0.9999999999999999,0.0,0.018728897962503675,2200
double-well,Langevin,0,1.92,0.044680194829788474,1.0,0.9999999999999999,0.0,0.025972018584051397,2200
double-well,Langevin,0,1.98,0.044680194829788474,1.0,1.0,0.0,0.01769116211391119,2200
double-well,Langevin,0,2.04,0.044680194829788474,1.0,1.0,0.0,0.021221054580952546,2200
double-well,Langevin,0,2.1,0.044680194829788474,1.0,1.0000000000000002,0.0,0.0253245661078502,2200
double-well,Langevin,0,2.16,0.044680194829788474,1.0,1.0,0.0,0.028297621149482054,2200
double-well,Langevin,0,2.22,0.044680194829788474,0.9999999999999999,1.0,0.0,0.011938888757477414,2200
double-well,Langevin,0,2.2800000000000002,0.044680194829788474,1.0,0.9999999999999999,0.0,0.023087035831634607,2200
double-well,Langevin,0,2.34,0.044680194829788474,1.0,1.0,0.0,0.013395701580472305,2200
double-well,Langevin,0,2.4,0.044680194829788474,1.0,1.0,0.0,0.02787096510161995,2200
double-well,Langevin,0,2.46,0.044680194829788474,1.0,0.9999999999999998,0.0,0.02889817881879802,2200
double-well,Langevin,0,2.52,0.044680194829788474,1.0,1.0000000000000002,0.0,0.02479429464805365,2200
double-well,Langevin,0,2.58,0.044680194829788474,1.0,1.0,0.0,0.02973544735795174,2200
double-well,Langevin,0,2.64,0.044680194829788474,1.0,1.0,0.0,0.027692247589360473,2200
double-well,Langevin,0,2.7,0.044680194829788474,1.0,1.0000000000000002,0.0,0.037437443197910786,2200
double-well,Langevin,0,2.7600000000000002,0.044680194829788474,1.0,1.0,0.0,0.027090900425031837,2200
double-well,Langevin,0,2.82,0.044680194829788474,1.0,0.9999999999999999,0.0,0.022217449944059012,2200
double-well,Langevin,0,2.88,0.044680194829788474,1.0,1.0,0.0,0.03996836569901284,2200
double-well,Langevin,0,2.94,0.044680194829788474,1.0,0.9999999999999999,0.0,0.02204192873983362,2200
double-well,Langevin,0,3.0,0.044680194829788474,0.9999999999999999,1.0,0.0,0.017443001434420274,2200
double-well,Langevin,0,3.06,0.044680194829788474,1.0,1.0,0.0,0.027561165052950365,2200
double-well,Langevin,0,3.12,0.044680194829788474,1.0,0.9999999999999999,0.0,0.02603708774968177,2200
