N_input,N_active,x_min_active,x_max_active,retained_mass_before_renorm,boundary_jump_mass_proxy,gap,rayleigh,residual,lambda0,lambda2,lambda3,lambda4,lambda5,ratio32,ratio43,ratio54,method,x_min,x_max,N
360,176,-2.1935933147632314,2.1935933147632314,0.9999999999999982,0.0,0.05685433750450625,0.05685433750452404,3.0184827022119543e-13,0.0,0.05685433750450625,1.019755657054789,1.8999747081224982,2.9853220557710243,17.9362859865171,1.8631666271996148,1.571243050240935,Langevin,-4.5,4.5,360
360,176,-2.1935933147632314,2.1935933147632314,0.9999999999999982,0.4794451784205344,1.0010444100493952,1.0010537496365899,0.01047111851044452,0.0,1.0010444100493952,1.367616030735967,2.3054896832935903,4.039209248418156,1.3661891690384484,1.6857726375530397,1.751996236499223,LSC-CP,-4.5,4.5,360
360,158,-2.186629526462396,2.1866295264623954,0.9999999999999974,0.0,0.05686278348893335,0.056862783488919204,2.9136249730710666e-13,1.763970801313583e-14,0.05686278348893335,1.0197989229626456,1.899731500466725,2.9847229167975873,17.934382743699473,1.8628490947487601,1.571128823238601,Langevin,-5.0,5.0,360
360,158,-2.186629526462396,2.1866295264623954,0.9999999999999974,0.4796869064925304,1.001209494432498,1.0011998189876834,0.0012922296532732586,9.574365984715153e-06,1.001209494432498,1.3724679865533904,2.306347763610437,4.0390383613187195,1.3708099994909935,1.680438295251062,1.7512703092944963,LSC-CP,-5.0,5.0,360
360,132,-2.1894150417827296,2.1894150417827305,0.9999999999999982,0.0,0.05688234066802309,0.05688234066803425,1.5943784509599456e-13,0.0,0.05688234066802309,1.0198986970202653,1.8991667836668589,2.98333022062911,17.92997062080482,1.8621131581160582,1.5708626784578543,Langevin,-6.0,6.0,360
360,132,-2.1894150417827296,2.1894150417827305,0.9999999999999982,0.4792284714449586,1.0012732461239984,1.0012731355451119,0.005364319218277634,1.1027523132693175e-07,1.0012732461239984,1.3721805979097803,2.3055609132176262,4.036787586239298,1.3704356959716952,1.680216814557536,1.7508917518061073,LSC-CP,-6.0,6.0,360
