method,metric,seed,r_obs_seed,n_fit,t_min,t_max
Langevin,W1,0,0.06428788677672305,49,1.2,4.08
Langevin,W1,1,0.04997544271905183,49,1.2,4.08
Langevin,W1,2,0.06385604354923616,49,1.2,4.08
Langevin,W1,3,0.056343825562988024,49,1.2,4.08
Langevin,CDF_sup,0,0.062110155820638856,49,1.2,4.08
Langevin,CDF_sup,1,0.05018086563411462,49,1.2,4.08
Langevin,CDF_sup,2,0.061001183173163415,49,1.2,4.08
Langevin,CDF_sup,3,0.057886788523116434,49,1.2,4.08
Langevin,well_TV,0,0.05955947473247617,49,1.2,4.08
Langevin,well_TV,1,0.04810792503387267,49,1.2,4.08
Langevin,well_TV,2,0.058524489173340466,49,1.2,4.08
Langevin,well_TV,3,0.05405828687355368,49,1.2,4.08
Langevin,L1_pdf,0,0.05966464196722519,49,1.2,4.08
Langevin,L1_pdf,1,0.04924339235085675,49,1.2,4.08
Langevin,L1_pdf,2,0.05825905819058999,49,1.2,4.08
Langevin,L1_pdf,3,0.053872488481121965,49,1.2,4.08
Kinetic-Langevin,W1,0,0.274823353466199,49,1.2,4.08
Kinetic-Langevin,W1,1,0.2468354462202062,49,1.2,4.08
Kinetic-Langevin,W1,2,0.21942175461006125,49,1.2,4.08
Kinetic-Langevin,W1,3,0.21953551776260508,49,1.2,4.08
Kinetic-Langevin,CDF_sup,0,0.2664529872463551,49,1.2,4.08
Kinetic-Langevin,CDF_sup,1,0.2429112813227174,49,1.2,4.08
Kinetic-Langevin,CDF_sup,2,0.21457741641564768,49,1.2,4.08
Kinetic-Langevin,CDF_sup,3,0.2225900807260947,49,1.2,4.08
Kinetic-Langevin,well_TV,0,0.2653513468517272,49,1.2,4.08
Kinetic-Langevin,well_TV,1,0.2446921513447964,49,1.2,4.08
Kinetic-Langevin,well_TV,2,0.21542062612137003,49,1.2,4.08
Kinetic-Langevin,well_TV,3,0.222517844941523,49,1.2,4.08
Kinetic-Langevin,L1_pdf,0,0.2286009736493779,49,1.2,4.08
Kinetic-Langevin,L1_pdf,1,0.2118800828313507,49,1.2,4.08
Kinetic-Langevin,L1_pdf,2,0.19236621915509652,49,1.2,4.08
Kinetic-Langevin,L1_pdf,3,0.1972327099246181,49,1.2,4.08
LSC-CP,W1,0,0.635620634168384,49,1.2,4.08
LSC-CP,W1,1,0.6163079512686231,49,1.2,4.08
LSC-CP,W1,2,0.5288141641487326,49,1.2,4.08
LSC-CP,W1,3,0.4537621096247012,49,1.2,4.08
LSC-CP,CDF_sup,0,0.4541980667487698,49,1.2,4.08
LSC-CP,CDF_sup,1,0.393560913942723,49,1.2,4.08
LSC-CP,CDF_sup,2,0.4737897485213261,49,1.2,4.08
LSC-CP,CDF_sup,3,0.3489658825775932,49,1.2,4.08
LSC-CP,well_TV,0,1.113652490785774,49,1.2,4.08
LSC-CP,well_TV,1,1.386612286027109,49,1.2,4.08
LSC-CP,well_TV,2,0.7232252567704358,49,1.2,4.08
LSC-CP,well_TV,3,0.7733536194711627,49,1.2,4.08
LSC-CP,L1_pdf,0,0.09912048064717731,49,1.2,4.08
LSC-CP,L1_pdf,1,0.08267560878695364,49,1.2,4.08
LSC-CP,L1_pdf,2,0.10078870727359028,49,1.2,4.08
LSC-CP,L1_pdf,3,0.06498344222548139,49,1.2,4.08
CP,W1,0,0.20031573745583453,49,1.2,4.08
CP,W1,1,0.24514207071027722,49,1.2,4.08
CP,W1,2,0.22600135756520584,49,1.2,4.08
CP,W1,3,0.209782863027415,49,1.2,4.08
CP,CDF_sup,0,0.21555170883775182,49,1.2,4.08
CP,CDF_sup,1,0.23393551386710118,49,1.2,4.08
CP,CDF_sup,2,0.2020474199662447,49,1.2,4.08
CP,CDF_sup,3,0.18990332488748812,49,1.2,4.08
CP,well_TV,0,0.6740670486866116,49,1.2,4.08
CP,well_TV,1,0.9613042941667758,49,1.2,4.08
CP,well_TV,2,1.8102965433516207,49,1.2,4.08
CP,well_TV,3,0.7039038164480333,49,1.2,4.08
CP,L1_pdf,0,0.05629425761181387,49,1.2,4.08
CP,L1_pdf,1,0.07310555544989802,49,1.2,4.08
CP,L1_pdf,2,0.04476108786508558,49,1.2,4.08
CP,L1_pdf,3,0.044007341945069334,49,1.2,4.08
