eps,method,lambda0,deltaV,mixing_tol,mixing_time,mixing_time_reached,chi2_mixing_tol,chi2_mixing_time,chi2_mixing_time_reached,chi2_bias_floor_mean,chi2_bias_floor_max,censoring_time,time_max,terminal_well_TV,terminal_truncated_KDE_chi2,initial_well_TV,initial_truncated_KDE_chi2,target_left_mass,target_right_mass,clip_fraction_mean,clip_fraction_max,form_gap,generator_abscissa,stationary_residual_l1,row_sum_abs_max,stationary_bias_l1,negative_stationary_mass,arrhenius_ref_rate,poly_ref_rate,arrhenius_ref_time,poly_ref_time
0.065,LSC-CP,1.0,0.25,0.1,1.8,True,0.12131535380762243,1.8,True,0.026958485229694365,0.040438451269207476,180.0,180.0,0.02333333333333336,0.07396276590157361,0.5,2.452113564609105,0.5,0.49999999999999994,0.0,0.0,0.9101177496743977,1.0441081946077688,1.7046588464422436,1.8190449146970877e-12,0.05321586928958487,0.0,0.021361739175007062,0.25495097567963926,46.81266781732763,3.9223227027636804
0.065,Langevin,1.0,0.25,0.1,177.84,True,0.12131535380762243,124.2,True,0.026958485229694365,0.040438451269207476,180.0,180.0,0.09444444444444441,0.05438399223723353,0.5,2.452113564609105,0.5,0.49999999999999994,0.0,0.0,0.008705083416600362,0.014110817265455683,0.6633023565330749,2.2737367544323206e-13,0.06574352822245469,9.26588777343138e-16,0.021361739175007062,0.25495097567963926,46.81266781732763,3.9223227027636804
0.08,LSC-CP,1.0,0.25,0.1,1.8,True,0.07959466553368602,2.16,True,0.019238046983362393,0.026531555177895343,159.31926565468711,159.3,0.021111111111111122,0.06257992479515156,0.5,2.7752947798008423,0.5,0.5,0.0,0.0,0.9231337820255893,1.075077558809482,1.5965816903695524,9.095502129241595e-13,0.04982362121011301,0.0,0.04393693362340742,0.282842712474619,22.75989509352673,3.5355339059327378
0.08,Langevin,1.0,0.25,0.1,87.66,True,0.07959466553368602,75.60000000000001,True,0.019238046983362393,0.026531555177895343,159.31926565468711,159.3,0.041666666666666685,0.025287272245735116,0.5,2.7752947798008423,0.5,0.5,0.0,0.0,0.017829018070814783,0.02492055770101061,0.6087094986715484,2.2737367544323206e-13,0.05849941117024304,1.6350878552850619e-15,0.04393693362340742,0.282842712474619,22.75989509352673,3.5355339059327378
0.1,LSC-CP,1.0,0.25,0.1,1.62,True,0.06695168653498826,1.98,True,0.020682682733245524,0.02231722884499609,85.27745772492432,85.14,0.012222222222222232,0.04044012541415935,0.5,3.2736722097839843,0.5,0.5,0.0,0.0,0.9536848809947018,1.1192544259385855,1.5110809771588722,9.095502129241595e-13,0.04615671928130763,0.0,0.0820849986238988,0.31622776601683794,12.182493960703473,3.162277660168379
0.1,Langevin,1.0,0.25,0.1,44.1,True,0.06695168653498826,38.52,True,0.020682682733245524,0.02231722884499609,85.27745772492432,85.14,0.030555555555555544,0.022902537665861162,0.5,3.2736722097839843,0.5,0.5,0.0,0.0,0.033618260187715084,0.04224152453705816,0.5666062918510761,2.2737367544323206e-13,0.050260230918836815,1.4582887176990788e-15,0.0820849986238988,0.31622776601683794,12.182493960703473,3.162277660168379
0.125,LSC-CP,1.0,0.25,0.1,1.44,True,0.07446575606006209,1.62,True,0.01609487109275938,0.024821918686687365,51.72339269251455,51.660000000000004,0.0038888888888889694,0.03710970498276344,0.4999999999999999,3.507194785658634,0.5000000000000001,0.49999999999999994,5.3702808656892744e-08,0.0011111111111111111,1.0014427578743919,1.1734127624074213,1.4520756339577907,1.8190449146970877e-12,0.04309162192707153,0.0,0.1353352832366127,0.3535533905932738,7.38905609893065,2.82842712474619
0.125,Langevin,1.0,0.25,0.1,27.54,True,0.07446575606006209,26.1,True,0.01609487109275938,0.024821918686687365,51.72339269251455,51.660000000000004,0.029444444444444356,0.019401450786641752,0.4999999999999999,3.507194785658634,0.5000000000000001,0.49999999999999994,0.0,0.0,0.056903729308876896,0.06665807509555709,0.5155704433512028,2.2737367544323206e-13,0.042094884629309506,2.3740428444275695e-15,0.1353352832366127,0.3535533905932738,7.38905609893065,2.82842712474619
0.16,LSC-CP,1.0,0.25,0.1,1.62,True,0.06451791594929908,1.62,True,0.015373527121704764,0.021505971983099694,33.39513227377322,33.3,0.00555555555555555,0.01951780348947197,0.49999999999999994,3.8269367817242244,0.5000000000000001,0.5,0.0,0.0,1.069810552358775,1.2429325590874905,1.387993317840372,1.9503842985102438e-12,0.03874872694951689,0.0,0.2096113871510978,0.4,4.770733181967603,2.5
0.16,Langevin,1.0,0.25,0.1,16.2,True,0.06451791594929908,15.66,True,0.015373527121704764,0.021505971983099694,33.39513227377322,33.3,0.014444444444444426,0.007787658438774526,0.49999999999999994,3.8269367817242244,0.5000000000000001,0.5,0.0,0.0,0.09264323709665215,0.1032079088636797,0.472752028102017,2.2737367544323206e-13,0.034810167160553004,1.4044414011441514e-15,0.2096113871510978,0.4,4.770733181967603,2.5
0.2,LSC-CP,1.0,0.25,0.1,1.44,True,0.05830895305013983,1.62,True,0.013813962256447128,0.019436317683379944,24.43240070223289,24.3,0.0027777777777777957,0.020123301879706623,0.5,4.054418741846115,0.49999999999999994,0.5,0.0,0.0,1.1423883777305301,1.3123226190400792,1.3304455032592823,2.040201341202419e-12,0.035172648084815794,0.0,0.2865047968601901,0.4472135954999579,3.4903429574618414,2.23606797749979
0.2,Langevin,1.0,0.25,0.1,11.52,True,0.05830895305013983,11.16,True,0.013813962256447128,0.019436317683379944,24.43240070223289,24.3,0.014444444444444496,0.009894848750487578,0.5,4.054418741846115,0.49999999999999994,0.5,0.0,0.0,0.13486423849648987,0.14587162923617603,0.4394576175874211,9.237055564881302e-14,0.028798448554377416,2.0611560075932817e-15,0.2865047968601901,0.4472135954999579,3.4903429574618414,2.23606797749979
0.24,LSC-CP,1.0,0.25,0.1,1.26,True,0.0683349602476186,1.26,True,0.01614130577625089,0.022778320082539535,22.0,21.96,0.011111111111111127,0.013592210322473833,0.5,4.4573262438865475,0.5,0.5,0.0,0.0,1.207409216295596,1.3725383720915474,1.2821308350424911,1.8190449146970877e-12,0.032363374984067834,0.0,0.3528660814588489,0.4898979485566356,2.833936307694169,2.041241452319315
0.24,Langevin,1.0,0.25,0.1,10.08,True,0.0683349602476186,9.540000000000001,True,0.01614130577625089,0.022778320082539535,22.0,21.96,0.00555555555555555,0.008404874923387946,0.5,4.4573262438865475,0.5,0.5,0.0,0.0,0.17687214905370455,0.1881268484645093,0.41297958899063175,1.1368683772161603e-13,0.025182369672002637,8.268008566157406e-16,0.3528660814588489,0.4898979485566356,2.833936307694169,2.041241452319315
0.3,LSC-CP,1.0,0.25,0.1,1.26,True,0.05566698992482478,1.44,True,0.011451871134007079,0.018555663308274926,22.0,21.96,0.008888888888888946,0.01060268355770605,0.49999999999999994,4.5650424966972,0.49999999999999994,0.4999999999999999,0.0,0.0,1.2923287589905732,1.4497725728632513,1.2198944457877943,1.8190449146970877e-12,0.02923230927076241,0.0,0.4345982085070782,0.5477225575051661,2.300975890892825,1.8257418583505538
0.3,Langevin,1.0,0.25,0.1,7.0200000000000005,True,0.05566698992482478,6.84,True,0.011451871134007079,0.018555663308274926,22.0,21.96,0.01333333333333335,0.010879653416915923,0.49999999999999994,4.5650424966972,0.49999999999999994,0.4999999999999999,0.0,0.0,0.23808601225495427,0.24960307834112075,0.39156432348109316,2.2737367544323206e-13,0.021614922893268246,1.10089582563847e-15,0.4345982085070782,0.5477225575051661,2.300975890892825,1.8257418583505538
