method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.3546639611117566,0.42918007126520175,0.4289530763560613,0.6177388151620928,0.7003848871791447,1.0123157906244502,1.0,0.5,0.9983940553143836,0.034793885817369086,1.002558891562892,0.012622076982953367,False,nan,reject,1.8,,
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.3549299396187242,0.4294642532990772,0.42923714444039385,0.6109669951830925,0.7004615157121169,1.0123470972328112,1.0,0.5,1.000053744156023,0.03830869244589441,1.0081289696497207,0.020454994003754723,False,nan,reject,1.8,,
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.356251665949082,0.4297446496884245,0.42951761576809433,0.6127253688231731,0.7011351148627669,1.0133222961499107,1.0,0.5,1.0007234354121721,0.03951847459623892,1.0097591705578621,0.022394453354206756,False,nan,reject,1.8,,
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.3555386004319776,0.42944248603267754,0.4292155075413535,0.6154742140596208,0.7007970748800024,1.0127482216388457,1.0,0.5,0.9993002213956168,0.03657537712048842,1.005193968814415,0.016096883694934117,False,nan,reject,1.8,,
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,0,8,0.02,64000.0,8.0,8.0,0.0,1.3046875664515978,0.41066835981160854,0.4104315149517148,0.5001948624614284,0.6751031912577238,0.9797486669370851,0.9955,0.49550000000000005,0.9795864662245254,0.021449336273983155,0.9954275236096656,0.03314713240148015,False,nan,reject,1.8,1.5625e-05,0.0
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,1,8,0.02,64000.0,8.0,8.0,0.0,1.3132250906994982,0.41574194263617825,0.4155075025097842,0.511674076383213,0.679786517246792,0.9861825648858786,0.998,0.498,0.986182391117734,0.028257488373567674,1.0033813784852288,0.0367063873415866,False,nan,reject,1.8,1.5625e-05,0.0
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,2,8,0.02,64000.0,8.0,8.0,0.0,1.3120009712487368,0.4166379117156713,0.4164037395415989,0.5074991396471602,0.6794460991087428,0.9872380694794395,0.9985,0.49850000000000005,0.985556946138124,0.029972651821156493,0.9903624918002361,0.07726869538979819,False,nan,reject,1.8,1.5625e-05,0.0
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,3,8,0.02,64000.0,8.0,8.0,0.0,1.3109606043568565,0.4141807054462816,0.4139447206266583,0.5009880064426937,0.6781695095612011,0.9870267465842613,0.998,0.498,0.9856572136560914,0.03600172884893005,1.0131947253042146,0.11819279113290448,False,nan,reject,1.8,1.5625e-05,0.0
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,0,17,0.0425,136000.0,17.0,17.0,0.0,1.2929065174493852,0.4048845543649885,0.4046449087176839,0.4961227617705479,0.6689454935829765,0.9722590019999999,0.9935,0.49350000000000005,0.9722590314143336,0.015209677881985573,0.9893133816937419,0.0346393333038143,False,nan,reject,1.8,2.9411764705882354e-05,0.0
FLA,"FLA alpha=1.8, canonical",81eb2a78a7c6aa6642fc9c734e0c2144,8da7d73e85753d4e79f54062070fbc7b,False,1,17,0.0425,136000.0,17.0,17.0,0.0,1.301862306088723,0.41130044408732724,0.41106426340400104,0.4978124119407027,0.6742672815548255,0.9784929964324586,0.9975,0.49750000000000005,0.9784932308246087,0.016723336480184203,0.9892857212862342,0.020845582000551643,False,nan,reject,1.8,2.9411764705882354e-05,0.0
