method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,0,0,0.0,0.0,0.0,0.0,0.0,0.7386961303287244,0.5189827536033897,0.5184844202311172,0.79,0.5302852357412255,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,1,0,0.0,0.0,0.0,0.0,0.0,0.7359460159648705,0.5167632854745816,0.5162640222567177,0.7937500000000001,0.5301911425448793,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,2,0,0.0,0.0,0.0,0.0,0.0,0.7378114450885651,0.5188905815946128,0.5183918844660175,0.8037500000000001,0.5337523448869914,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,3,0,0.0,0.0,0.0,0.0,0.0,0.7356934717207231,0.5159745748151687,0.5154757714204212,0.80125,0.5313155194764592,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,0,8,0.04,25600.0,8.0,8.0,0.0,0.7282382948196142,0.5110412692063889,0.5105372659493738,0.7725000000000001,0.5174091900040705,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,1,8,0.04,25600.0,8.0,8.0,0.0,0.7272439193911279,0.510200115246768,0.5096949712173242,0.7625000000000001,0.5148174552872388,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,2,8,0.04,25600.0,8.0,8.0,0.0,0.7290188861167881,0.5119066836683182,0.511402502631993,0.77125,0.5142637424658043,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,3,8,0.04,25600.0,8.0,8.0,0.0,0.726488214277803,0.5084161797295383,0.5079123182721428,0.77,0.5164336769485042,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,0,17,0.085,54400.0,17.0,17.0,0.0,0.7225984638244647,0.5054473735729789,0.5049389897914095,0.7575000000000001,0.5093006713590329,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,1,17,0.085,54400.0,17.0,17.0,0.0,0.7194603666630282,0.5021598476525608,0.5016506129925175,0.75625,0.5116442106147026,0.0,0.36550095012754413,0.7311477216369078,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,c87203a12406cc5114b7ffa2d8877465,False,2,17,0.085,54400.0,17.0,17.0,0.0,0.7201947042774086,0.502988922747525,0.5024791494972338,0.75375,0.5075631156231409,0.0,0.36138685991337355,0.7298977216369078,False,nan,reject,0.0,0.0
