method,W1_mean,W1_std,CDF_sup_mean,CDF_sup_std,mode_TV_mean,mode_TV_std,middle_error_mean,middle_error_std,L1_pdf_mean,L1_pdf_std
CP-overlong,4.175625577718093,0.08593461146154419,0.3676100515169582,0.013390242196317405,0.30086584118157705,0.003958333333333342,0.30086584118157716,0.003958333333333336,1.3075651040907654,0.01790843228507831
Kinetic-Langevin,2.5168757882853114,0.039578929115922354,0.5433493114163545,0.008444827421422121,0.5425184498734275,0.008518770125108694,0.23992834118157716,0.006319062870042972,1.1041925377695527,0.019614309609302025
LSC-adjacent,0.17087664119079804,0.08339303220861836,0.038300467401303315,0.015108954797716258,0.03498132955682681,0.0129870406348545,0.013196658818422816,0.011718634258687684,0.324656481968071,0.008622451983866995
LSC-overlong,0.04748792418744984,0.009501761467247667,0.016391758270059564,0.003914973432712121,0.008663748037939036,0.00566001228536319,0.007639996075878078,0.005275658966630211,0.3188882935714673,0.023505963929422564
Langevin,3.2472199330893377,0.0043257980795847655,0.7375384199881165,0.0005303586422240787,0.7369976165400942,0.0008589803386703568,0.39440750784824385,0.0008589803386703266,1.4827559910249861,0.0025215368959134697
