L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,replicate,KDE_integral,KDE_tail_mass_outside_plot,KDE_bandwidth
0.08045339855887138,0.0011055171208834958,0.012941220488234217,0.00901509140506307,0.01044567807059138,0.004202083188526884,0,0.9999999999999999,0.0,0.09199214785700836
0.06950746959541973,0.0009920557954888765,0.007170964461049211,0.015433049698678647,0.017770372468110196,0.004463969581239735,1,1.0,0.0,0.09199214785700836
0.061155335914696025,0.0006393519772846822,0.006319904795059308,0.006377033490386874,0.007501445474795032,0.0036763369633603382,2,0.9999999999999999,0.0,0.09199214785700836
0.07970582662668059,0.0013808326233166837,0.008867649664070304,0.01857347537519427,0.02068703913477682,0.0051151779237714745,3,0.9999999999999999,0.0,0.09199214785700836
0.08542220506843036,0.001455553092746148,0.011579065773524565,0.009441516407238781,0.012084778808128305,0.005583948479374823,4,0.9999999999999999,0.0,0.09199214785700836
0.07434193201709322,0.001072610489069171,0.009094986688206163,0.01568003263038431,0.01797489535588659,0.0037689266707529034,5,0.9999999999999998,0.0,0.09199214785700836
0.09054753275993233,0.0016851681437014905,0.010804291241098383,0.01349850980402273,0.015305185721156911,0.0048615350421643555,6,1.0,0.0,0.09199214785700836
0.08442238724857473,0.001305492730872825,0.009503787993810242,0.013746775433387592,0.014968638110173238,0.00395101292958977,7,1.0000000000000002,0.0,0.09199214785700836
0.07853696843342597,0.0010583883523998486,0.009197542457781892,0.02108926640129921,0.021846272571570097,0.0035873554669461627,8,1.0000000000000002,0.0,0.09199214785700836
0.07396341189806291,0.0009911979488987346,0.008957388130615033,0.016016617072422523,0.018306477241738284,0.004518889933859627,9,0.9999999999999999,0.0,0.09199214785700836
0.08019676074485318,0.0013015687089453518,0.00971116560518516,0.022245826145643716,0.022951045468526582,0.003947251181421141,10,0.9999999999999999,0.0,0.09199214785700836
0.06263886252178599,0.000754480641653938,0.006398048724786219,0.020125306620226435,0.022202380858651727,0.003924869365237615,11,0.9999999999999998,0.0,0.09199214785700836
