kind,value,gap
radius,2.4,0.31086640968207285
radius,2.7,0.3488307426813947
radius,3.0,0.3881943394620701
radius,3.3,0.2950923535903214
radius,4.2,0.1338320641934043
radius,5.2,0.07375089231249081
radius,6.0,0.0905930161676336
radius,6.6,0.2483540967573603
width-adjacent,0.08,0.36542611480746
width-overlong,0.08,0.08559844996598359
width-adjacent,0.14,0.37704928562998974
width-overlong,0.14,0.08805475433349494
width-adjacent,0.18,0.3881943394620701
width-overlong,0.18,0.0905930161676336
width-adjacent,0.28,0.4272448868580375
width-overlong,0.28,0.09733139352520936
width-adjacent,0.42,0.5057156392719786
width-overlong,0.42,0.11163878418514361
