method,primary_metric,form_gap,generator_abscissa,r_obs,r_obs_se,n_seed_fit,fit_t_min,fit_t_max
Langevin,middle_error,0.006787481642835932,0.009343371749772027,0.012684300622832961,0.0008354651294359652,4,1.047375,3.5610749999999998
Kinetic-Langevin,middle_error,,,0.14293608223960882,0.009181880273503635,4,1.047375,3.5610749999999998
LSC-adjacent,middle_error,0.3881943394620701,0.7514790508028,-0.03931896927264683,0.12105324250826653,4,1.047375,3.5610749999999998
LSC-overlong,middle_error,0.0905930161676336,2.6560506395098726,0.5968817224704068,0.2563002324350329,4,1.047375,3.5610749999999998
CP-overlong,middle_error,,,0.10456327942035816,0.002314071217544332,4,1.047375,3.5610749999999998
