summary,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,KDE_integral,KDE_tail_mass_outside_plot,KDE_bandwidth
mean,0.0767410076156522,0.0011451848021051037,0.009212168001951725,0.01510354170699568,0.016837017440342095,0.004300113060520402,1.0,0.0,0.09199214785700836
std,0.008894865498895272,0.0002959800591928954,0.0019777271490526837,0.005000645039372214,0.00492518796911087,0.0006236658572304531,1.5700924586837752e-16,0.0,0.0
max,0.09054753275993233,0.0016851681437014905,0.012941220488234217,0.022245826145643716,0.022951045468526582,0.005583948479374823,1.0000000000000002,0.0,0.09199214785700836
