method,N_input,lambda2,lambda3,lambda4,lambda5,ratio32,ratio43,ratio54
Langevin,180,0.006870827797489967,0.018506525756810027,0.19546633313256123,0.3270182354930603,2.6934928806643623,10.562022051093711,1.6730156557000704
Langevin,280,0.006810977482688384,0.018328036160469352,0.19553936731684562,0.3273530757466713,2.6909553301349383,10.668866298866915,1.6741031754298306
Langevin,420,0.006787481642835932,0.01825804318140481,0.19556490618084552,0.32746866701400895,2.689958388421699,10.711164621410342,1.6744756173747632
LSC-adjacent,180,0.38696000419415516,0.4998686766469715,0.6981474374751852,1.2290434793466953,1.2917838309619332,1.3966617035462827,1.7604354229121986
LSC-adjacent,280,0.3878435967630923,0.4978890668174749,0.6986866587665168,1.2353054627728375,1.2837367200923573,1.4032978535410456,1.768039288103317
LSC-adjacent,420,0.3881943394620701,0.49739411950944407,0.698804587811679,1.2371835316803628,1.2813018350517285,1.404931341972592,1.7704284620606578
LSC-overlong,180,0.10790902795300888,0.36716367584218274,0.6792268910979284,0.7112507398565948,3.4025297308958375,1.8499294341684258,1.047147498396157
LSC-overlong,280,0.09251909124206792,0.3532465696021778,0.6777959821444783,0.7065828360236832,3.818093810259547,1.9187616822657452,1.0424712666311862
LSC-overlong,420,0.0905930161676336,0.3513312863032301,0.6779588487668917,0.7057703929727532,3.8781277096804634,1.9296853858376652,1.041022466564817
