method,x_min,x_max,N,generator_abscissa,row_sum_inf,stationary_residual_l1,stationary_residual_linf,stationary_bias_l1,stationary_bias_l1_projected,zero_eval_abs,stationary_vector_min,stationary_vector_negative_mass,stationary_vector_warning,score_clip_fraction,logratio_clip_fraction
Langevin,-10.0,10.0,90,0.009476045152507436,8.881784197001252e-16,0.09756649491367375,0.01335581005373257,0.08321431289619674,0.08321431289619674,1.2827347788338973e-15,1.2626783894931823e-18,0.0,False,0.0,0.0
LSC-adjacent,-10.0,10.0,90,0.7526087596539507,8.449907440422066e-13,0.8041828584815198,0.10194605545841554,0.04805894982979584,0.04805894982979584,2.1107046027615568e-14,2.3762741322139844e-08,0.0,False,0.0,0.0
LSC-overlong,-10.0,10.0,90,2.65897843938377,9.094947017729282e-13,1.7923249739121103,0.3453503529422618,0.06173279204564474,0.06173279204564474,2.6384702132623335e-15,3.136919226960825e-05,0.0,False,0.0,0.0
Langevin,-10.0,10.0,140,0.008554959300458442,3.552713678800501e-15,0.06940468494607718,0.007080577190171244,0.056705466462841164,0.056705466462841164,3.948987387654003e-15,-4.83881119576834e-16,2.543124896715794e-15,False,0.0,0.0
LSC-adjacent,-10.0,10.0,140,0.7422534006343781,1.0902390101819037e-12,0.7446894712629557,0.09426508188666886,0.03255041251042205,0.03255041251042205,2.5884256436390374e-13,1.3841161060271498e-08,0.0,False,0.0,0.0
LSC-overlong,-10.0,10.0,140,2.636172873599969,8.897327319346005e-13,1.7179868399672005,0.1837453551650726,0.04720886933359825,0.04720886933359825,1.571310637858382e-13,2.1762966612012172e-05,0.0,False,0.0,0.0
Langevin,-15.0,15.0,90,0.010410707577792909,4.440892098500626e-16,0.09521312724731086,0.010370075254575527,0.09422707478488486,0.09422707478488486,1.6026857296912736e-15,-3.566737261104996e-16,8.798384715526084e-16,False,0.0,0.0
LSC-adjacent,-15.0,15.0,90,0.7668450184358447,1.1368683772161603e-13,0.8647438812438515,0.13274035744409057,0.06985443268795041,0.06985443268795041,7.357216345150487e-14,9.735295321479311e-13,0.0,False,0.0,0.0
LSC-overlong,-15.0,15.0,90,2.687604403760047,1.1368683772161603e-13,1.9016244607298038,0.3771593673076518,0.08516477001237814,0.08516477001237814,9.817973338968512e-14,6.346902748397141e-07,0.0,False,0.0,0.0
Langevin,-15.0,15.0,140,0.009343371749772027,1.7763568394002505e-15,0.09046360443154193,0.008042146164442182,0.07656075350621958,0.07656075350621958,5.942070554049594e-16,-6.510553147510372e-17,1.2521132518802233e-16,False,0.0,0.0
LSC-adjacent,-15.0,15.0,140,0.7514790508028,9.943157408542902e-13,0.7946910347381259,0.11783988520163435,0.04604713254373399,0.04604713254373399,2.799509713034653e-13,4.232348107285397e-13,0.0,False,0.0,0.0
LSC-overlong,-15.0,15.0,140,2.6560506395098726,9.094947017729282e-13,1.7842527327923374,0.27939757340288396,0.059926083951048814,0.059926083951048814,9.414641999624783e-14,4.165730647120977e-07,0.0,False,0.0,0.0
