experiment,method,x,local_Langevin_drift,Levy_score_correction,total_LSC_drift,jump_shell_center_positive,jump_shell_center_negative
triple-well,LSC-adjacent,-11.159399571122231,1.587114605821533,1.1759481668042239e+24,1.1759481668042239e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.142244460328806,1.5846747678784212,1.1848150189737277e+24,1.1848150189737277e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.125089349535383,1.5822349299439507,1.1930186901921464e+24,1.1930186901921464e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.107934238741958,1.57979509202013,1.2005420643567112e+24,1.2005420643567112e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.090779127948535,1.577355254109422,1.207369409969528e+24,1.207369409969528e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.073624017155112,1.574915416214881,1.2134864095414082e+24,1.2134864095414082e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.056468906361687,1.5724755783401758,1.218880186439604e+24,1.218880186439604e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.039313795568264,1.5700357404899112,1.2235393289010276e+24,1.2235393289010276e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.022158684774839,1.5675959026696555,1.227453910956148e+24,1.227453910956148e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.005003573981416,1.5651560648862617,1.230615510037863e+24,1.230615510037863e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.98784846318799,1.5627162271480464,1.233017221074442e+24,1.233017221074442e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.970693352394568,1.5602763894652945,1.2346536668931158e+24,1.2346536668931158e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.953538241601144,1.5578365518504398,1.2355210047861181e+24,1.2355210047861181e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.93638313080772,1.5553967143187724,1.2356169291186958e+24,1.2356169291186958e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.919228020014296,1.5529568768888349,1.2349406698825068e+24,1.2349406698825068e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.902072909220871,1.5505170395833605,1.2334929871254885e+24,1.2334929871254885e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.884917798427448,1.5480772024298994,1.2312761612127016e+24,1.2312761612127016e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.867762687634023,1.5456373654621016,1.228293978899019e+24,1.228293978899019e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.8506075768406,1.543197528720858,1.224551715217731e+24,1.224551715217731e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.833452466047177,1.540757692255863,1.2200561112132547e+24,1.2200561112132547e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.816297355253752,1.53831785612751,1.2148153475690564e+24,1.2148153475690564e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.799142244460329,1.5358780204090983,1.208839014204216e+24,1.208839014204216e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.781987133666906,1.5334381851895489,1.2021380759330833e+24,1.2021380759330833e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.764832022873481,1.5309983505766211,1.1947248343036058e+24,1.1947248343036058e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.747676912080058,1.5285585167009004,1.1866128857482679e+24,1.1866128857482679e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.730521801286633,1.5261186837204384,1.1778170762007833e+24,1.1778170762007833e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.71336669049321,1.5236788518264535,1.1683534523486905e+24,1.1683534523486905e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.696211579699785,1.5212390212500222,1.1582392097071158e+24,1.1582392097071158e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.679056468906362,1.5187991922703492,1.1474926377154236e+24,1.1474926377154236e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.661901358112939,1.5163593652244125,1.1361330620692895e+24,1.1361330620692895e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.644746247319514,1.5139195405187635,1.1241807845153059e+24,1.1241807845153059e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.62759113652609,1.5114797186434228,1.11165702034329e+24,1.11165702034329e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.610436025732666,1.5090399001886734,1.098583833822832e+24,1.098583833822832e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.593280914939243,1.5066000858650126,1.0849840718362776e+24,1.0849840718362776e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.576125804145818,1.5041602765271413,1.07088129596778e+24,1.07088129596778e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.558970693352395,1.5017204732024043,1.0562997133118279e+24,1.0562997133118279e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.541815582558971,1.4992806771248628,1.0412641062685063e+24,1.0412641062685063e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.524660471765547,1.496840889775757,1.0257997615935407e+24,1.0257997615935407e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.507505360972123,1.4944011129318315,1.0099323989726274e+24,1.0099323989726274e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.490350250178698,1.4919613487228092,9.936880993866783e+23,9.936880993866783e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.473195139385275,1.4895215996995992,9.770932335334292e+23,9.770932335334292e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.45604002859185,1.4870818689155618,9.601743905662214e+23,9.601743905662214e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.438884917798427,1.4846421600227278,9.429583074051572e+23,9.429583074051572e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.421729807005004,1.482202477386314,9.254717988701516e+23,9.254717988701516e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.40457469621158,1.479762826220086,9.077416888768191e+23,9.077416888768191e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.387419585418156,1.4773232127469718,8.897947429276342e+23,8.897947429276342e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.370264474624733,1.474883644389187,8.716576021210945e+23,8.716576021210945e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.353109363831308,1.4724441299929512,8.533567188902203e+23,8.533567188902203e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.335954253037885,1.4700046800943003,8.349182946705927e+23,8.349182946705927e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.31879914224446,1.4675653072328512,8.163682196850734e+23,8.163682196850734e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.301644031451037,1.4651260263223431,7.977320150193256e+23,7.977320150193256e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.284488920657612,1.4626868550873138,7.790347771482663e+23,7.790347771482663e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.267333809864189,1.4602478145779656,7.603011250595124e+23,7.603011250595124e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.250178699070766,1.4578089297762336,7.415551501043813e+23,7.415551501043813e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.23302358827734,1.4553702303089662,7.22820368692772e+23,7.22820368692772e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.215868477483918,1.4529317512865247,7.041196779318846e+23,7.041196779318846e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.198713366690493,1.4504935342877352,6.854753142939479e+23,6.854753142939479e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.18155825589707,1.4480556285164194,6.669088153821521e+23,6.669088153821521e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.164403145103645,1.4456180921578152,6.484409848485961e+23,6.484409848485961e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.147248034310222,1.443180993968521,6.300918605025693e+23,6.300918605025693e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.130092923516798,1.4407444151386757,6.118806856323073e+23,6.118806856323073e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.112937812723374,1.4383084514710087,5.938258835483622e+23,5.938258835483622e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.09578270192995,1.435873215929165,5.7594503534253806e+23,5.7594503534253806e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.078627591136526,1.4334388416150563,5.5825486084183344e+23,5.5825486084183344e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.061472480343102,1.4310054852449066,5.407712027236795e+23,5.407712027236795e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.04431736954968,1.4285733312042657,5.2350901374552236e+23,5.2350901374552236e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.027162258756254,1.4261425962744831,5.064823470297049e+23,5.064823470297049e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.010007147962831,1.4237135351372059,4.897043493330343e+23,4.897043493330343e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.992852037169406,1.4212864467798196,4.731872572193715e+23,4.731872572193715e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.975696926375983,1.4188616819428685,4.5694239604416525e+23,4.5694239604416525e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.95854181558256,1.4164396517712226,4.4098018164990005e+23,4.4098018164990005e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.941386704789135,1.4140208378549841,4.253101246640357e+23,4.253101246640357e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.924231593995712,1.4116058038726513,4.099408372833225e+23,4.099408372833225e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.907076483202287,1.4091952090796438,3.9488004242209746e+23,3.9488004242209746e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.889921372408864,1.4067898239195784,3.801345850972026e+23,3.801345850972026e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.872766261615439,1.404390548074394,3.657104459175358e+23,3.657104459175358e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.855611150822016,1.4019984313127785,3.5161275654355874e+23,3.5161275654355874e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.838456040028593,1.3996146975441535,3.378458169797797e+23,3.378458169797797e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.821300929235168,1.397240772539962,3.244131145625893e+23,3.244131145625893e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.804145818441745,1.3948783158420153,3.1131734450614186e+23,3.1131734450614186e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.78699070764832,1.3925292574435062,2.9856043187060035e+23,2.9856043187060035e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.769835596854897,1.390195839898128,2.86143554820193e+23,2.86143554820193e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.752680486061472,1.3878806665882693,2.7406716904277855e+23,2.7406716904277855e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.735525375268049,1.38558675696379,2.6233103320872065e+23,2.6233103320872065e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.718370264474625,1.3833176096456328,2.5093423535434256e+23,2.5093423535434256e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.7012151536812,1.3810772743732969,2.398752200847523e+23,2.398752200847523e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.684060042887777,1.3788704338575326,2.2915181650206225e+23,2.2915181650206225e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.666904932094354,1.3767024966757777,2.187612667787338e+23,2.187612667787338e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.64974982130093,1.374579702412048,2.0870025531173112e+23,2.0870025531173112e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.632594710507504,1.372509240285684,1.989649384120702e+23,1.989649384120702e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.615439599714081,1.3704993825247413,1.8955097450596362e+23,1.8955097450596362e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.598284488920658,1.3685596337037556,1.8045355484929915e+23,1.8045355484929915e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.581129378127233,1.3667008971624208,1.7166743478597554e+23,1.7166743478597554e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.56397426733381,1.3649356594270075,1.6318696561386607e+23,1.6318696561386607e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.546819156540387,1.363278193236323,1.5500612715947144e+23,1.5500612715947144e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.529664045746962,1.3617447792890136,1.4711856120433602e+23,1.4711856120433602e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.512508934953539,1.360353946127963,1.3951760595217821e+23,1.3951760595217821e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.495353824160114,1.3591267266004923,1.321963317757153e+23,1.321963317757153e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.478198713366691,1.3580869280077323,1.2514757853434246e+23,1.2514757853434246e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.461043602573266,1.3572614113006571,1.1836399480673204e+23,1.1836399480673204e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.443888491779843,1.35668037240421,1.1183807943244143e+23,1.1183807943244143e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.42673338098642,1.3563776158621819,1.0556222579897844e+23,1.0556222579897844e+23,3.0,-3.0
triple-well,LSC-adjacent,-9.409578270192995,1.3563908074057975,9.952876933851507e+22,9.952876933851507e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.392423159399572,1.3567616876967332,9.373003870170376e+22,9.373003870170376e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.375268048606147,1.357536224357674,8.815841104217355e+22,8.815841104217355e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.358112937812724,1.3587646735398593,8.28063717577674e+22,8.28063717577674e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.340957827019299,1.3605015158644878,7.766657887351641e+22,7.766657887351641e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.323802716225876,1.362805224970601,7.273193199370839e+22,7.273193199370839e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.306647605432453,1.3657378207008817,6.799564537179103e+22,6.799564537179103e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.289492494639028,1.3693641540657524,6.345132412402887e+22,6.345132412402887e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.272337383845604,1.373750868813012,5.909304192944207e+22,5.909304192944207e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.255182273052181,1.378964986347049,5.49154177111437e+22,5.49154177111437e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.238027162258756,1.3850720688786715,5.091368780321816e+22,5.091368780321816e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.220872051465332,1.3921339322079265,4.708376902715448e+22,4.708376902715448e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.203716940671908,1.4002059064819792,4.3422307033665795e+22,4.3422307033665795e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.186561829878485,1.4093336820193971,3.992670336480225e+22,3.992670336480225e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.16940671908506,1.419549827922344,3.6595114168508763e+22,3.6595114168508763e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.152251608291637,1.4308701316548769,3.342641360587129e+22,3.342641360587129e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.135096497498214,1.4432899731186937,3.0420115992465365e+22,3.0420115992465365e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.11794138670479,1.4567810087824848,2.757625282533661e+22,2.757625282533661e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.100786275911366,1.4712884888407889,2.489520416154793e+22,2.489520416154793e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.083631165117941,1.486729550122256,2.2377488226850217e+22,2.2377488226850217e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.066476054324518,1.5029928070649394,2.002351827326493e+22,2.002351827326493e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.049320943531093,1.5199394939938566,1.7833340922160161e+22,1.7833340922160161e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.03216583273767,1.5374062931256571,1.5806374656838839e+22,1.5806374656838839e+22,3.0,-3.0
triple-well,LSC-adjacent,-9.015010721944247,1.5552098232704248,1.3941169828561599e+22,1.3941169828561599e+22,3.0,-3.0
triple-well,LSC-adjacent,-8.997855611150822,1.5731525837893034,1.2235211723230335e+22,1.2235211723230335e+22,3.0,-3.0
triple-well,LSC-adjacent,-8.980700500357399,1.5910299747451613,1.068478549301997e+22,1.068478549301997e+22,3.0,-3.0
triple-well,LSC-adjacent,-8.963545389563974,1.608637877674455,9.284916228630033e+21,9.284916228630033e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.94639027877055,1.6257802077510528,8.0293898623143e+21,8.0293898623143e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.929235167977126,1.6422758517888074,6.910852139734392e+21,6.910852139734392e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.912080057183703,1.6579644868052332,5.920974965176335e+21,5.920974965176335e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.89492494639028,1.6727109150145913,5.050673263513699e+21,5.050673263513699e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.877769835596855,1.6864077266653577,4.290351953307465e+21,4.290351953307465e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.860614724803431,1.6989762817121161,3.6301619607001235e+21,3.6301619607001235e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.843459614010008,1.7103661577214542,3.0602461370110187e+21,3.0602461370110187e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.826304503216583,1.7205533258813872,2.5709597765453344e+21,2.5709597765453344e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.809149392423159,1.7295373814250206,2.153055275723893e+21,2.153055275723893e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.791994281629735,1.7373381710598943,1.797825465988193e+21,1.797825465988193e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.774839170836312,1.7439921371627947,1.4972046100669087e+21,1.4972046100669087e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.757684060042887,1.7495486492092207,1.2438295519257756e+21,1.2438295519257756e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.740528949249464,1.7540665301476037,1.0310658910764194e+21,1.0310658910764194e+21,3.0,-3.0
triple-well,LSC-adjacent,-8.723373838456041,1.7576109202295167,8.530053541612961e+20,8.530053541612961e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.706218727662616,1.7602505610915151,7.044409354673567e+20,7.044409354673567e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.689063616869193,1.7620555332891348,5.808261080641093e+20,5.808261080641093e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.671908506075768,1.7630954428383576,4.782237074646675e+20,4.782237074646675e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.654753395282345,1.763438026396429,3.9324916744806695e+20,3.9324916744806695e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.63759828448892,1.763148129038141,3.230118023195183e+20,3.230118023195183e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.620443173695497,1.7622870010914202,2.6505689025440707e+20,2.6505689025440707e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.603288062902074,1.7609118590299258,2.173104827479417e+20,2.173104827479417e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.586132952108649,1.7590756580145743,1.780281751079521e+20,1.780281751079521e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.568977841315226,1.7568270287179497,1.4574852757555659e+20,1.4574852757555659e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.551822730521803,1.7542103373170976,1.1925141605811972e+20,1.1925141605811972e+20,3.0,-3.0
triple-well,LSC-adjacent,-8.534667619728378,1.7512658341314784,9.752129761044413e+19,9.752129761044413e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.517512508934953,1.7480298627394322,7.97151777312933e+19,7.97151777312933e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.50035739814153,1.744535107193663,6.513494353484647e+19,6.513494353484647e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.483202287348107,1.7408108600084011,5.320366025825128e+19,5.320366025825128e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.466047176554682,1.736883297858934,4.3445402610581635e+19,4.3445402610581635e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.448892065761259,1.7327757554445975,3.5468194452260303e+19,3.5468194452260303e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.431736954967835,1.7285089907861264,2.894965038442763e+19,2.894965038442763e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.41458184417441,1.7241014374442956,2.3624943684161065e+19,2.3624943684161065e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.397426733380987,1.7195694408530764,1.927676135660975e+19,1.927676135660975e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.380271622587562,1.714927477246036,1.5726945224848015e+19,1.5726945224848015e+19,3.0,-3.0
triple-well,LSC-adjacent,-8.36311651179414,1.7101883545998007,1.2829555518320214e+19,1.2829555518320214e+19,3.0,-3.0
