experiment,method,x,local_Langevin_drift,Levy_score_correction,total_LSC_drift,jump_shell_center_positive,jump_shell_center_negative
triple-well,LSC-adjacent,-0.7805575411007872,0.11095070514707066,0.4440194859095366,0.5549701910566073,3.0,-3.0
triple-well,LSC-adjacent,-0.7634024303073641,0.10852068941680364,0.42437056271807166,0.5328912521348753,3.0,-3.0
triple-well,LSC-adjacent,-0.7462473195139392,0.10608914501991051,0.4056676848317063,0.5117568298516169,3.0,-3.0
triple-well,LSC-adjacent,-0.729092208720516,0.10365630506084754,0.3878729630967626,0.49152926815761017,3.0,-3.0
triple-well,LSC-adjacent,-0.7119370979270911,0.1012223678744842,0.37095025659151043,0.4721726244659946,3.0,-3.0
triple-well,LSC-adjacent,-0.694781987133668,0.09878750208860305,0.3548650684230307,0.45365257051163377,3.0,-3.0
triple-well,LSC-adjacent,-0.6776268763402431,0.09635185096879041,0.3395844462140289,0.4359362971828193,3.0,-3.0
triple-well,LSC-adjacent,-0.66047176554682,0.09391553614438786,0.3250768872568997,0.41899242340128756,3.0,-3.0
triple-well,LSC-adjacent,-0.6433166547533968,0.09147866080107603,0.31131224827456044,0.40279090907563647,3.0,-3.0
triple-well,LSC-adjacent,-0.6261615439599719,0.08904131241425108,0.2982616596992819,0.387302972113533,3.0,-3.0
triple-well,LSC-adjacent,-0.6090064331665488,0.08660356508737885,0.2858974443596738,0.37250100944705267,3.0,-3.0
triple-well,LSC-adjacent,-0.5918513223731239,0.08416548155083235,0.2741930404509525,0.35835852200178486,3.0,-3.0
triple-well,LSC-adjacent,-0.5746962115797007,0.0817271148691729,0.26312292865327286,0.34485004352244575,3.0,-3.0
triple-well,LSC-adjacent,-0.5575411007862776,0.07928850989825782,0.25266256325619113,0.33195107315444894,3.0,-3.0
triple-well,LSC-adjacent,-0.5403859899928527,0.07684970452787405,0.2427883071436251,0.31963801167149913,3.0,-3.0
triple-well,LSC-adjacent,-0.5232308791994296,0.07441073074064555,0.23347737049207545,0.30788810123272103,3.0,-3.0
triple-well,LSC-adjacent,-0.5060757684060047,0.07197161551368292,0.22470775303505885,0.2966793685487418,3.0,-3.0
triple-well,LSC-adjacent,-0.4889206576125815,0.06953238158574665,0.21645818974815384,0.2859905713339005,3.0,-3.0
triple-well,LSC-adjacent,-0.4717655468191566,0.0670930481094792,0.20870809981137298,0.2758011479208522,3.0,-3.0
triple-well,LSC-adjacent,-0.4546104360257335,0.0646536312055095,0.20143753870863834,0.26609116991414783,3.0,-3.0
triple-well,LSC-adjacent,-0.43745532523231034,0.06221414443283055,0.19462715332754604,0.25684129776037656,3.0,-3.0
triple-well,LSC-adjacent,-0.42030021443888543,0.05977459918780607,0.18825813992634774,0.2480327391141538,3.0,-3.0
triple-well,LSC-adjacent,-0.4031451036454623,0.05733500504238048,0.18231220483891034,0.23964720988129082,3.0,-3.0
triple-well,LSC-adjacent,-0.3859899928520374,0.05489537003054027,0.1767715277922909,0.23166689782283117,3.0,-3.0
triple-well,LSC-adjacent,-0.36883488205861426,0.05245570089077167,0.17161872771540812,0.2240744286061798,3.0,-3.0
triple-well,LSC-adjacent,-0.3516797712651911,0.05001600327111904,0.16683683092099363,0.21685283419211268,3.0,-3.0
triple-well,LSC-adjacent,-0.3345246604717662,0.04757628190249402,0.16240924154660522,0.20998552344909924,3.0,-3.0
triple-well,LSC-adjacent,-0.3173695496783431,0.04513654074504817,0.15831971414388166,0.20345625488892982,3.0,-3.0
triple-well,LSC-adjacent,-0.30021443888491817,0.042696783111710136,0.15455232830842022,0.19724911142013035,3.0,-3.0
triple-well,LSC-adjacent,-0.28305932809149503,0.040257011772390355,0.1510914652456972,0.19134847701808755,3.0,-3.0
triple-well,LSC-adjacent,-0.2659042172980701,0.037817229041820874,0.1479217861712271,0.18573901521304798,3.0,-3.0
triple-well,LSC-adjacent,-0.248749106504647,0.03537743685357027,0.1450282124457985,0.18040564929936875,3.0,-3.0
triple-well,LSC-adjacent,-0.23159399571122385,0.032937636822379,0.14239590734900176,0.17533354417138075,3.0,-3.0
triple-well,LSC-adjacent,-0.21443888491779894,0.030497830296651127,0.14001025939652173,0.17050808969317285,3.0,-3.0
triple-well,LSC-adjacent,-0.1972837741243758,0.02805801840265522,0.13785686710869463,0.16591488551134986,3.0,-3.0
triple-well,LSC-adjacent,-0.1801286633309509,0.02561820208175377,0.13592152513973538,0.16153972722148915,3.0,-3.0
triple-well,LSC-adjacent,-0.16297355253752777,0.02317838212179129,0.13419021167877335,0.15736859380056464,3.0,-3.0
triple-well,LSC-adjacent,-0.14581844174410463,0.020738559183590008,0.1326490770354358,0.1533876362190258,3.0,-3.0
triple-well,LSC-adjacent,-0.12866333095067972,0.018298733823374984,0.13128443332422796,0.14958316714760295,3.0,-3.0
triple-well,LSC-adjacent,-0.11150822015725659,0.015858906511823003,0.13008274516330584,0.14594165167512885,3.0,-3.0
triple-well,LSC-adjacent,-0.09435310936383168,0.013419077650330916,0.12903062130456297,0.1424496989548939,3.0,-3.0
triple-well,LSC-adjacent,-0.07719799857040854,0.01097924758502578,0.12811480711313655,0.13909405469816233,3.0,-3.0
triple-well,LSC-adjacent,-0.06004288777698363,0.008539416618958169,0.12732217781560481,0.13586159443456297,3.0,-3.0
triple-well,LSC-adjacent,-0.0428877769835605,0.006099585022881755,0.12663973243723217,0.13273931746011391,3.0,-3.0
triple-well,LSC-adjacent,-0.025732666190137365,0.0036597530449641214,0.12605458834967462,0.12971434139463875,3.0,-3.0
triple-well,LSC-adjacent,-0.008577555396712455,0.001219920919755814,0.12555397635157162,0.12677389727132743,3.0,-3.0
triple-well,LSC-adjacent,0.008577555396710679,-0.0012199111232862137,0.1251252362054691,0.12390532508218287,3.0,-3.0
triple-well,LSC-adjacent,0.02573266619013559,-0.003659742851438025,0.12475581255547016,0.12109606970403214,3.0,-3.0
triple-well,LSC-adjacent,0.04288777698355872,-0.006099574020223788,0.12443325115102158,0.11833367713079779,3.0,-3.0
triple-well,LSC-adjacent,0.06004288777698186,-0.008539404364529211,0.12414519530318828,0.11560579093865907,3.0,-3.0
triple-well,LSC-adjacent,0.07719799857040677,-0.010979233589009253,0.12387938250077393,0.11290014891176468,3.0,-3.0
triple-well,LSC-adjacent,0.0943531093638299,-0.013419061357473044,0.12362364111460505,0.110204579757132,3.0,-3.0
triple-well,LSC-adjacent,0.11150822015725481,-0.015858887280897373,0.12336588711931323,0.10750699983841586,3.0,-3.0
triple-well,LSC-adjacent,0.12866333095067795,-0.018298710903669125,0.12309412076294525,0.10479540985927613,3.0,-3.0
triple-well,LSC-adjacent,0.14581844174410286,-0.020738531687617263,0.12279642311574561,0.10205789142812835,3.0,-3.0
triple-well,LSC-adjacent,0.162973552537526,-0.023178348993312153,0.12246095243050034,0.09928260343718819,3.0,-3.0
triple-well,LSC-adjacent,0.18012866333094912,-0.025618162058043605,0.12207594024784975,0.09645777818980614,3.0,-3.0
triple-well,LSC-adjacent,0.19728377412437403,-0.028057969969775765,0.12162968718104422,0.09357171721126846,3.0,-3.0
triple-well,LSC-adjacent,0.21443888491779717,-0.030497771636266637,0.12111055831565988,0.09061278667939324,3.0,-3.0
triple-well,LSC-adjacent,0.23159399571122208,-0.032937565748397464,0.12050697816083933,0.08756941241244187,3.0,-3.0
triple-well,LSC-adjacent,0.2487491065046452,-0.035377350736579896,0.11980742508969018,0.08443007435311028,3.0,-3.0
triple-well,LSC-adjacent,0.26590421729806835,-0.03781712471892215,0.11900042520749915,0.081183300488577,3.0,-3.0
triple-well,LSC-adjacent,0.28305932809149326,-0.04025688543958504,0.11807454558746372,0.07781766014787868,3.0,-3.0
triple-well,LSC-adjacent,0.3002144388849164,-0.042696630195488916,0.11701838681465643,0.07432175661916751,3.0,-3.0
triple-well,LSC-adjacent,0.3173695496783413,-0.04513635574920421,0.11582057477992772,0.0706842190307235,3.0,-3.0
triple-well,LSC-adjacent,0.33452466047176443,-0.04757605822546308,0.11446975166642417,0.06689369344096109,3.0,-3.0
triple-well,LSC-adjacent,0.35167977126518934,-0.050015732988291796,0.11295456607234597,0.06293883308405418,3.0,-3.0
triple-well,LSC-adjacent,0.3688348820586125,-0.05245537449521473,0.11126366221446668,0.05880828771925195,3.0,-3.0
triple-well,LSC-adjacent,0.3859899928520356,-0.05489497612437556,0.10938566815782844,0.05449069203345288,3.0,-3.0
triple-well,LSC-adjacent,0.4031451036454605,-0.05733452996967821,0.10730918301787769,0.04997465304819948,3.0,-3.0
triple-well,LSC-adjacent,0.42030021443888366,-0.059774026598206166,0.10502276308212469,0.04524873648391852,3.0,-3.0
triple-well,LSC-adjacent,0.43745532523230857,-0.06221345476318554,0.1025149067992276,0.04030145203604207,3.0,-3.0
triple-well,LSC-adjacent,0.4546104360257317,-0.06465280106458479,0.09977403858421661,0.03512123751963182,3.0,-3.0
triple-well,LSC-adjacent,0.47176554681915484,-0.06709204954810556,0.0967884913893852,0.029696441841279633,3.0,-3.0
triple-well,LSC-adjacent,0.48892065761257975,-0.06953118123172627,0.09354648799125528,0.02401530675952901,3.0,-3.0
triple-well,LSC-adjacent,0.5060757684060029,-0.07197017354713282,0.0900361209449619,0.018065947397829074,3.0,-3.0
triple-well,LSC-adjacent,0.5232308791994278,-0.0744089996812353,0.08624533115847001,0.011836331477234716,3.0,-3.0
triple-well,LSC-adjacent,0.5403859899928509,-0.07684762780047884,0.08216188504029204,0.0053142572398132,3.0,-3.0
triple-well,LSC-adjacent,0.5575411007862758,-0.07928602013779161,0.07777335017588205,-0.0015126699619095602,3.0,-3.0
triple-well,LSC-adjacent,0.574696211579699,-0.08172413191865482,0.0730670694897537,-0.00865706242890113,3.0,-3.0
triple-well,LSC-adjacent,0.5918513223731221,-0.08416191009892746,0.06803013385270724,-0.01613177624622021,3.0,-3.0
triple-well,LSC-adjacent,0.609006433166547,-0.08659929188256225,0.06264935309654336,-0.023949938786018893,3.0,-3.0
triple-well,LSC-adjacent,0.6261615439599701,-0.08903620298217935,0.05691122540242492,-0.032124977579754424,3.0,-3.0
triple-well,LSC-adjacent,0.6433166547533951,-0.09147255557947871,0.05080190503390644,-0.04067065054557227,3.0,-3.0
triple-well,LSC-adjacent,0.6604717655468182,-0.09390824593555896,0.04430716839186047,-0.049601077543698496,3.0,-3.0
triple-well,LSC-adjacent,0.6776268763402413,-0.0963431515932615,0.03741237837641427,-0.058930773216847226,3.0,-3.0
triple-well,LSC-adjacent,0.6947819871336662,-0.09877712810448036,0.030102447051070555,-0.0686746810534098,3.0,-3.0
triple-well,LSC-adjacent,0.7119370979270894,-0.10121000520484597,0.0223617966169056,-0.07884820858794037,3.0,-3.0
triple-well,LSC-adjacent,0.7290922087205143,-0.10364158234607987,0.014174318720780016,-0.08946726362529986,3.0,-3.0
triple-well,LSC-adjacent,0.7462473195139374,-0.1060716234824225,0.005523332141702253,-0.10054829134072024,3.0,-3.0
triple-well,LSC-adjacent,0.7634024303073623,-0.10849985099163735,-0.0036084610752271204,-0.11210831206686447,3.0,-3.0
triple-well,LSC-adjacent,0.7805575411007855,-0.11092593859288305,-0.013239020936265672,-0.12416495952914872,3.0,-3.0
triple-well,LSC-adjacent,0.7977126518942086,-0.11334950310298376,-0.023387016127571495,-0.13673651923055527,3.0,-3.0
triple-well,LSC-adjacent,0.8148677626876335,-0.11577009484893049,-0.034071871765714884,-0.14984196661464538,3.0,-3.0
triple-well,LSC-adjacent,0.8320228734810566,-0.11818718652752122,-0.04531381802073248,-0.1635010045482537,3.0,-3.0
triple-well,LSC-adjacent,0.8491779842744815,-0.12060016027247462,-0.057133939287899366,-0.177734099560374,3.0,-3.0
triple-well,LSC-adjacent,0.8663330950679047,-0.12300829265473852,-0.06955422349274439,-0.1925625161474829,3.0,-3.0
triple-well,LSC-adjacent,0.8834882058613278,-0.12541073730266372,-0.0825976110016063,-0.20800834830427,3.0,-3.0
triple-well,LSC-adjacent,0.9006433166547527,-0.1278065047847518,-0.09628804247236877,-0.22409454725712058,3.0,-3.0
triple-well,LSC-adjacent,0.9177984274481759,-0.13019443934843802,-0.11065050481218071,-0.24084494416061875,3.0,-3.0
triple-well,LSC-adjacent,0.9349535382416008,-0.13257319205341309,-0.1257110742043867,-0.25828426625779977,3.0,-3.0
triple-well,LSC-adjacent,0.9521086490350239,-0.13494118977698683,-0.1414969549183369,-0.2764381446953237,3.0,-3.0
triple-well,LSC-adjacent,0.9692637598284488,-0.13729659950175013,-0.15803651231457275,-0.2953331118163229,3.0,-3.0
triple-well,LSC-adjacent,0.986418870621872,-0.13963728722217839,-0.17535929809370912,-0.3149965853158875,3.0,-3.0
triple-well,LSC-adjacent,1.003573981415295,-0.1419607707270771,-0.193496065398484,-0.3354568361255611,3.0,-3.0
triple-well,LSC-adjacent,1.02072909220872,-0.14426416542935794,-0.2124787708509045,-0.35674293628026243,3.0,-3.0
triple-well,LSC-adjacent,1.0378842030021431,-0.1465441223246397,-0.2323405599745976,-0.37888468229923733,3.0,-3.0
triple-well,LSC-adjacent,1.055039313795568,-0.14879675706726855,-0.253115731698412,-0.40191248876568053,3.0,-3.0
triple-well,LSC-adjacent,1.0721944245889912,-0.15101756905921546,-0.27483967674089943,-0.42585724580011486,3.0,-3.0
triple-well,LSC-adjacent,1.0893495353824143,-0.15320134935788404,-0.2975487836151162,-0.45075013297300026,3.0,-3.0
triple-well,LSC-adjacent,1.1065046461758392,-0.15534207612872808,-0.32128030474535024,-0.4766223808740783,3.0,-3.0
triple-well,LSC-adjacent,1.1236597569692623,-0.1574327963056008,-0.34607217372878035,-0.5035049700343812,3.0,-3.0
triple-well,LSC-adjacent,1.1408148677626873,-0.15946549208661928,-0.3719627630822589,-0.5314282551688781,3.0,-3.0
triple-well,LSC-adjacent,1.1579699785561104,-0.16143093090043903,-0.39899056986774906,-0.5604215007681881,3.0,-3.0
triple-well,LSC-adjacent,1.1751250893495353,-0.16331849754630054,-0.427193814376323,-0.5905123119226235,3.0,-3.0
triple-well,LSC-adjacent,1.1922802001429584,-0.16511600736592855,-0.4566099345673655,-0.621725941933294,3.0,-3.0
triple-well,LSC-adjacent,1.2094353109363816,-0.16680949957853217,-0.48727495622378025,-0.6540844558023124,3.0,-3.0
triple-well,LSC-adjacent,1.2265904217298065,-0.16838301034249026,-0.5192227158384943,-0.6876057261809846,3.0,-3.0
triple-well,LSC-adjacent,1.2437455325232296,-0.16981832574981887,-0.5524839101775344,-0.7223022359273532,3.0,-3.0
triple-well,LSC-adjacent,1.2609006433166545,-0.1710947158746302,-0.5870849434119538,-0.758179659286584,3.0,-3.0
triple-well,LSC-adjacent,1.2780557541100777,-0.17218865225940388,-0.6230465398956039,-0.7952351921550078,3.0,-3.0
triple-well,LSC-adjacent,1.2952108649035008,-0.17307351292034034,-0.6603820884160044,-0.8334556013363448,3.0,-3.0
triple-well,LSC-adjacent,1.3123659756969257,-0.17371928118345342,-0.6990956825259369,-0.8728149637093903,3.0,-3.0
triple-well,LSC-adjacent,1.3295210864903488,-0.17409224753111027,-0.7391798220151405,-0.9132720695462508,3.0,-3.0
triple-well,LSC-adjacent,1.3466761972837737,-0.1741547272473754,-0.7806127435579008,-0.9547674708052762,3.0,-3.0
triple-well,LSC-adjacent,1.3638313080771969,-0.17386481108683755,-0.8233553551746968,-0.9972201662615343,3.0,-3.0
triple-well,LSC-adjacent,1.38098641887062,-0.1731761715046656,-0.8673477607459988,-1.0405239322506645,3.0,-3.0
triple-well,LSC-adjacent,1.398141529664045,-0.17203795315387693,-0.9125053790467432,-1.0845433322006202,3.0,-3.0
triple-well,LSC-adjacent,1.415296640457468,-0.17039478324191926,-0.958714688473838,-1.1291094717157573,3.0,-3.0
triple-well,LSC-adjacent,1.432451751250893,-0.16818694463084122,-1.0058286657306903,-1.1740156103615316,3.0,-3.0
triple-well,LSC-adjacent,1.449606862044316,-0.16535076170604082,-1.0536620359494415,-1.2190127976554823,3.0,-3.0
triple-well,LSC-adjacent,1.466761972837741,-0.1618192551468781,-1.1019865142269094,-1.2638057693737874,3.0,-3.0
triple-well,LSC-adjacent,1.4839170836311641,-0.15752312553236056,-1.1505262942917538,-1.3080494198241144,3.0,-3.0
triple-well,LSC-adjacent,1.5010721944245873,-0.15239212549301412,-1.1989541269905826,-1.3513462524835966,3.0,-3.0
triple-well,LSC-adjacent,1.5182273052180122,-0.14635687374597922,-1.2468884244981833,-1.3932452982441625,3.0,-3.0
triple-well,LSC-adjacent,1.5353824160114353,-0.13935114940996718,-1.2938919166598633,-1.4332430660698305,3.0,-3.0
triple-well,LSC-adjacent,1.5525375268048602,-0.13131467908765113,-1.339472459884372,-1.470787138972023,3.0,-3.0
triple-well,LSC-adjacent,1.5696926375982834,-0.1221963904416024,-1.3830866376889492,-1.5052830281305516,3.0,-3.0
triple-well,LSC-adjacent,1.5868477483917065,-0.11195805374125366,-1.4241467723269905,-1.5361048260682442,3.0,-3.0
triple-well,LSC-adjacent,1.6040028591851314,-0.10057816863813274,-1.4620318642386092,-1.562610032876742,3.0,-3.0
triple-well,LSC-adjacent,1.6211579699785545,-0.08805588181194722,-1.4961027687301443,-1.5841586505420915,3.0,-3.0
triple-well,LSC-adjacent,1.6383130807719795,-0.07441465039639604,-1.5257215954897025,-1.6001362458860986,3.0,-3.0
triple-well,LSC-adjacent,1.6554681915654026,-0.059705308179412525,-1.5502748822844004,-1.609980190463813,3.0,-3.0
triple-well,LSC-adjacent,1.6726233023588275,-0.044008160964153886,-1.5691995806266394,-1.6132077415907933,3.0,-3.0
triple-well,LSC-adjacent,1.6897784131522506,-0.02743374876245957,-1.5820103584125766,-1.6094441071750363,3.0,-3.0
triple-well,LSC-adjacent,1.7069335239456738,-0.010121976714649055,-1.5883262584022209,-1.5984482351168698,3.0,-3.0
triple-well,LSC-adjacent,1.7240886347390987,0.007760562864178091,-1.5878944513719404,-1.5801338885077623,3.0,-3.0
triple-well,LSC-adjacent,1.7412437455325218,0.026025085880580577,-1.580608780789515,-1.5545836949089344,3.0,-3.0
triple-well,LSC-adjacent,1.7583988563259467,0.044466740352877884,-1.5665210705987087,-1.522054330245831,3.0,-3.0
triple-well,LSC-adjacent,1.7755539671193699,0.06287197392518656,-1.5458437615000291,-1.4829717875748425,3.0,-3.0
triple-well,LSC-adjacent,1.792709077912793,0.08102660016606754,-1.5189432886892502,-1.4379166885231827,3.0,-3.0
triple-well,LSC-adjacent,1.809864188706218,0.09872392531868418,-1.4863245893480297,-1.3876006640293455,3.0,-3.0
triple-well,LSC-adjacent,1.827019299499641,0.11577228885052168,-1.4486080702587494,-1.3328357814082277,3.0,-3.0
triple-well,LSC-adjacent,1.844174410293066,0.13200144970084252,-1.4065011166258474,-1.2744996669250048,3.0,-3.0
triple-well,LSC-adjacent,1.861329521086489,0.147267399754583,-1.3607666654516508,-1.2134992656970678,3.0,-3.0
triple-well,LSC-adjacent,1.878484631879914,0.16145537791008457,-1.3121914505852064,-1.1507360726751217,3.0,-3.0
triple-well,LSC-adjacent,1.8956397426733371,0.17448105786632132,-1.2615562749714535,-1.087075217105132,3.0,-3.0
triple-well,LSC-adjacent,1.9127948534667603,0.18629005901497558,-1.209610161203915,-1.0233201021889393,3.0,-3.0
triple-well,LSC-adjacent,1.9299499642601852,0.19685606038485653,-1.1570495891988741,-0.9601935288140175,3.0,-3.0
triple-well,LSC-adjacent,1.9471050750536083,0.20617787239339347,-1.1045033669908682,-0.8983254945974747,3.0,-3.0
triple-well,LSC-adjacent,1.9642601858470332,0.21427584169389705,-1.0525230928066265,-0.8382472511127295,3.0,-3.0
triple-well,LSC-adjacent,1.9814152966404563,0.22118794058487215,-1.0015787141552681,-0.780390773570396,3.0,-3.0
triple-well,LSC-adjacent,1.9985704074338795,0.2269658384992846,-0.9520583961860519,-0.7250925576867673,3.0,-3.0
triple-well,LSC-adjacent,2.0157255182273044,0.23167118374938742,-0.9042717701056696,-0.6726005863562822,3.0,-3.0
triple-well,LSC-adjacent,2.0328806290207275,0.23537225150500135,-0.8584556163295666,-0.6230833648245653,3.0,-3.0
triple-well,LSC-adjacent,2.0500357398141524,0.23814104792037585,-0.8147811106984608,-0.576640062778085,3.0,-3.0
triple-well,LSC-adjacent,2.0671908506075756,0.24005090563227502,-0.7733618897540913,-0.5333109841218162,3.0,-3.0
triple-well,LSC-adjacent,2.0843459614010005,0.24117456455242334,-0.7342623422651465,-0.49308777771272316,3.0,-3.0
triple-well,LSC-adjacent,2.1015010721944236,0.24158270366701032,-0.6975056862330065,-0.45592298256599617,3.0,-3.0
triple-well,LSC-adjacent,2.1186561829878467,0.24134287272301333,-0.663081528794901,-0.42173865607188765,3.0,-3.0
triple-well,LSC-adjacent,2.1358112937812717,0.24051876487533566,-0.6309527229671852,-0.39043395809184955,3.0,-3.0
triple-well,LSC-adjacent,2.152966404574695,0.2391697701502834,-0.601061427401102,-0.3618916572508186,3.0,-3.0
triple-well,LSC-adjacent,2.1701215153681197,0.2373507527527438,-0.5733343440751761,-0.33598359132243233,3.0,-3.0
triple-well,LSC-adjacent,2.187276626161543,0.2351120010112806,-0.5476871569101193,-0.31257515589883866,3.0,-3.0
triple-well,LSC-adjacent,2.204431736954966,0.2324993057616767,-0.5240282253174521,-0.29152891955577537,3.0,-3.0
triple-well,LSC-adjacent,2.221586847748391,0.22955413026572552,-0.5022616044598939,-0.27270747419416835,3.0,-3.0
triple-well,LSC-adjacent,2.238741958541814,0.22631384173654404,-0.482289471974404,-0.25597563023785996,3.0,-3.0
triple-well,LSC-adjacent,2.255897069335239,0.2228119808425584,-0.46401404202857466,-0.24120206118601625,3.0,-3.0
triple-well,LSC-adjacent,2.273052180128662,0.2190785510247749,-0.44733904420201737,-0.22826049317724248,3.0,-3.0
triple-well,LSC-adjacent,2.290207290922087,0.21514031404672537,-0.43217083860116173,-0.21703052455443636,3.0,-3.0
triple-well,LSC-adjacent,2.30736240171551,0.2110210819424199,-0.41841923113687424,-0.20739814919445435,3.0,-3.0
triple-well,LSC-adjacent,2.3245175125089332,0.20674199851664646,-0.405998044929102,-0.19925604641245556,3.0,-3.0
triple-well,LSC-adjacent,2.341672623302358,0.202321805885397,-0.3948254959518789,-0.19250369006648188,3.0,-3.0
triple-well,LSC-adjacent,2.3588277340957813,0.19777709332709315,-0.38482441366360526,-0.1870473203365121,3.0,-3.0
triple-well,LSC-adjacent,2.375982844889206,0.19312252704741265,-0.37592234068442393,-0.18279981363701128,3.0,-3.0
triple-well,LSC-adjacent,2.3931379556826293,0.18837106043129465,-0.36805153967193605,-0.1796804792406414,3.0,-3.0
triple-well,LSC-adjacent,2.4102930664760525,0.1835341250422293,-0.36114893042073787,-0.17761480537850857,3.0,-3.0
triple-well,LSC-adjacent,2.4274481772694774,0.17862180309588235,-0.3551559758353757,-0.17653417273949337,3.0,-3.0
triple-well,LSC-adjacent,2.4446032880629005,0.17364298243525186,-0.3500185317387355,-0.17637554930348362,3.0,-3.0
triple-well,LSC-adjacent,2.4617583988563254,0.16860549521038096,-0.34568667240461753,-0.17708117719423658,3.0,-3.0
triple-well,LSC-adjacent,2.4789135096497485,0.1635162415506354,-0.3421145011663953,-0.1785982596157599,3.0,-3.0
triple-well,LSC-adjacent,2.4960686204431735,0.15838129953767832,-0.3392599533778069,-0.18087865384012858,3.0,-3.0
triple-well,LSC-adjacent,2.5132237312365966,0.15320602276257023,-0.3370845973167956,-0.18387857455422535,3.0,-3.0
triple-well,LSC-adjacent,2.5303788420300197,0.14799512669584247,-0.3355534372659196,-0.1875583105700771,3.0,-3.0
triple-well,LSC-adjacent,2.5475339528234446,0.14275276502625953,-0.3346347219178171,-0.1918819568915576,3.0,-3.0
triple-well,LSC-adjacent,2.5646890636168678,0.13748259704039675,-0.3342997603936501,-0.19681716335325336,3.0,-3.0
triple-well,LSC-adjacent,2.5818441744102927,0.13218784702706401,-0.3345227474858202,-0.2023349004587562,3.0,-3.0
triple-well,LSC-adjacent,2.598999285203716,0.1268713566021223,-0.3352805992092273,-0.20840924260710503,3.0,-3.0
triple-well,LSC-adjacent,2.616154395997139,0.12153563076310304,-0.33655279933942517,-0.21501716857632214,3.0,-3.0
triple-well,LSC-adjacent,2.633309506790564,0.11618287840115826,-0.33832125730763146,-0.2221383789064732,3.0,-3.0
triple-well,LSC-adjacent,2.650464617583987,0.11081504792123749,-0.3405701775922752,-0.22975512967103773,3.0,-3.0
triple-well,LSC-adjacent,2.667619728377412,0.10543385855062921,-0.3432859405787557,-0.23785208202812652,3.0,-3.0
triple-well,LSC-adjacent,2.684774839170835,0.1000408278513345,-0.3464569947405331,-0.2464161668891986,3.0,-3.0
triple-well,LSC-adjacent,2.70192994996426,0.09463729589303163,-0.35007375991516804,-0.2554364640221364,3.0,-3.0
triple-well,LSC-adjacent,2.719085060757683,0.0892244464905448,-0.35412854140009875,-0.26490409490955397,3.0,-3.0
triple-well,LSC-adjacent,2.736240171551106,0.08380332586228878,-0.3586154545682251,-0.2748121287059363,3.0,-3.0
triple-well,LSC-adjacent,2.753395282344531,0.0783748590238755,-0.3635303596973301,-0.28515550067345463,3.0,-3.0
triple-well,LSC-adjacent,2.7705503931379543,0.07293986419341082,-0.3688708067159487,-0.2959309425225379,3.0,-3.0
triple-well,LSC-adjacent,2.787705503931379,0.06749906545163102,-0.37463598958817285,-0.3071369241365418,3.0,-3.0
triple-well,LSC-adjacent,2.8048606147248023,0.062053103870520716,-0.38082671008848135,-0.31877360621796064,3.0,-3.0
triple-well,LSC-adjacent,2.8220157255182254,0.056602547297956274,-0.3874453507531984,-0.33084280345524214,3.0,-3.0
triple-well,LSC-adjacent,2.8391708363116503,0.05114789896297535,-0.3944958568359664,-0.34334795787299105,3.0,-3.0
triple-well,LSC-adjacent,2.8563259471050735,0.04568960504603586,-0.4019837271397912,-0.3562941220937553,3.0,-3.0
triple-well,LSC-adjacent,2.8734810578984984,0.040228061340856,-0.4099160136469218,-0.3696879523060658,3.0,-3.0
triple-well,LSC-adjacent,2.8906361686919215,0.03476361911883829,-0.418301329919542,-0.3835377108007037,3.0,-3.0
triple-well,LSC-adjacent,2.9077912794853464,0.029296590293354564,-0.42714986829885626,-0.3978532780055017,3.0,-3.0
triple-well,LSC-adjacent,2.9249463902787696,0.023827251969193945,-0.43647342598731664,-0.4126461740181227,3.0,-3.0
triple-well,LSC-adjacent,2.9421015010721927,0.01835585045191302,-0.4462854401587381,-0.4279295897068251,3.0,-3.0
triple-well,LSC-adjacent,2.9592566118656176,0.012882604782635882,-0.45660103230382554,-0.4437184275211897,3.0,-3.0
triple-well,LSC-adjacent,2.9764117226590407,0.007407709855752148,-0.4674370620846784,-0.46002935222892627,3.0,-3.0
triple-well,LSC-adjacent,2.9935668334524657,0.0019313391698857734,-0.47881219104137085,-0.4768808518714851,3.0,-3.0
triple-well,LSC-adjacent,3.010721944245889,-0.003546352743668861,-0.4907469565672126,-0.4942933093108815,3.0,-3.0
triple-well,LSC-adjacent,3.027877055039312,-0.009025228176303662,-0.5032638566474826,-0.5122890848237863,3.0,-3.0
triple-well,LSC-adjacent,3.045032165832737,-0.014505164347225857,-0.5163874459396656,-0.5308926102868914,3.0,-3.0
triple-well,LSC-adjacent,3.06218727662616,-0.019986051728518903,-0.5301444438625207,-0.5501304955910395,3.0,-3.0
triple-well,LSC-adjacent,3.079342387419585,-0.02546779256393846,-0.5445638554573371,-0.5700316480212756,3.0,-3.0
triple-well,LSC-adjacent,3.096497498213008,-0.03095029955841785,-0.5596771058883594,-0.5906274054467773,3.0,-3.0
triple-well,LSC-adjacent,3.113652609006433,-0.03643349471808551,-0.5755181895618632,-0.6119516842799487,3.0,-3.0
triple-well,LSC-adjacent,3.130807719799856,-0.041917308323010986,-0.5921238349655387,-0.6340411432885497,3.0,-3.0
triple-well,LSC-adjacent,3.147962830593279,-0.04740167801707918,-0.6095336864633306,-0.6569353644804098,3.0,-3.0
