experiment,method,seed,time,bandwidth_factor,KDE_bandwidth,KDE_integral,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup
triple-well,Langevin,0,4.1895,0.75,0.06899411089275627,1.0,1.4744452120702096,0.4557746756487625,2.9272444951207275,0.7371837001351069,0.7378906589618424,0.01216252520134442
triple-well,Kinetic-Langevin,0,4.1895,0.75,0.06899411089275627,1.0,1.0680555922118846,0.23461588132335776,1.543813406867169,0.5335503742199793,0.5338381686318943,0.009202346383093363
triple-well,LSC-adjacent,0,4.1895,0.75,0.06899411089275627,1.0,0.12714728763665906,0.003790894269920857,0.023131528927713682,0.057214789632419105,0.05679145011648312,0.0047329203938076825
triple-well,LSC-overlong,0,4.1895,0.75,0.06899411089275627,1.0,0.10501672245145358,0.0021030823370368976,0.01572836691193459,0.016477023433317584,0.020599452849260125,0.006476951294284605
triple-well,CP-overlong,0,4.1895,0.75,0.06899411089275627,1.0,1.276512120640111,0.1147988205091517,0.4503848714114077,0.3750553368661828,0.3757031161262872,0.004447187392639829
triple-well,Langevin,1,4.1895,0.75,0.06899411089275627,1.0,1.4749487274632846,0.43618104972030736,2.896471875335384,0.7374103615590063,0.7377092090358405,0.01372534870725256
triple-well,Kinetic-Langevin,1,4.1895,0.75,0.06899411089275627,1.0,1.076553486668071,0.24668290433754306,1.561922049504817,0.5382383749215482,0.5387239922951756,0.011387915235605534
triple-well,LSC-adjacent,1,4.1895,0.75,0.06899411089275627,1.0,0.11315769601822726,0.0027642504719234432,0.02375370050059325,0.04552274755319363,0.04413033485816059,0.004885214132052562
triple-well,LSC-overlong,1,4.1895,0.75,0.06899411089275627,0.9999999999999999,0.08789431689305513,0.0013926243098797864,0.011157330909538694,0.0156451942525751,0.015206448292350239,0.005433711661600893
triple-well,CP-overlong,1,4.1895,0.75,0.06899411089275627,1.0,1.2621511571085158,0.11235329624316859,0.4430978028752887,0.363220579382927,0.36408373628079943,0.003870902424119693
triple-well,Langevin,2,4.1895,0.75,0.06899411089275627,1.0,1.4754506721920269,0.44698019325952987,2.91772264286063,0.7376561858639582,0.7378031286104572,0.011452489449531922
triple-well,Kinetic-Langevin,2,4.1895,0.75,0.06899411089275627,0.9999999999999999,1.0991044076416447,0.2560695143755183,1.6210351270452492,0.5491341070139211,0.5493758757025072,0.009625564357369665
triple-well,LSC-adjacent,2,4.1895,0.75,0.06899411089275627,0.9999999999999999,0.09798185983848606,0.0018644488275781925,0.014432963264399365,0.023625501523078185,0.023572370962155698,0.005220714303153004
triple-well,LSC-overlong,2,4.1895,0.75,0.06899411089275627,1.0,0.07855491466375934,0.0011690903793260892,0.009510797119927009,0.009858368786752392,0.011541105445384336,0.005139682426084979
triple-well,CP-overlong,2,4.1895,0.75,0.06899411089275627,1.0,1.2757412112950908,0.11388277626479618,0.4467393895580671,0.37768782286907754,0.3803189342386806,0.0038845701356908235
triple-well,Langevin,3,4.1895,0.75,0.06899411089275627,0.9999999999999998,1.473323309911367,0.45439420612647774,2.9346610772094825,0.7366068331601483,0.7367506833443263,0.013521189927261146
triple-well,Kinetic-Langevin,3,4.1895,0.75,0.06899411089275627,1.0000000000000002,1.1021008960271348,0.2550446003109425,1.6592585984263095,0.5509749115048894,0.5514592090358406,0.01126424227063666
triple-well,LSC-adjacent,3,4.1895,0.75,0.06899411089275627,1.0,0.11030038201508209,0.003053928181875368,0.019998764258577724,0.02889100440894865,0.028707713668413848,0.005114176613347121
triple-well,LSC-overlong,3,4.1895,0.75,0.06899411089275627,1.0,0.07022401797455285,0.0009551313858079775,0.007428704811490198,0.016306568969571944,0.018220026493243557,0.005174734007758364
triple-well,CP-overlong,3,4.1895,0.75,0.06899411089275627,1.0,1.2350539756012675,0.10958312590303088,0.43108887412386215,0.34928014977869337,0.35033441942206556,0.004592428064122189
triple-well,Langevin,0,4.1895,1.0,0.09199214785700836,0.9999999999999999,1.4739700328125998,0.4518198963292971,2.911834300187757,0.7369633250708711,0.7378906589618424,0.013131340667408842
triple-well,Kinetic-Langevin,0,4.1895,1.0,0.09199214785700836,1.0,1.0677930922529333,0.23261271659920646,1.5344252571649295,0.5334888978780337,0.5338381686318943,0.010968319365996182
triple-well,LSC-adjacent,0,4.1895,1.0,0.09199214785700836,1.0,0.12217787564356797,0.003491153405688785,0.020557190232529936,0.0567095188414759,0.05679145011648312,0.005422857251631497
triple-well,LSC-overlong,0,4.1895,1.0,0.09199214785700836,1.0000000000000002,0.09371729331627661,0.0016479455446007506,0.011879404137103845,0.016190324717004878,0.020599452849260125,0.007446688395118306
triple-well,CP-overlong,0,4.1895,1.0,0.09199214785700836,1.0,1.2744922363220088,0.11420947329129949,0.44864297255938335,0.3747212088796222,0.3757031161262872,0.005131397457066589
triple-well,Langevin,1,4.1895,1.0,0.09199214785700836,1.0000000000000002,1.4746127289799564,0.4328214284749419,2.880724773931763,0.7372662649113693,0.7377092090358405,0.015366453005703218
triple-well,Kinetic-Langevin,1,4.1895,1.0,0.09199214785700836,1.0000000000000002,1.0760035259663483,0.2445612357445438,1.5531992298961836,0.5379995308674163,0.5387239922951756,0.01287313212072469
triple-well,LSC-adjacent,1,4.1895,1.0,0.09199214785700836,0.9999999999999998,0.10339079182303117,0.0022573190819261775,0.01934926193254182,0.04543444352657672,0.04413033485816059,0.005463598733939312
triple-well,LSC-overlong,1,4.1895,1.0,0.09199214785700836,0.9999999999999999,0.0825738433838494,0.001221002244482561,0.009497554692626881,0.01562070853830172,0.015206448292350239,0.005913397026449774
triple-well,CP-overlong,1,4.1895,1.0,0.09199214785700836,1.0,1.260089326894788,0.11174648861569494,0.44067050432476984,0.3629542209916562,0.36408373628079943,0.004665644030396265
triple-well,Langevin,2,4.1895,1.0,0.09199214785700836,1.0,1.4751621666672279,0.44346046097702185,2.9060470439230035,0.7375382857787398,0.7378031286104572,0.013319535954586348
triple-well,Kinetic-Langevin,2,4.1895,1.0,0.09199214785700836,0.9999999999999998,1.098886325301546,0.25397860568698594,1.6135861059049719,0.5491740218197988,0.5493758757025072,0.010929956896412824
triple-well,LSC-adjacent,2,4.1895,1.0,0.09199214785700836,0.9999999999999999,0.08783565952182998,0.0014640317893259388,0.010876109161814628,0.023931230308354867,0.023572370962155698,0.005774375791965533
triple-well,LSC-overlong,2,4.1895,1.0,0.09199214785700836,0.9999999999999998,0.06373589331470376,0.0007857676386361016,0.006353493723685476,0.009529992950061072,0.011541105445384336,0.005588214695265825
triple-well,CP-overlong,2,4.1895,1.0,0.09199214785700836,1.0,1.2745349308400429,0.11344357238332828,0.445397729887522,0.37718436958157947,0.3803189342386806,0.004960600110768203
