method,theta_ref,max_abs_error,mean_abs_error,target_weighted_abs_error,relative_l2_error,target_weighted_relative_l2,quad_score_clip,cf_score_clip
LSC-adjacent,96,3.133768759664181e+18,1.5891987789381688e+16,2.078851756401301e-15,3.4136143001228503e-07,1.1056689336293497e-07,0.0,0.0
LSC-overlong,96,1.0728736516140095e+38,4.681224408239243e+35,9.341784266276902e-15,1.1929205511819681e-09,2.78132308022633e-10,0.0,0.0
