method,metric,r_obs,r_obs_se,n_fit,t_min,t_max
Langevin,mode_TV,0.006867277561889025,0.00010054166227529755,171,1.0584,3.5574
Langevin,middle_error,0.012681112003085384,0.00018658468451916152,171,1.0584,3.5574
Langevin,W1,0.0023166906019102445,4.2793907106527284e-05,171,1.0584,3.5574
Langevin,CDF_sup,0.01105599236372434,6.32667901991118e-05,171,1.0584,3.5574
Kinetic-Langevin,mode_TV,0.089566449079308,0.00016644550217189037,171,1.0584,3.5574
Kinetic-Langevin,middle_error,0.14280445952392065,0.0003297033956856148,171,1.0584,3.5574
Kinetic-Langevin,W1,0.0714671884616533,0.0003598403916180269,171,1.0584,3.5574
Kinetic-Langevin,CDF_sup,0.08928798497375133,0.00016037620760644462,171,1.0584,3.5574
LSC-adjacent,mode_TV,0.6546565846319559,0.0027307022374812168,171,1.0584,3.5574
LSC-adjacent,middle_error,-0.024975922182416472,0.03381738004790006,171,1.0584,3.5574
LSC-adjacent,W1,0.6970946670680843,0.0017242302085674621,171,1.0584,3.5574
LSC-adjacent,CDF_sup,0.6943055424371924,0.0022498599579590965,171,1.0584,3.5574
LSC-overlong,mode_TV,0.2209753268727276,0.03236748227521666,171,1.0584,3.5574
LSC-overlong,middle_error,0.5172647382991081,0.04142239757366931,171,1.0584,3.5574
LSC-overlong,W1,0.3651144330458513,0.03743760311383545,171,1.0584,3.5574
LSC-overlong,CDF_sup,0.8114890510784487,0.045233569107234785,171,1.0584,3.5574
CP-overlong,mode_TV,0.1340653529203855,0.002651002557033787,171,1.0584,3.5574
CP-overlong,middle_error,0.10454562021118315,0.0008289841724977421,171,1.0584,3.5574
CP-overlong,W1,-0.047384023108513626,0.0012873317294022845,171,1.0584,3.5574
CP-overlong,CDF_sup,0.045363484680794514,0.0048062125001904705,171,1.0584,3.5574
