method,seed,time,mode_TV,middle_error,CDF_sup,L1_pdf,W1,m0,m1,m2
Langevin,0,0.0,0.7525184498734276,0.40992834118157717,0.8091975005692015,1.7212156814843211,3.31800962779099,1.0,0.0,0.0
Langevin,0,0.0147,0.7525184498734276,0.40992834118157717,0.8062808339025348,1.7114510158719347,3.3150731188632947,1.0,0.0,0.0
Langevin,0,0.0294,0.7525184498734276,0.40992834118157717,0.8020832281235719,1.697520530073011,3.3143889164031384,1.0,0.0,0.0
Langevin,0,0.0441,0.7525184498734276,0.40992834118157717,0.8027093640794173,1.6887462916885136,3.313580206459538,1.0,0.0,0.0
Langevin,0,0.0588,0.7525184498734276,0.40992834118157717,0.8013098173927901,1.680162820161987,3.3094095928989935,1.0,0.0,0.0
Langevin,0,0.0735,0.7525184498734276,0.40992834118157717,0.7988098173927901,1.6708586085121022,3.3084846675024155,1.0,0.0,0.0
Langevin,0,0.0882,0.7525184498734276,0.40992834118157717,0.7958636314447713,1.6645913182230725,3.3071686732314283,1.0,0.0,0.0
Langevin,0,0.1029,0.7525184498734276,0.40992834118157717,0.7954165614569052,1.6592276008795548,3.307532252226223,1.0,0.0,0.0
Langevin,0,0.1176,0.7525184498734276,0.40992834118157717,0.7946136314447714,1.6564508447588417,3.3051233012423022,1.0,0.0,0.0
Langevin,0,0.1323,0.7525184498734276,0.40992834118157717,0.7906656573830321,1.643168720280583,3.3025525656723835,1.0,0.0,0.0
Langevin,0,0.147,0.7525184498734276,0.40992834118157717,0.7899466056333673,1.6366534364866219,3.302505113092982,1.0,0.0,0.0
Langevin,0,0.1617,0.7525184498734276,0.40992834118157717,0.7895299389667005,1.6384567404246515,3.301745341467814,1.0,0.0,0.0
Langevin,0,0.1764,0.7525184498734276,0.40992834118157717,0.7883591205586039,1.633119846119568,3.2996078534930855,1.0,0.0,0.0
Langevin,0,0.1911,0.7525184498734276,0.40992834118157717,0.7886966056333672,1.6292282667557514,3.298555441710577,1.0,0.0,0.0
Langevin,0,0.2058,0.7525184498734276,0.40992834118157717,0.7877489907163655,1.627119859591185,3.297651352846463,1.0,0.0,0.0
Langevin,0,0.2205,0.7525184498734276,0.40992834118157717,0.7857799389667005,1.6222391817670478,3.2967361258304546,1.0,0.0,0.0
Langevin,0,0.2352,0.7525184498734276,0.40992834118157717,0.78605801906559,1.6212214361024047,3.296648872862285,1.0,0.0,0.0
Langevin,0,0.2499,0.7525184498734276,0.40992834118157717,0.7848728694899917,1.6179426234001815,3.2963334878536763,1.0,0.0,0.0
Langevin,0,0.2646,0.7525184498734276,0.40992834118157717,0.7833591205586039,1.6096133003223525,3.2962411438966375,1.0,0.0,0.0
Langevin,0,0.2793,0.7525184498734276,0.40992834118157717,0.7812757872252706,1.6072627447799985,3.296099150757998,1.0,0.0,0.0
Langevin,0,0.294,0.7525184498734276,0.40992834118157717,0.7806820990636747,1.6037810066307325,3.2948009678926855,1.0,0.0,0.0
Langevin,0,0.3087,0.7525184498734276,0.40992834118157717,0.7789150493533386,1.6010729185585935,3.293469028432852,1.0,0.0,0.0
Langevin,0,0.3234,0.7525184498734276,0.40992834118157717,0.7780817160200052,1.6011498662669807,3.2914723966434924,1.0,0.0,0.0
Langevin,0,0.3381,0.7525184498734276,0.40992834118157717,0.7772483826866718,1.5995377913016413,3.291135850625238,1.0,0.0,0.0
Langevin,0,0.3528,0.7525184498734276,0.40992834118157717,0.7752654323970081,1.5931102493748177,3.2907625637365587,1.0,0.0,0.0
Langevin,0,0.3675,0.7525184498734276,0.40992834118157717,0.7764150493533386,1.5898743827350437,3.290480709457453,1.0,0.0,0.0
Langevin,0,0.3822,0.7525184498734276,0.40992834118157717,0.7758065839712078,1.5918484621097784,3.289806331740044,1.0,0.0,0.0
Langevin,0,0.3969,0.7525184498734276,0.40992834118157717,0.7742134681480691,1.5835042238261332,3.290666916806755,1.0,0.0,0.0
Langevin,0,0.4116,0.7525184498734276,0.40992834118157717,0.7741399173045411,1.5826442141953956,3.289034916350568,1.0,0.0,0.0
Langevin,0,0.4263,0.7525184498734276,0.40992834118157717,0.7739878951603764,1.5778786828914382,3.287870711318751,1.0,0.0,0.0
Langevin,0,0.441,0.7525184498734276,0.40992834118157717,0.7731187652695883,1.5757784146807636,3.28711471369275,1.0,0.0,0.0
Langevin,0,0.4557,0.7525184498734276,0.40992834118157717,0.7737232506378744,1.5756984996814571,3.2875640114798954,1.0,0.0,0.0
Langevin,0,0.4704,0.7525184498734276,0.40992834118157717,0.773154561827043,1.5752148699071742,3.287505387538221,1.0,0.0,0.0
Langevin,0,0.4851,0.7525184498734276,0.40992834118157717,0.7710004977534926,1.574090237703243,3.288082480505941,1.0,0.0,0.0
Langevin,0,0.4998,0.7525184498734276,0.40992834118157717,0.7716399173045412,1.5698208056511762,3.287802063400989,1.0,0.0,0.0
Langevin,0,0.5145,0.7525184498734276,0.40992834118157717,0.7709072715340977,1.5714392777155766,3.289875067901027,1.0,0.0,0.0
Langevin,0,0.5292,0.7525184498734276,0.40992834118157717,0.7701671644201593,1.5721247514640164,3.2894559470473435,1.0,0.0,0.0
Langevin,0,0.5438999999999999,0.7525184498734276,0.40992834118157717,0.7705400793435127,1.5734753483541124,3.2908984117303257,1.0,0.0,0.0
Langevin,0,0.5586,0.7525184498734276,0.40992834118157717,0.7701671644201593,1.5674573343167766,3.28992133962744,1.0,0.0,0.0
Langevin,0,0.5733,0.7525184498734276,0.40992834118157717,0.7699068791005681,1.5685797638165266,3.289616281372197,1.0,0.0,0.0
Langevin,0,0.588,0.7525184498734276,0.40992834118157717,0.7695637083869112,1.5653581910600245,3.2881786859009554,1.0,0.0,0.0
Langevin,0,0.6027,0.7525184498734276,0.40992834118157717,0.7688734126768461,1.5646532141820222,3.2883704134557075,1.0,0.0,0.0
Langevin,0,0.6174,0.7525184498734276,0.40992834118157717,0.7683137083869113,1.5598447543875962,3.2864311483291866,1.0,0.0,0.0
Langevin,0,0.6321,0.7525184498734276,0.40992834118157717,0.7686413361588905,1.5559651903379137,3.2840036029890878,1.0,0.0,0.0
Langevin,0,0.6468,0.7525184498734276,0.40992834118157717,0.7678080028255573,1.5566965804853814,3.2855902929130374,1.0,0.0,0.0
Langevin,0,0.6615,0.7525184498734276,0.40992834118157717,0.7678080028255573,1.5550337541842567,3.2847828628951685,1.0,0.0,0.0
Langevin,0,0.6762,0.7525184498734276,0.40992834118157717,0.7673913361588905,1.5575374958710786,3.2840377294336442,1.0,0.0,0.0
Langevin,0,0.6909,0.7525184498734276,0.40992834118157717,0.766373412676846,1.5536676943229417,3.2834139573023156,1.0,0.0,0.0
Langevin,0,0.7056,0.7525184498734276,0.40992834118157717,0.7674803750535779,1.558576548817574,3.282943932559926,1.0,0.0,0.0
Langevin,0,0.7202999999999999,0.7525184498734276,0.40992834118157717,0.7661127451318035,1.5588616887537365,3.2830307155894642,1.0,0.0,0.0
Langevin,0,0.735,0.7525184498734276,0.40992834118157717,0.766373412676846,1.5525677108291218,3.283885880634472,1.0,0.0,0.0
Langevin,0,0.7497,0.7525184498734276,0.40992834118157717,0.7655838310868259,1.5540987570644613,3.281073388668963,1.0,0.0,0.0
Langevin,0,0.7644,0.7525184498734276,0.40992834118157717,0.7647067460101794,1.5475399130565421,3.282932911522418,1.0,0.0,0.0
Langevin,0,0.7791,0.7525184498734276,0.40992834118157717,0.7644746694922239,1.550921843351815,3.2821216452058715,1.0,0.0,0.0
Langevin,0,0.7938,0.7525184498734276,0.40992834118157717,0.7640580028255572,1.549959424703877,3.2835572637040067,1.0,0.0,0.0
Langevin,0,0.8085,0.7525184498734276,0.40992834118157717,0.7634798402946051,1.5461207947540145,3.284001589878459,1.0,0.0,0.0
Langevin,0,0.8232,0.7525184498734276,0.40992834118157717,0.7633458729293078,1.5454311654971975,3.284307818102742,1.0,0.0,0.0
Langevin,0,0.8379,0.7525184498734276,0.40992834118157717,0.7629292062626412,1.5424833848139152,3.2830926358566423,1.0,0.0,0.0
Langevin,0,0.8526,0.7525184498734276,0.40992834118157717,0.762406879100568,1.5434468126826966,3.283169803326451,1.0,0.0,0.0
Langevin,0,0.8673,0.7525184498734276,0.40992834118157717,0.7628970417202446,1.541345307071083,3.2835706791367665,1.0,0.0,0.0
Langevin,0,0.882,0.7525184498734276,0.40992834118157717,0.762418053704715,1.5415438030762856,3.2832586579186915,1.0,0.0,0.0
Langevin,0,0.8966999999999999,0.7525184498734276,0.40992834118157717,0.7617671160074949,1.5433151828856975,3.2825348083974073,1.0,0.0,0.0
Langevin,0,0.9114,0.7525184498734276,0.40992834118157717,0.7620958729293078,1.5417778647817528,3.282003771502524,1.0,0.0,0.0
Langevin,0,0.9261,0.7525184498734276,0.40992834118157717,0.7620958729293078,1.5409610443095019,3.279348798829455,1.0,0.0,0.0
Langevin,0,0.9408,0.7525184498734276,0.40992834118157717,0.7620002459512216,1.5374525862341908,3.277782558184884,1.0,0.0,0.0
Langevin,0,0.9555,0.7525184498734276,0.40992834118157717,0.7618131736279384,1.5396894833597834,3.2777362663214684,1.0,0.0,0.0
Langevin,0,0.9702,0.7525184498734276,0.40992834118157717,0.7626004493408283,1.5389691462849795,3.276173286349835,1.0,0.0,0.0
Langevin,0,0.9849,0.7525184498734276,0.40992834118157717,0.761997670263415,1.5384863656354,3.2771342201245117,1.0,0.0,0.0
Langevin,0,0.9996,0.7525184498734276,0.40992834118157717,0.7612625395959745,1.537869773254885,3.2767100937817157,1.0,0.0,0.0
Langevin,0,1.0143,0.7525184498734276,0.40992834118157717,0.7607513870380483,1.5345200808330035,3.275954982625898,1.0,0.0,0.0
Langevin,0,1.029,0.7525184498734276,0.40992834118157717,0.7606526015012796,1.5332923217374876,3.277777438998633,1.0,0.0,0.0
Langevin,0,1.0437,0.7525184498734276,0.40992834118157717,0.7606526015012796,1.5356545477365513,3.2756817937700564,1.0,0.0,0.0
Langevin,0,1.0584,0.7525184498734276,0.40992834118157717,0.7603347203713817,1.5342477472379876,3.2774156865671586,1.0,0.0,0.0
Langevin,0,1.0731,0.7525184498734276,0.40992834118157717,0.7606526015012796,1.5340348155607582,3.2776278222337485,1.0,0.0,0.0
Langevin,0,1.0877999999999999,0.7525184498734276,0.40992834118157717,0.7605877353368111,1.5352920471907452,3.2768564691241675,1.0,0.0,0.0
Langevin,0,1.1025,0.7525184498734276,0.40992834118157717,0.7610044020034777,1.5350973890418556,3.277995957033869,1.0,0.0,0.0
Langevin,0,1.1172,0.7525184498734276,0.40992834118157717,0.7607513870380483,1.5335802558127316,3.2792824754974887,1.0,0.0,0.0
Langevin,0,1.1319,0.7525184498734276,0.40992834118157717,0.7605685875601257,1.5364971157954606,3.2802652620305457,1.0,0.0,0.0
