method,N_previous,N_finest,gap_previous,gap_finest,gap_relative_change_last_two
LSC-adjacent,280,420,0.3878435967630923,0.3881943394620701,0.0009035234760605006
LSC-overlong,280,420,0.09251909124206792,0.0905930161676336,0.02126074565030823
Langevin,280,420,0.006810977482688384,0.006787481642835932,0.0034616432262843614
