N_input,N_active,x_min_active,x_max_active,retained_mass_before_renorm,boundary_jump_mass_proxy,gap,rayleigh,residual,lambda0,lambda2,lambda3,lambda4,lambda5,ratio32,ratio43,ratio54,method,elapsed_sec
180,102,-6.770949720670391,6.770949720670391,0.999999999999996,0.0,0.006870827797489967,0.0068708277974893605,7.173065774899072e-15,5.41692489413182e-16,0.006870827797489967,0.018506525756810027,0.19546633313256123,0.3270182354930603,2.6934928806643623,10.562022051093711,1.6730156557000704,Langevin,0.04671788215637207
280,160,-6.838709677419354,6.838709677419356,0.9999999999999979,0.0,0.006810977482688384,0.006810977482689045,1.878800814302881e-14,0.0,0.006810977482688384,0.018328036160469352,0.19553936731684562,0.3273530757466713,2.6909553301349383,10.668866298866915,1.6741031754298306,Langevin,0.01899433135986328
420,240,-6.844868735083532,6.8448687350835336,0.9999999999999976,0.0,0.006787481642835932,0.006787481642832409,3.568580627068162e-14,3.0217700843228372e-15,0.006787481642835932,0.01825804318140481,0.19556490618084552,0.32746866701400895,2.689958388421699,10.711164621410342,1.6744756173747632,Langevin,0.033818721771240234
180,102,-6.770949720670391,6.770949720670391,0.999999999999996,0.017908950373415757,0.38696000419415516,0.3869600075792129,8.0503361826533e-07,0.0,0.38696000419415516,0.4998686766469715,0.6981474374751852,1.2290434793466953,1.2917838309619332,1.3966617035462827,1.7604354229121986,LSC-adjacent,0.026398420333862305
280,160,-6.838709677419354,6.838709677419356,0.9999999999999979,0.013968593502982211,0.3878435967630923,0.3878435947419191,7.118316674278776e-05,8.449518911986294e-10,0.3878435967630923,0.4978890668174749,0.6986866587665168,1.2353054627728375,1.2837367200923573,1.4032978535410456,1.768039288103317,LSC-adjacent,0.03779125213623047
420,240,-6.844868735083532,6.8448687350835336,0.9999999999999976,0.014201856071198558,0.3881943394620701,0.3881943438081736,2.948205136762892e-06,0.0,0.3881943394620701,0.49739411950944407,0.698804587811679,1.2371835316803628,1.2813018350517285,1.404931341972592,1.7704284620606578,LSC-adjacent,0.05718636512756348
180,102,-6.770949720670391,6.770949720670391,0.999999999999996,0.3520152286106193,0.10790902795300888,0.10796350591973766,0.002311963080710835,0.0,0.10790902795300888,0.36716367584218274,0.6792268910979284,0.7112507398565948,3.4025297308958375,1.8499294341684258,1.047147498396157,LSC-overlong,0.024422168731689453
280,160,-6.838709677419354,6.838709677419356,0.9999999999999979,0.34201729864676667,0.09251909124206792,0.0924960405222558,0.008561774802749864,7.259340059251329e-05,0.09251909124206792,0.3532465696021778,0.6777959821444783,0.7065828360236832,3.818093810259547,1.9187616822657452,1.0424712666311862,LSC-overlong,0.03929471969604492
420,240,-6.844868735083532,6.8448687350835336,0.9999999999999976,0.3430887653468688,0.0905930161676336,0.09059315157348158,0.0008737513491673013,0.0,0.0905930161676336,0.3513312863032301,0.6779588487668917,0.7057703929727532,3.8781277096804634,1.9296853858376652,1.041022466564817,LSC-overlong,0.057994842529296875
