method,metric,seed,r_obs_seed,n_fit,t_min,t_max
CP-overlong,mode_TV,2,0.1383699668493275,171,1.0584,3.5574
CP-overlong,mode_TV,3,0.11436486951919768,171,1.0584,3.5574
CP-overlong,middle_error,0,0.09841699866278898,171,1.0584,3.5574
CP-overlong,middle_error,1,0.10956316177734425,171,1.0584,3.5574
CP-overlong,middle_error,2,0.1057792856746751,171,1.0584,3.5574
CP-overlong,middle_error,3,0.1044936715666243,171,1.0584,3.5574
CP-overlong,W1,0,-0.04643236557923154,171,1.0584,3.5574
CP-overlong,W1,1,-0.0498760065956833,171,1.0584,3.5574
CP-overlong,W1,2,-0.047652702027797554,171,1.0584,3.5574
CP-overlong,W1,3,-0.04557476098011367,171,1.0584,3.5574
CP-overlong,CDF_sup,0,0.04569476031944354,171,1.0584,3.5574
CP-overlong,CDF_sup,1,0.03933624878337408,171,1.0584,3.5574
CP-overlong,CDF_sup,2,0.04837333064565803,171,1.0584,3.5574
CP-overlong,CDF_sup,3,0.04811975334477195,171,1.0584,3.5574
