experiment,method,seed,time,KDE_bandwidth,histogram_integral,KDE_integral,KDE_tail_mass_outside_plot,KDE_vs_histogram_bin_mass_L1,sample_count
triple-well,Langevin,0,0.0,0.09199214785700836,0.9999999999999999,1.0,0.0,0.10325157734680476,2400
triple-well,Langevin,0,0.0147,0.09199214785700836,1.0,1.0,0.0,0.10786413345488362,2400
triple-well,Langevin,0,0.0294,0.09199214785700836,1.0,1.0,0.0,0.09812374130236154,2400
triple-well,Langevin,0,0.0441,0.09199214785700836,1.0,1.0000000000000002,0.0,0.08942735854175268,2400
triple-well,Langevin,0,0.0588,0.09199214785700836,1.0,1.0,0.0,0.11252677836876432,2400
triple-well,Langevin,0,0.0735,0.09199214785700836,1.0,0.9999999999999999,0.0,0.09144720836922866,2400
triple-well,Langevin,0,0.0882,0.09199214785700836,0.9999999999999999,1.0,0.0,0.07342393585143317,2400
triple-well,Langevin,0,0.1029,0.09199214785700836,1.0,1.0,0.0,0.07494603813611939,2400
triple-well,Langevin,0,0.1176,0.09199214785700836,1.0,1.0000000000000002,0.0,0.07246830171612643,2400
triple-well,Langevin,0,0.1323,0.09199214785700836,1.0,1.0,0.0,0.08087961374975097,2400
triple-well,Langevin,0,0.147,0.09199214785700836,1.0,1.0,0.0,0.060322788602112945,2400
triple-well,Langevin,0,0.1617,0.09199214785700836,1.0,1.0,0.0,0.06902231723934074,2400
triple-well,Langevin,0,0.1764,0.09199214785700836,1.0,1.0000000000000002,0.0,0.07730645918216791,2400
triple-well,Langevin,0,0.1911,0.09199214785700836,1.0,1.0,0.0,0.060686199194969356,2400
triple-well,Langevin,0,0.2058,0.09199214785700836,1.0,0.9999999999999999,0.0,0.06290268813432318,2400
triple-well,Langevin,0,0.2205,0.09199214785700836,1.0,1.0,0.0,0.06057637877984477,2400
triple-well,Langevin,0,0.2352,0.09199214785700836,1.0,1.0,0.0,0.062197925535655674,2400
triple-well,Langevin,0,0.2499,0.09199214785700836,1.0,1.0,0.0,0.0642905084452071,2400
triple-well,Langevin,0,0.2646,0.09199214785700836,1.0,1.0,0.0,0.06313840809925075,2400
triple-well,Langevin,0,0.2793,0.09199214785700836,1.0,1.0,0.0,0.04691021267802053,2400
triple-well,Langevin,0,0.294,0.09199214785700836,1.0,1.0,0.0,0.04939200204684567,2400
triple-well,Langevin,0,0.3087,0.09199214785700836,1.0,0.9999999999999999,0.0,0.049437851490059026,2400
triple-well,Langevin,0,0.3234,0.09199214785700836,1.0,1.0,0.0,0.06053694864133202,2400
triple-well,Langevin,0,0.3381,0.09199214785700836,1.0,1.0,0.0,0.057511276155161675,2400
triple-well,Langevin,0,0.3528,0.09199214785700836,0.9999999999999999,1.0,0.0,0.05115185669375907,2400
triple-well,Langevin,0,0.3675,0.09199214785700836,1.0,1.0,0.0,0.054556902422280666,2400
triple-well,Langevin,0,0.3822,0.09199214785700836,1.0,0.9999999999999998,0.0,0.04877158812822075,2400
triple-well,Langevin,0,0.3969,0.09199214785700836,1.0,1.0,0.0,0.05216367413886002,2400
triple-well,Langevin,0,0.4116,0.09199214785700836,1.0,1.0,0.0,0.043452258894202095,2400
triple-well,Langevin,0,0.4263,0.09199214785700836,0.9999999999999999,1.0,0.0,0.047409204218474124,2400
triple-well,Langevin,0,0.441,0.09199214785700836,1.0,1.0,0.0,0.04115735149259853,2400
triple-well,Langevin,0,0.4557,0.09199214785700836,1.0,0.9999999999999999,0.0,0.044063989064726736,2400
triple-well,Langevin,0,0.4704,0.09199214785700836,1.0,1.0,0.0,0.050022959664205516,2400
triple-well,Langevin,0,0.4851,0.09199214785700836,1.0,1.0,0.0,0.05168508922206441,2400
triple-well,Langevin,0,0.4998,0.09199214785700836,1.0,0.9999999999999998,0.0,0.03926733021196641,2400
triple-well,Langevin,0,0.5145,0.09199214785700836,1.0,1.0,0.0,0.043342115912107376,2400
triple-well,Langevin,0,0.5292,0.09199214785700836,1.0,1.0000000000000002,0.0,0.05082493967818354,2400
