method,EMC_mean,EMC_std,FES_RMSE_kBT_mean,FES_RMSE_kBT_std,FES_outside_mass_mean,FES_outside_mass_std,MMD_mean,MMD_std,TV_mean,TV_std,V_evals_per_step,W2_10d_mean,W2_10d_std,W2_mean,W2_std,basin_KL_target_mean,basin_KL_target_std,grad_evals_per_step,jump_applied_rate_per_particle_time_cumulative,jump_boundary_applied_count_cumulative,jump_boundary_clip_count_cumulative,jump_boundary_clip_fraction_per_applied_jump_cumulative,jump_cap_excess_count_cumulative,jump_cap_hit_count_cumulative,jump_cap_hit_fraction_cumulative,jump_cap_k,jump_count_applied_cumulative,jump_count_cumulative,jump_count_mean,jump_rate_per_particle_time_cumulative,m_clip_fraction,mala_accept,mala_accept_count_cumulative,mala_accept_fraction_cumulative,mala_proposal_count_cumulative,nonfinite_count,nonfinite_count_mean,nonfinite_count_std,nonfinite_frac,nonfinite_frac_mean,nonfinite_frac_std,nonfinite_proposal_count_cumulative,nonfinite_proposal_fraction_cumulative,outside_proposal_reject_count_cumulative,outside_proposal_reject_fraction_cumulative,pt_swap_accept,pt_swap_accept_count_cumulative,pt_swap_accept_fraction_cumulative,pt_swap_proposal_count_cumulative,score_clip_count_cumulative,score_clip_fraction_cumulative,score_quad_evals_per_step,state_box_clip_count_cumulative,state_box_clip_fraction_cumulative,time_to_threshold_TV,wallclock_mean_s,wallclock_std_s
ULA,0.8356194096242888,0.004465271374402817,1.9605898418344356,0.09143527333368363,0.0,0.0,0.34848434472838685,0.0031693075988635556,0.30700600870875683,0.0015271842281357883,0.0,0.14065964131056582,0.0012924603341560766,0.4085796256251485,0.003201167145218248,1.170943356321775,0.14394252329017238,32000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf,38.013008357957006,0.0
MALA,0.8341173546762628,0.0039001279136533797,1.9661073666576412,0.08345673091021409,0.0,0.0,0.35009602603672363,0.0029573811782490455,0.30753725870875687,0.0012632629707758187,32000.0,0.14170606708973937,0.001231325206391029,0.411008741267048,0.003208715810909988,1.2240762247340493,0.15636112251345174,32000.0,,,,,,,,,,,,,,0.9867539225941423,1262803807,0.98656547421875,1280000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,0.0,,,inf,62.49178900104016,0.0
FLA,0.9835029775335492,0.0023930833829466946,1.7440175977420962,0.02470061792526729,0.0386875,0.003341032774457623,0.09603644211731269,0.003923882442695689,0.11893025255607945,0.007932837727270386,0.0,0.10344559439618417,0.0089088172592439,0.17917745428618462,0.006147316984636409,0.04842619473423536,0.007336010796543591,32000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,4229381,0.00330420390625,inf,41.86446951236576,0.0
BAOAB,0.828191488582009,0.002357300531380747,2.0945639894963364,0.07109901926061993,0.0,0.0,0.35400194017087067,0.002312920631892827,0.30928725870875684,0.0006020797289396195,0.0,0.14339999666172118,0.001130959609907634,0.415066922955492,0.0030120213371273566,1.5236984545252392,0.20574424369782326,32000.0,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,0,0.0,inf,39.185970950871706,0.0
PT,0.9997946169845899,0.00025208037899672676,0.6164382887807442,0.03609269444931477,0.0,0.0,0.01863663837006843,0.007943062576886654,0.013335311461048273,0.007561740937279273,128000.0,0.013057090058635017,0.0037419483291824826,0.05554031581964306,0.021308731708990607,0.0005665815783881107,0.0006950186684613478,128000.0,,,,,,,,,,,,,,0.9846268632322167,5041833941,0.9847331916015625,5120000000,0,0.0,0.0,0.0,0.0,0.0,0,0.0,773190,0.000151013671875,0.3718821614583333,71419267,0.37197534895833334,192000000,,,0.0,,,36.295,67.89603646565229,0.0
CP,0.9833035376609345,0.001581648978331943,1.6541718919716344,0.024283353386492075,0.172,0.007445356494710865,0.1867519999530112,0.006341533564245046,0.134685747723525,0.0062651397235421675,0.0,0.11142242454404011,0.0033163727298062915,0.35273570614966476,0.008368160864730986,0.04702205941723439,0.004524026413750033,32000.0,0.9998446875,6382591,429725,0.0673276730406194,0,0,0.0,8,6399006,6399006,0.0050156903765690335,0.9998446875,,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,0.0,3689898,0.0028827328125,inf,78.06353314500302,0.0
LSC-CP,0.9996239393906141,0.00038229295522069,1.0704563658848762,0.05887734052306731,0.00615625,0.0019383734590286432,0.014959622706514668,0.005852201508519364,0.01737350169744644,0.008784469504134352,0.0,0.01273235485404332,0.0019497945865672053,0.04953889701134792,0.0095543501426882,0.0010461628401020322,0.0010752297591285344,32000.0,0.9998446875,6399006,13827,0.0021608043499255977,0,0,0.0,8,6399006,6399006,0.0050156903765690335,0.9998446875,1.307531380753138e-07,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,376,2.9375e-07,4096000.0,11797,9.21640625e-06,5.425,217.22619155142456,0.0
LSC-CP-MA,0.9997921044402138,0.0001953504128345677,1.0530162346542347,0.053273463017279234,0.0061875,0.0017594980344783943,0.011902068916395028,0.00459067770725498,0.013609057246472076,0.006435301345077402,0.0,0.012260012094602727,0.001434662208499224,0.04658963952000682,0.009244153710541124,0.000575314196375956,0.000543251892636423,32000.0,1.00001984375,6400127,13967,0.002182300444975545,,,,,6400127,6400127,0.005063284518828452,1.00001984375,3.922594142259414e-07,,,,,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,365,2.8515625e-07,1024000.0,11961,9.34453125e-06,4.75,115.59996501728892,0.0
