method,mode_0_mean,mode_0_std,mode_1_mean,mode_1_std,mode_2_mean,mode_2_std,mode_3_mean,mode_3_std,assigned_fraction_mean,assigned_fraction_std,emc_mean,emc_std,hard_mode_coverage_mean,hard_mode_coverage_std,conditional_mode_entropy_mean,conditional_mode_entropy_std
ula,0.95703125,0.011848242881330547,0.01640625,0.0015624999999999999,0.01875,0.005740991584648074,0.00234375,0.001913663861549358,0.99453125,0.0046875,0.30134524041150257,0.010085792935302313,0.75,0.0,0.3030379352198719,0.011072291471824763
mala,0.96171875,0.005740991584648074,0.0078125,0.00427908248050911,0.0265625,0.0045554311678478905,0.00078125,0.0015625000000000003,0.996875,0.0015625,0.2960746915999809,0.005667961312966117,0.55,0.09999999999999999,0.2970109909278384,0.006071255791930894
flmc,0.8671875,0.013975424859373685,0.06953125,0.01316585902058806,0.05625,0.012253427454186033,0.003125,0.002923169833417142,0.99609375,0.0034938562148434213,0.4038621546757022,0.01981138364279359,0.75,0.0,0.40541015262941943,0.019077858467033935
lsbmc,0.7484375,0.021050302477042936,0.128125,0.014905300022139776,0.1109375,0.015741751312195223,0.01171875,0.0034938562148434213,0.99921875,0.0015625,0.5416498168691458,0.02172965111359202,0.9,0.1224744871391589,0.5420810755063334,0.021908869912319585
