minimum_index,energy,max_pair_distance,descriptor_norm
0,-12.53486651768694,2.2369201275640154,7.24844965037862
1,-11.5012911166679,2.9543304953226057,7.820328771161305
2,-11.47690702950892,2.9550064927454778,8.047324317769604
3,-11.403418627477842,3.352357294899244,8.512252208807402
