method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,score_evaluation,splitting,jump_mode,bank_size,bank_refresh_policy,bank_shared_between_score_and_noise,m_clip_fraction,jump_count_mean,max_log_magnitude,jump_count_applied_cumulative,score_clip_fraction_cumulative,jump_rate_per_particle_time_cumulative,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,0,0,0.0,0.0,0.0,0.0,0.0,1.3556916118436568,0.4297969388774273,0.42956982696025847,0.6160373529890023,0.7009502679013767,1.013535256527089,1.0,0.5,1.0013188415064673,0.04084606969962734,1.0119604583034771,0.02561762941089396,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,1,0,0.0,0.0,0.0,0.0,0.0,1.3561656835161677,0.4298875646838788,0.42966051030725216,0.6125367177000641,0.7012191192877554,1.0140276642000807,1.0,0.5,1.0013654575196111,0.040839084263257774,1.0117945312807197,0.025179685878317426,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,2,0,0.0,0.0,0.0,0.0,0.0,1.35517425109574,0.4295255028685634,0.4292983819051407,0.6122630168531179,0.7006143181684474,1.0127462868020614,1.0,0.5,1.000345388250613,0.038913654997904557,1.0090776590740191,0.021788657410087064,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,3,0,0.0,0.0,0.0,0.0,0.0,1.354972971435273,0.4291514261593965,0.4289244477118427,0.6155205940737103,0.7004206833210299,1.0119254624659104,1.0,0.5,0.9982006257144727,0.034379061069565786,1.0018941959773646,0.011678043419863449,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,,,,,,,,
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,0,4,0.02,3450390.2371397847,431.2987796424731,4.0,512.0,1.3304879236955989,0.4078889926193179,0.4076471002027826,0.5571669587838761,0.6816762943113479,0.9962725397405332,0.992,0.492,0.995462435353363,0.08976872987903084,1.155604989043933,0.5150214569694324,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.000375,0.0053437499999999995,686.0219554288043,171,0.000375,1.06875,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,1,4,0.02,3450390.2371397847,431.2987796424731,4.0,512.0,1.319382235046061,0.4027507575989574,0.4025075660260956,0.5474168439434666,0.6753588812936294,0.9824565812638919,0.9875,0.48750000000000004,0.9792320340485047,0.06884833735358464,1.0701065528974085,0.34500628382387266,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.000375,0.0053437499999999995,686.0219554288043,171,0.000375,1.06875,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,2,4,0.02,3450390.2371397847,431.2987796424731,4.0,512.0,1.3240311205257014,0.4083479784856876,0.408107817652254,0.5425447918519708,0.6799071735797559,0.9899241357167875,0.992,0.492,0.9880758471131483,0.0637357780856258,1.083550453700655,0.29413250044010397,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.000375,0.0053437499999999995,686.0219554288043,171,0.000375,1.06875,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,3,4,0.02,3450390.2371397847,431.2987796424731,4.0,512.0,1.3138338964916159,0.40256234193340734,0.40232039332619285,0.5412422197283058,0.6738122709187228,0.9763218483990108,0.9875,0.48750000000000004,0.9742477120943978,0.04594500373566612,1.0157570016804272,0.11943747202051169,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.000375,0.0053437499999999995,686.0219554288043,171,0.000375,1.06875,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,0,8,0.04,6900780.474279569,862.5975592849462,8.0,1024.0,1.2997083175832482,0.39032886863563465,0.39007896916361406,0.5141914479624905,0.6632674510103984,0.9688810783013592,0.9825,0.48250000000000004,0.9683141020262196,0.06827270710097055,1.077280947836314,0.3509240843957179,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0005937500000000001,0.0054687500000000005,1758.5297607641514,346,0.000484375,1.08125,0.0,0.0
LSC-CP-RA,"LSC-CP-RA (A=4), tamed",98886f115ea6a7a4c556fecc8bb0d7f3,8da7d73e85753d4e79f54062070fbc7b,True,1,8,0.04,6900780.474279569,862.5975592849462,8.0,1024.0,1.2897638750162197,0.3831627590243887,0.38290956182108793,0.5063734893449874,0.6567404198237442,0.957850088,0.978,0.478,0.9578499045165517,0.06131036711134796,1.0454648649069194,0.2687700058680683,True,1.0,reject,pre_step,drift_diffusion_then_jump,iid_bank,4,every_step,True,0.0005937500000000001,0.0054687500000000005,1758.5297607641514,346,0.000484375,1.08125,0.0,0.0
