Method,W2 (mean),W2 (se),MMD (mean),MMD (se),EMC (mean),EMC (se),MALA acc,Runtime s
ULA,12.740919146337314,0.0204871389914042,0.5701835124534318,0.0015769887412447501,1.8562990866591345e-12,2.2380645690790745e-14,,2.8973350524902344
MALA,12.924955285569832,0.02917362326121061,0.6044499347775609,0.0006436078949492675,2.765441932386085e-13,1.915486927114733e-15,0.9820277462303638,5.141366958618164
FLMC,8.99614120591224,0.03318835137051912,0.24720382323458953,0.0012254629318930665,0.0011198381919580874,7.487863602345697e-06,,2.7294363975524902
LSBMC,6.260421379931715,0.044221700819507485,0.035127850379258654,0.0011708233562724032,0.694505215374121,0.0012249822848957098,,2.9325716495513916
